latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
61.176984,-149.86941,25194,2020,sportage,kia,purple,AK - ANCHORAGE
45.385979,-122.608301,69988,2020,2500,ram,silver,AK - ANCHORAGE
61.13336,-149.86595,33995,2020,pathfinder,nissan,black,AK - ANCHORAGE
61.1381,-149.86727,19999,2020,sportage,kia,red,AK - ANCHORAGE
61.21722,-149.86996,31999,2020,maxima,nissan,black,AK - ANCHORAGE
61.572407,-149.375517,37973,2020,durango,dodge,black,AK - ANCHORAGE
61.21722,-149.86996,31999,2020,cherokee,jeep,white,AK - ANCHORAGE
61.180231,-149.869503,23999,2020,escape,ford,white,AK - ANCHORAGE
61.56939,-149.35645,21980,2020,trax,chevrolet,white,AK - ANCHORAGE
61.20327,-149.87054,72988,2020,super duty f-350 srw lariat automatic,ford,silver,AK - ANCHORAGE
61.56939,-149.35645,24705,2020,malibu,chevrolet,silver,AK - ANCHORAGE
61.1381,-149.86727,36968,2020,traverse,chevrolet,black,AK - ANCHORAGE
61.572407,-149.375517,39993,2020,charger,dodge,red,AK - ANCHORAGE
61.176984,-149.86941,23194,2020,rogue,nissan,blue,AK - ANCHORAGE
61.1381,-149.86727,34988,2020,traverse,chevrolet,silver,AK - ANCHORAGE
61.20327,-149.87054,71988,2020,super duty f-350 srw lariat automatic,ford,silver,AK - ANCHORAGE
61.20327,-149.87054,72988,2020,super duty f-350 srw lariat automatic,ford,grey,AK - ANCHORAGE
64.81552,-147.71293,42999,2020,acadia,gmc,red,AK - FAIRBANKS
64.81552,-147.71293,37999,2020,grand cherokee,jeep,white,AK - FAIRBANKS
45.385979,-122.608301,69988,2020,2500 laramie lifted america,ram,blue,AK - FAIRBANKS
64.81552,-147.71293,20999,2020,malibu,chevrolet,silver,AK - FAIRBANKS
45.385979,-122.608301,0,2020,silverado 3500,chevrolet,blue,AK - FAIRBANKS
64.847187,-147.780231,23995,2020,impreza,subaru,silver,AK - FAIRBANKS
64.81552,-147.71293,42999,2020,acadia,gmc,red,AK - FAIRBANKS
64.81552,-147.71293,34999,2020,grand cherokee,jeep,black,AK - FAIRBANKS
61.19,-149.8938,15900,2020,accent,hyundai,custom,AK - FAIRBANKS
45.385979,-122.608301,69988,2020,2500,ram,purple,AK - FAIRBANKS
64.878089,-148.214529,44500,2020,highlander,toyota,grey,AK - FAIRBANKS
45.385979,-122.608301,69988,2020,2500,ram,red,AK - FAIRBANKS
64.81552,-147.71293,20999,2020,malibu,chevrolet,silver,AK - FAIRBANKS
64.81552,-147.71293,42999,2020,acadia,gmc,red,AK - FAIRBANKS
64.81552,-147.71293,37999,2020,grand cherokee,jeep,white,AK - FAIRBANKS
64.81552,-147.71293,34999,2020,grand cherokee,jeep,black,AK - FAIRBANKS
64.8378,-147.7164,31500,2020,tacoma,toyota,black,AK - FAIRBANKS
61.19,-149.8938,15900,2020,accent,hyundai,custom,AK - FAIRBANKS
64.81552,-147.71293,20999,2020,malibu,chevrolet,silver,AK - FAIRBANKS
64.822837,-147.713863,29995,2020,sorento,kia,white,AK - FAIRBANKS
64.81552,-147.71293,42999,2020,acadia,gmc,red,AK - FAIRBANKS
59.7153,-151.7176,37000,2020,colorado,chevrolet,blue,AK - KENAI PENINSULA
61.1381,-149.86727,19999,2020,sportage,kia,silver,AK - KENAI PENINSULA
61.1381,-149.86727,34988,2020,traverse,chevrolet,silver,AK - KENAI PENINSULA
61.1381,-149.86727,32225,2020,grand cherokee,jeep,purple,AK - KENAI PENINSULA
61.1381,-149.86727,20888,2020,soul,kia,black,AK - KENAI PENINSULA
61.1381,-149.86727,17999,2020,trax,chevrolet,silver,AK - KENAI PENINSULA
61.19,-149.8938,15900,2020,accent,hyundai,custom,AK - KENAI PENINSULA
61.1381,-149.86727,29999,2020,equinox,chevrolet,black,AK - KENAI PENINSULA
61.1381,-149.86727,32855,2020,gla 250,mercedes-benz,black,AK - KENAI PENINSULA
61.1381,-149.86727,16999,2020,trax,chevrolet,white,AK - KENAI PENINSULA
61.1381,-149.86727,35888,2020,q3,audi,white,AK - KENAI PENINSULA
61.1381,-149.86727,24988,2020,terrain,gmc,grey,AK - KENAI PENINSULA
61.1381,-149.86727,31950,2020,grand cherokee,jeep,silver,AK - KENAI PENINSULA
61.1381,-149.86727,36968,2020,traverse,chevrolet,black,AK - KENAI PENINSULA
61.1381,-149.86727,20888,2020,soul,kia,black,AK - KENAI PENINSULA
61.1381,-149.86727,34988,2020,traverse,chevrolet,silver,AK - KENAI PENINSULA
61.1381,-149.86727,34600,2020,durango,dodge,grey,AK - KENAI PENINSULA
61.1381,-149.86727,26999,2020,equinox,chevrolet,white,AK - KENAI PENINSULA
61.1381,-149.86727,29999,2020,equinox,chevrolet,black,AK - KENAI PENINSULA
61.19,-149.8938,15900,2020,accent,hyundai,custom,AK - KENAI PENINSULA
61.1381,-149.86727,30975,2020,grand cherokee,jeep,black,AK - KENAI PENINSULA
61.1381,-149.86727,19999,2020,sportage,kia,black,AK - KENAI PENINSULA
61.1381,-149.86727,19999,2020,sportage,kia,red,AK - KENAI PENINSULA
61.1381,-149.86727,27988,2020,terrain,gmc,blue,AK - KENAI PENINSULA
58.3628,-134.5294,27495,2020,santa fe,hyundai,silver,AK - SOUTHEAST ALASKA
58.3628,-134.5294,37995,2020,1500 slt,ram,silver,AK - SOUTHEAST ALASKA
58.3628,-134.5294,42995,2020,xt4,cadillac,blue,AK - SOUTHEAST ALASKA
61.5463,-149.5901,38000,2020,ascent,subaru,grey,AK - ANCHORAGE
61.142908,-149.877892,44000,2020,4runner sr5 premium 4x4,toyota,grey,AK - ANCHORAGE
61.13336,-149.86595,33995,2020,pathfinder,nissan,black,AK - ANCHORAGE
61.1535,-149.8289,1,2020,silverado,chevrolet,white,AK - ANCHORAGE
61.1381,-149.86727,31950,2020,grand cherokee,jeep,silver,AK - ANCHORAGE
61.21722,-149.86996,28799,2020,equinox,chevrolet,black,AK - ANCHORAGE
61.180231,-149.869503,14991,2020,rio,kia,grey,AK - ANCHORAGE
61.21722,-149.86996,33999,2020,grand cherokee,jeep,white,AK - ANCHORAGE
45.385979,-122.608301,0,2020,silverado 3500 ltz li,chevrolet,red,AK - ANCHORAGE
61.572407,-149.375517,39993,2020,1500 classic,ram,black,AK - ANCHORAGE
61.20327,-149.87054,72988,2020,super duty f-350 srw lariat automatic,ford,silver,AK - ANCHORAGE
26.1579,-81.766548,29900,2020,pathfinder s,nissan,silver,AK - ANCHORAGE
61.20327,-149.87054,72988,2020,super duty f-350 srw lariat automatic,ford,grey,AK - ANCHORAGE
61.176984,-149.86941,40194,2020,qx60,infiniti,silver,AK - ANCHORAGE
61.20327,-149.87054,71988,2020,super duty f-350 srw lariat automatic,ford,black,AK - ANCHORAGE
61.20327,-149.87054,71988,2020,super duty f-350 srw lariat automatic,ford,silver,AK - ANCHORAGE
61.155164,-149.891716,39500,2020,1500,ram,grey,AK - ANCHORAGE
61.56939,-149.35645,21980,2020,trax,chevrolet,white,AK - ANCHORAGE
61.56939,-149.35645,24705,2020,malibu,chevrolet,silver,AK - ANCHORAGE
61.176984,-149.86941,24194,2020,rogue,nissan,silver,AK - ANCHORAGE
61.1381,-149.86727,27988,2020,terrain,gmc,blue,AK - ANCHORAGE
61.1535,-149.8289,1,2020,silverado,chevrolet,red,AK - ANCHORAGE
61.572407,-149.375517,36988,2020,pacifica,chrysler,white,AK - ANCHORAGE
