latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
32.611442,-85.481615,47000,2020,gladiator,jeep,grey,AL - AUBURN
32.59,-85.48,34990,2020,wrangler unlimited sport s,jeep,red,AL - AUBURN
32.4197,-87.0245,63200,2020,yukon,gmc,white,AL - BIRMINGHAM
32.9229,-86.545,17900,2020,corolla,toyota,white,AL - BIRMINGHAM
33.52,-86.79,28590,2020,370z coupe 2d,nissan,white,AL - BIRMINGHAM
33.263063,-86.347389,18900,2020,corolla,toyota,white,AL - BIRMINGHAM
33.52,-86.79,35990,2020,1500 classic crew cab slt,ram,white,AL - BIRMINGHAM
32.9229,-86.545,19634,2020,kicks,nissan,red,AL - BIRMINGHAM
29.818173,-95.668628,72995,2020,silverado 2500hd 2500 hd,chevrolet,grey,AL - BIRMINGHAM
29.818173,-95.668628,59995,2020,2500,ram,white,AL - BIRMINGHAM
29.818173,-95.668628,53995,2020,f-250 f250 f 250,ford,white,AL - BIRMINGHAM
29.818173,-95.668628,73995,2020,sierra 2500 hd 2500hd,gmc,black,AL - BIRMINGHAM
29.818173,-95.668628,55995,2020,3500,ram,white,AL - BIRMINGHAM
27.907158,-82.787506,84986,2020,corvette,chevrolet,black,AL - BIRMINGHAM
32.9229,-86.545,19909,2020,corolla,toyota,black,AL - BIRMINGHAM
33.52,-86.79,39990,2020,challenger r/t scat pack,dodge,red,AL - BIRMINGHAM
32.9229,-86.545,20436,2020,corolla,toyota,black,AL - BIRMINGHAM
33.7189,-86.8225,27500,2020,bolt ev premier,chevrolet,orange,AL - BIRMINGHAM
34.188155,-86.851389,0,2020,3500 slt 4x4,ram,grey,AL - BIRMINGHAM
33.52,-86.79,20990,2020,corolla hybrid le sedan,toyota,black,AL - BIRMINGHAM
33.6493,-86.7057,0,2020,impala,chevrolet,purple,AL - BIRMINGHAM
33.3909,-86.8056,18681,2020,altima,nissan,black,AL - BIRMINGHAM
29.80343,-82.527552,46308,2020,f150 xlt 4wd f-150 4x4,ford,black,AL - DOTHAN
31.23,-85.4,38590,2020,wrangler unlimited sport s,jeep,black,AL - DOTHAN
29.801494,-82.531839,20691,2020,fusion se,ford,red,AL - DOTHAN
29.804202,-82.528678,36593,2020,ranger xlt,ford,purple,AL - DOTHAN
29.801345,-82.53081,19921,2020,fusion se,ford,white,AL - DOTHAN
31.796941,-85.980049,25898,2020,escape sel,ford,silver,AL - DOTHAN
31.23,-85.4,35990,2020,1500 classic crew cab slt,ram,white,AL - DOTHAN
31.796941,-85.980049,25899,2020,escape sel,ford,silver,AL - DOTHAN
29.804026,-82.527037,22934,2020,ecosport titanium,ford,white,AL - DOTHAN
29.803728,-82.52738,35950,2020,f150 xl f-150,ford,blue,AL - DOTHAN
31.3408,-85.8421,39900,2020,mod 3,tesla,black,AL - DOTHAN
