latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
38.4018,-93.785,41375,2020,traverse,chevrolet,blue,AR - LITTLE ROCK
38.4018,-93.785,47566,2020,silverado 1500,chevrolet,purple,AR - LITTLE ROCK
38.4018,-93.785,20789,2020,malibu,chevrolet,silver,AR - LITTLE ROCK
38.4018,-93.785,34206,2020,blazer,chevrolet,red,AR - LITTLE ROCK
38.4018,-93.785,51498,2020,silverado 1500,chevrolet,black,AR - LITTLE ROCK
38.4018,-93.785,26491,2020,bolt ev,chevrolet,silver,AR - LITTLE ROCK
38.4018,-93.785,22584,2020,equinox,chevrolet,black,AR - LITTLE ROCK
38.4018,-93.785,29999,2020,bolt ev,chevrolet,silver,AR - LITTLE ROCK
38.4018,-93.785,18638,2020,trax,chevrolet,black,AR - LITTLE ROCK
38.4018,-93.785,30260,2020,equinox,chevrolet,red,AR - LITTLE ROCK
38.4018,-93.785,63698,2020,silverado 2500hd,chevrolet,red,AR - LITTLE ROCK
38.4018,-93.785,44998,2020,traverse,chevrolet,white,AR - LITTLE ROCK
38.4018,-93.785,40948,2020,traverse,chevrolet,purple,AR - LITTLE ROCK
38.4018,-93.785,51498,2020,silverado 1500,chevrolet,black,AR - LITTLE ROCK
38.4018,-93.785,26491,2020,bolt ev,chevrolet,white,AR - LITTLE ROCK
38.4018,-93.785,54712,2020,f-type,jaguar,white,AR - LITTLE ROCK
38.4018,-93.785,20789,2020,malibu,chevrolet,blue,AR - LITTLE ROCK
38.4018,-93.785,53206,2020,silverado 1500,chevrolet,blue,AR - LITTLE ROCK
38.4018,-93.785,74882,2020,escalade,cadillac,blue,AR - LITTLE ROCK
38.4018,-93.785,46398,2020,silverado 1500,chevrolet,black,AR - LITTLE ROCK
38.4018,-93.785,43684,2020,traverse,chevrolet,silver,AR - LITTLE ROCK
38.4018,-93.785,26999,2020,bolt ev,chevrolet,red,AR - LITTLE ROCK
38.4018,-93.785,17999,2020,trax,chevrolet,white,AR - LITTLE ROCK
38.4018,-93.785,57421,2020,3500,ram,silver,AR - LITTLE ROCK
38.4018,-93.785,56974,2020,silverado 1500,chevrolet,black,AR - LITTLE ROCK
38.4018,-93.785,42801,2020,traverse,chevrolet,white,AR - LITTLE ROCK
38.4018,-93.785,46936,2020,silverado 1500,chevrolet,silver,AR - LITTLE ROCK
38.4018,-93.785,38937,2020,tacoma 4wd,toyota,silver,AR - LITTLE ROCK
38.4018,-93.785,16296,2020,sonic,chevrolet,blue,AR - LITTLE ROCK
39.0705,-93.7133,47980,2020,silverado 1500,chevrolet,blue,AR - LITTLE ROCK
38.4018,-93.785,20649,2020,malibu,chevrolet,purple,AR - LITTLE ROCK
38.4018,-93.785,67999,2020,suburban,chevrolet,black,AR - LITTLE ROCK
38.4018,-93.785,38440,2020,camaro,chevrolet,black,AR - LITTLE ROCK
38.4018,-93.785,26999,2020,bolt ev,chevrolet,silver,AR - LITTLE ROCK
38.4018,-93.785,17714,2020,trax,chevrolet,blue,AR - LITTLE ROCK
38.4018,-93.785,20843,2020,encore,buick,red,AR - LITTLE ROCK
36.005639,-94.258125,29500,2020,2500 express ls,chevrolet,white,AR - LITTLE ROCK
34.9457,-92.0318,9800,2020,spark,chevrolet,white,AR - LITTLE ROCK
38.4018,-93.785,46398,2020,silverado 1500,chevrolet,black,AR - LITTLE ROCK
38.4018,-93.785,22538,2020,equinox,chevrolet,silver,AR - LITTLE ROCK
38.4018,-93.785,48375,2020,silverado 1500,chevrolet,silver,AR - LITTLE ROCK
38.4018,-93.785,44315,2020,blazer,chevrolet,purple,AR - LITTLE ROCK
38.4018,-93.785,45393,2020,traverse,chevrolet,white,AR - LITTLE ROCK
38.4018,-93.785,21105,2020,malibu,chevrolet,blue,AR - LITTLE ROCK
38.4018,-93.785,34245,2020,xt4,cadillac,blue,AR - LITTLE ROCK
38.4018,-93.785,19700,2020,trax,chevrolet,silver,AR - LITTLE ROCK
38.4018,-93.785,71100,2020,suburban,chevrolet,black,AR - LITTLE ROCK
38.4018,-93.785,26417,2020,bolt ev,chevrolet,blue,AR - LITTLE ROCK
38.4018,-93.785,17542,2020,trax,chevrolet,black,AR - LITTLE ROCK
38.4018,-93.785,27459,2020,encore gx,buick,blue,AR - LITTLE ROCK
39.0705,-93.7133,61980,2020,silverado 2500hd,chevrolet,black,AR - LITTLE ROCK
38.4018,-93.785,54712,2020,f-type,jaguar,white,AR - LITTLE ROCK
38.4018,-93.785,74882,2020,escalade,cadillac,purple,AR - LITTLE ROCK
39.0705,-93.7133,61980,2020,silverado 2500hd,chevrolet,black,AR - LITTLE ROCK
34.713706,-91.4596,65975,2020,mustang,ford,white,AR - LITTLE ROCK
34.9457,-92.0318,14200,2020,kicks,nissan,purple,AR - LITTLE ROCK
38.4018,-93.785,71598,2020,silverado 3500hd,chevrolet,black,AR - LITTLE ROCK
