latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
35.189958,-111.666438,39789,2020,silverado 1500 custom,chevrolet,white,AZ - FLAGSTAF
35.189958,-111.666438,32134,2020,blazer lt,chevrolet,red,AZ - FLAGSTAF
35.189958,-111.666438,24079,2020,trax lt,chevrolet,silver,AZ - FLAGSTAF
35.189958,-111.666438,21080,2020,trax ls,chevrolet,white,AZ - FLAGSTAF
33.779214,-84.411811,28590,2020,370z coupe 2d,nissan,white,AZ - FLAGSTAF
33.396353,-111.954863,66995,2020,2500 laramie crew cab 4x4 cummins turbo diesel,ram,white,AZ - FLAGSTAF
33.396353,-111.954863,64995,2020,2500 laramie crew cab 4x4 cummins turbo diesel,ram,white,AZ - FLAGSTAF
33.396353,-111.954863,41995,2020,gladiator gladiator sport leveled,jeep,red,AZ - FLAGSTAF
33.396353,-111.954863,75995,2020,f-250 lifted crew cab lariat 4x4 powerstroke diesel,ford,white,AZ - FLAGSTAF
33.396353,-111.954863,62995,2020,silverado 3500 lt crew cab 4x4 duramax diesel,chevrolet,white,AZ - FLAGSTAF
35.189958,-111.666438,56424,2020,tahoe lt,chevrolet,white,AZ - FLAGSTAF
35.189958,-111.666438,28734,2020,equinox lt,chevrolet,blue,AZ - FLAGSTAF
35.189958,-111.666438,67060,2020,suburban premier,chevrolet,blue,AZ - FLAGSTAF
35.189958,-111.666438,28709,2020,trailblazer rs,chevrolet,red,AZ - FLAGSTAF
35.189958,-111.666438,22839,2020,trailblazer ls,chevrolet,white,AZ - FLAGSTAF
35.189958,-111.666438,22944,2020,trax lt,chevrolet,white,AZ - FLAGSTAF
35.189958,-111.666438,22284,2020,trax lt,chevrolet,white,AZ - FLAGSTAF
35.189958,-111.666438,14995,2020,spark 1lt,chevrolet,red,AZ - FLAGSTAF
33.779214,-84.411811,20590,2020,corolla hatchback se 4d,toyota,white,AZ - FLAGSTAF
34.540674,-112.469788,26000,2020,outback 2.5i premium,subaru,green,AZ - FLAGSTAF
35.189958,-111.666438,24995,2020,equinox ls,chevrolet,silver,AZ - FLAGSTAF
35.189958,-111.666438,51200,2020,silverado 1500 rst,chevrolet,grey,AZ - FLAGSTAF
33.779214,-84.411811,35990,2020,telluride lx sport utility,kia,white,AZ - FLAGSTAF
33.779214,-84.411811,38990,2020,telluride s sport utility 4d,kia,black,AZ - FLAGSTAF
33.779214,-84.411811,35590,2020,xt4 sport suv 4d,cadillac,white,AZ - FLAGSTAF
34.540674,-112.469788,26000,2020,outback 2.5i premium,subaru,green,AZ - FLAGSTAF
35.189958,-111.666438,35782,2020,blazer lt,chevrolet,blue,AZ - FLAGSTAF
35.189958,-111.666438,23529,2020,malibu rs,chevrolet,silver,AZ - FLAGSTAF
35.189958,-111.666438,23528,2020,trax lt,chevrolet,blue,AZ - FLAGSTAF
35.189958,-111.666438,23248,2020,trax lt,chevrolet,blue,AZ - FLAGSTAF
33.779214,-84.411811,37990,2020,gladiator sport pickup 4d 5,jeep,red,AZ - FLAGSTAF
35.189958,-111.666438,21595,2020,trax lt,chevrolet,silver,AZ - FLAGSTAF
35.189958,-111.666438,39789,2020,silverado 1500 custom,chevrolet,grey,AZ - FLAGSTAF
35.189958,-111.666438,32134,2020,blazer lt,chevrolet,red,AZ - FLAGSTAF
35.189958,-111.666438,21595,2020,trax lt,chevrolet,silver,AZ - FLAGSTAF
33.396353,-111.954863,67995,2020,2500 lifted laramie crew cab 4x4 cummins turbo diesel,ram,silver,AZ - FLAGSTAF
