latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
34.070311,-117.446303,57995,2020,f-250sd,ford,white,CA - BAKERSFIELD
33.3917,-111.9249,66995,2020,2500 laramie crew cab 4x4 cummins turbo diesel,ram,white,CA - BAKERSFIELD
33.3917,-111.9249,75995,2020,f-250 lifted crew cab lariat 4x4 powerstroke diesel,ford,white,CA - BAKERSFIELD
33.3917,-111.9249,62995,2020,silverado 3500 lt crew cab 4x4 duramax diesel,chevrolet,white,CA - BAKERSFIELD
35.38,-119.02,36990,2020,gladiator sport pickup 4d 5,jeep,silver,CA - BAKERSFIELD
35.38,-119.02,46990,2020,1500 crew cab rebel pickup,ram,black,CA - BAKERSFIELD
36.297452,-119.141647,52995,2020,f-150 lariat,ford,blue,CA - BAKERSFIELD
34.070311,-117.446303,59995,2020,2500,ram,white,CA - BAKERSFIELD
34.183005,-118.370312,19995,2020,altima 2.5 s,nissan,black,CA - BAKERSFIELD
34.183005,-118.370312,18995,2020,corolla le,toyota,grey,CA - BAKERSFIELD
34.183005,-118.370312,18995,2020,corolla le,toyota,black,CA - BAKERSFIELD
34.183005,-118.370312,17995,2020,corolla le,toyota,black,CA - BAKERSFIELD
34.10651,-117.359185,47995,2020,gladiator,jeep,grey,CA - BAKERSFIELD
34.070311,-117.446303,57995,2020,f-250sd,ford,white,CA - BAKERSFIELD
36.837679,-119.809638,44998,2020,glc,mercedes-benz,red,CA - BAKERSFIELD
36.837679,-119.809638,37998,2020,cla,mercedes-benz,black,CA - BAKERSFIELD
36.837679,-119.809638,32498,2020,a-class,mercedes-benz,silver,CA - BAKERSFIELD
36.837679,-119.809638,65998,2020,glc,mercedes-benz,white,CA - BAKERSFIELD
34.183005,-118.370312,18995,2020,corolla le,toyota,grey,CA - BAKERSFIELD
34.183005,-118.370312,18995,2020,corolla le,toyota,black,CA - BAKERSFIELD
34.183005,-118.370312,17995,2020,corolla le,toyota,black,CA - BAKERSFIELD
35.3866,-119.0171,19800,2020,accord sport sedan,honda,grey,CA - BAKERSFIELD
33.3917,-111.9249,66995,2020,2500 laramie crew cab 4x4 cummins turbo diesel,ram,white,CA - BAKERSFIELD
33.3917,-111.9249,66995,2020,2500 laramie crew cab 4x4 cummins turbo diesel,ram,white,CA - BAKERSFIELD
33.3917,-111.9249,43995,2020,gladiator gladiator sport leveled,jeep,red,CA - BAKERSFIELD
