latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
39.76,-104.87,39990,2020,nautilus reserve sport,lincoln,black,CO - DENVER
39.76,-104.87,57990,2020,2500 crew cab limited pickup,ram,black,CO - DENVER
39.76,-104.87,54990,2020,range velar s p340,rover,blue,CO - DENVER
25.827103,-80.24152,69950,2020,gladiator,jeep,red,CO - DENVER
39.30194,-104.818083,63000,2020,gladiator,jeep,silver,CO - DENVER
39.675975,-105.008636,40337,2020,tacoma sr5 v6*4wd*back u,toyota,black,CO - DENVER
39.727531,-105.187009,54057,2020,gladiator,jeep,black,CO - DENVER
40.390756,-104.754236,17550,2020,elantra,hyundai,black,CO - DENVER
39.76,-104.87,30990,2020,santa fe 2.4 limited,hyundai,brown,CO - DENVER
39.76,-104.87,37990,2020,xc60 t6 momentum sport,volvo,black,CO - DENVER
39.76,-104.87,12990,2020,spark ls hatchback 4d,chevrolet,silver,CO - DENVER
39.76,-104.87,35990,2020,gladiator sport pickup 4d 5,jeep,red,CO - DENVER
39.675975,-105.008636,42337,2020,"charger srt 392*v8,6.4l*w",dodge,silver,CO - DENVER
39.673187,-104.987737,58998,2020,1500 limited 4x4 nav back u,ram,red,CO - DENVER
39.6125,-105.1746,44000,2020,model 3,tesla,black,CO - DENVER
39.675975,-105.008636,40337,2020,grand cherokee overland*4w,jeep,white,CO - DENVER
39.6956,-105.0341,19995,2020,altima sr awd,nissan,purple,CO - DENVER
39.73995,-105.088307,58121,2020,escalade esv,cadillac,black,CO - DENVER
39.76,-104.87,44590,2020,tahoe lt sport utility,chevrolet,black,CO - DENVER
39.76,-104.87,48990,2020,xt6 premium luxury,cadillac,white,CO - DENVER
39.76,-104.87,38990,2020,telluride s sport utility 4d,kia,purple,CO - DENVER
39.76,-104.87,26990,2020,envision essence sport,buick,black,CO - DENVER
40.3949,-104.757,0,2020,camry hybrid,toyota,blue,CO - DENVER
39.76,-104.87,24590,2020,veloster turbo coupe 3d,hyundai,white,CO - DENVER
39.76,-104.87,38590,2020,telluride ex sport utility,kia,white,CO - DENVER
38.8076,-104.7403,39900,2020,tacoma trd off road,toyota,white,CO - DENVER
39.678809,-105.016991,17988,2020,trax,chevrolet,black,CO - DENVER
39.675975,-105.008636,39337,2020,f-150 xlt*4wd*navi*back up,ford,silver,CO - DENVER
32.7904,-96.8044,50000,2020,sprinter 3500xd,mercedes-benz,black,CO - DENVER
39.675975,-105.008636,36337,2020,grand cherokee trailhawk*4,jeep,black,CO - DENVER
39.76,-104.87,46990,2020,xc90 t6 momentum sport,volvo,black,CO - DENVER
39.76,-104.87,44990,2020,e-pace p250 se sport,jaguar,white,CO - DENVER
39.76,-104.87,45990,2020,5 series 540i sedan 4d,bmw,black,CO - DENVER
39.76,-104.87,31990,2020,durango gt plus sport,dodge,blue,CO - DENVER
39.76,-104.87,51590,2020,xc90 t6 momentum sport,volvo,white,CO - DENVER
39.675975,-105.008636,51337,2020,"1500 rebel*4wd*v8,5.7l*leat",ram,silver,CO - DENVER
39.805932,-104.903812,17488,2020,corolla le,toyota,red,CO - DENVER
39.675975,-105.008636,22337,2020,sportage lx*awd*back up cam,kia,white,CO - DENVER
39.675975,-105.008636,30337,2020,blazer lt*awd*back up,chevrolet,purple,CO - DENVER
40.033437,-105.2576,69899,2020,sierra 2500hd at4,gmc,white,CO - DENVER
40.390756,-104.754236,17450,2020,elantra,hyundai,red,CO - FORT COLLINS 
40.398459,-104.757364,0,2020,impreza,subaru,black,CO - FORT COLLINS 
40.55,-105.06,17990,2020,impreza sedan 4d,subaru,white,CO - FORT COLLINS 
40.55,-105.06,20990,2020,corolla hybrid le sedan,toyota,black,CO - FORT COLLINS 
39.181876,-108.577721,7000,2020,charger,dodge,black,CO - HIGH ROCKIES
33.3917,-111.9249,66995,2020,2500 laramie crew cab 4x4 cummins turbo diesel,ram,white,CO - PUEBLO
33.3917,-111.9249,64995,2020,2500 laramie crew cab 4x4 cummins turbo diesel,ram,white,CO - PUEBLO
33.3917,-111.9249,41995,2020,gladiator gladiator sport leveled,jeep,red,CO - PUEBLO
33.3917,-111.9249,75995,2020,f-250 lifted crew cab lariat 4x4 powerstroke diesel,ford,white,CO - PUEBLO
33.3917,-111.9249,62995,2020,silverado 3500 lt crew cab 4x4 duramax diesel,chevrolet,white,CO - PUEBLO
38.298339,-104.616024,45994,2020,tahoe,chevrolet,black,CO - PUEBLO
33.779214,-84.411811,34990,2020,wrx sti sedan 4d,subaru,black,CO - PUEBLO
38.298339,-104.616024,46995,2020,tahoe,chevrolet,black,CO - PUEBLO
33.779214,-84.411811,34990,2020,1500 quad cab big horn,ram,silver,CO - PUEBLO
38.298339,-104.616024,46995,2020,tahoe,chevrolet,black,CO - PUEBLO
33.3917,-111.9249,66995,2020,2500 laramie crew cab 4x4 cummins turbo diesel,ram,white,CO - WESTERN SLOPE
33.3917,-111.9249,64995,2020,2500 laramie crew cab 4x4 cummins turbo diesel,ram,white,CO - WESTERN SLOPE
33.3917,-111.9249,41995,2020,gladiator gladiator sport leveled,jeep,red,CO - WESTERN SLOPE
33.3917,-111.9249,75995,2020,f-250 lifted crew cab lariat 4x4 powerstroke diesel,ford,white,CO - WESTERN SLOPE
33.3917,-111.9249,62995,2020,silverado 3500 lt crew cab 4x4 duramax diesel,chevrolet,white,CO - WESTERN SLOPE
39.0307,-108.4361,72000,2020,sierra 2500hd,gmc,silver,CO - WESTERN SLOPE
39.081944,-108.588542,17995,2020,corolla le cvt (natl),toyota,red,CO - WESTERN SLOPE
39.560728,-107.365942,0,2020,q5,audi,blue,CO - WESTERN SLOPE
39.074682,-108.570342,20890,2020,equinox,chevrolet,white,CO - WESTERN SLOPE
39.074682,-108.570342,48950,2020,tahoe,chevrolet,black,CO - WESTERN SLOPE
39.074682,-108.570342,38950,2020,durango,dodge,silver,CO - WESTERN SLOPE
