latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
41.81,-72.9,20990,2020,malibu rs sedan 4d,chevrolet,grey,CT - NORTHWEST CT
42.0718,-72.6751,19995,2020,jetta se,volkswagen,grey,CT - NEW HAVEN
33.779214,-84.411811,35990,2020,1500 classic crew cab slt,ram,white,CT - EASTERN CT
33.7865,-84.4454,33990,2020,1500 classic crew cab slt,ram,black,CT - EASTERN CT
33.7865,-84.4454,34990,2020,wrangler unlimited sport s,jeep,red,CT - EASTERN CT
41.197651,-73.20814,49900,2020,qx80,infiniti,purple,CT - EASTERN CT
41.6718,-72.9493,49000,2020,gladiator overland,jeep,black,CT - HARTFORD
42.0718,-72.6751,33995,2020,1500 slt crew cab,ram,silver,CT - HARTFORD
41.76,-72.68,35990,2020,1500 classic crew cab slt,ram,white,CT - HARTFORD
41.7801,-72.6771,64900,2020,escalade esv luxury,cadillac,black,CT - HARTFORD
41.76,-72.68,20590,2020,corolla hatchback se 4d,toyota,white,CT - HARTFORD
41.76,-72.68,42590,2020,yukon sle sport utility 4d,gmc,white,CT - HARTFORD
41.76,-72.68,34990,2020,wrangler unlimited sport s,jeep,red,CT - HARTFORD
41.79,-72.7457,442,2020,m235i xdrive,bmw,blue,CT - HARTFORD
41.76,-72.68,27990,2020,f150 regular cab xlt pickup,ford,black,CT - HARTFORD
40.876514,-74.072113,42895,2020,gladiator,jeep,black,CT - HARTFORD
41.197651,-73.20814,49900,2020,qx80,infiniti,silver,CT - HARTFORD
40.876514,-74.072113,38895,2020,wrx,subaru,white,CT - HARTFORD
41.197651,-73.20814,49900,2020,qx80,infiniti,black,CT - HARTFORD
41.197651,-73.20814,49900,2020,qx80,infiniti,black,CT - HARTFORD
41.76,-72.68,26990,2020,f150 regular cab xl pickup,ford,silver,CT - HARTFORD
41.197651,-73.20814,49900,2020,qx80,infiniti,purple,CT - HARTFORD
40.622791,-73.74012,18800,2020,rogue,nissan,blue,CT - NEW HAVEN
41.31,-72.92,35990,2020,gladiator sport pickup 4d 5,jeep,red,CT - NEW HAVEN
42.0718,-72.6751,38995,2020,ridgeline rtl e,honda,black,CT - NEW HAVEN
41.197651,-73.20814,49900,2020,qx80,infiniti,silver,CT - NEW HAVEN
41.31,-72.92,35990,2020,1500 classic crew cab slt,ram,white,CT - NEW HAVEN
42.0718,-72.6751,43995,2020,tahoe lt,chevrolet,black,CT - NEW HAVEN
41.31,-72.92,20590,2020,corolla hatchback se 4d,toyota,white,CT - NEW HAVEN
41.31,-72.92,46990,2020,sierra 1500 crew cab slt,gmc,black,CT - NEW HAVEN
41.31,-72.92,34990,2020,wrangler unlimited sport s,jeep,red,CT - NEW HAVEN
41.197651,-73.20814,49900,2020,qx80,infiniti,black,CT - NEW HAVEN
42.0718,-72.6751,35995,2020,silverado lt 1500,chevrolet,black,CT - NEW HAVEN
41.2175,-73.0549,92000,2020,corvette,chevrolet,silver,CT - NEW HAVEN
42.716502,-71.420475,68995,2020,explorer conversion,gmc,silver,CT - NEW HAVEN
41.31,-72.92,27990,2020,f150 regular cab xlt pickup,ford,black,CT - NEW HAVEN
41.31,-72.92,39990,2020,challenger r/t scat pack,dodge,red,CT - NEW HAVEN
41.31,-72.92,33990,2020,1500 classic crew cab slt,ram,black,CT - NEW HAVEN
41.197651,-73.20814,49900,2020,qx80,infiniti,red,CT - NEW HAVEN
41.31,-72.92,40990,2020,gladiator sport pickup 4d 5,jeep,red,CT - NEW HAVEN
41.197651,-73.20814,49900,2020,qx80,infiniti,silver,CT - NEW HAVEN
41.31,-72.92,28590,2020,wrx sedan 4d,subaru,grey,CT - NEW HAVEN
41.31,-72.92,27990,2020,f150 regular cab xl pickup,ford,silver,CT - NEW HAVEN
41.197651,-73.20814,49900,2020,qx80,infiniti,black,CT - NEW HAVEN
42.0718,-72.6751,36995,2020,wrangler unlimited sport,jeep,silver,CT - NEW HAVEN
41.197651,-73.20814,49900,2020,qx80,infiniti,blue,CT - NEW HAVEN
41.784114,-72.276023,16699,2019,tucson,hyundai,purple,CT - HARTFORD
41.784114,-72.276023,18699,2019,altima,nissan,black,CT - HARTFORD
41.76,-72.68,25990,2019,tacoma access cab sr,toyota,black,CT - HARTFORD
41.552532,-72.999092,66899,2019,silverado 2500hd,chevrolet,custom,CT - HARTFORD
41.784114,-72.276023,19777,2019,fusion,ford,white,CT - HARTFORD
41.784114,-72.276023,13499,2019,elantra,hyundai,blue,CT - HARTFORD
41.784114,-72.276023,16699,2019,tucson,hyundai,silver,CT - HARTFORD
41.76,-72.68,27990,2019,ranger supercab xlt pickup,ford,black,CT - HARTFORD
41.784114,-72.276023,16999,2019,rogue sport,nissan,black,CT - HARTFORD
41.784114,-72.276023,15799,2019,elantra,hyundai,black,CT - HARTFORD
41.76,-72.68,17990,2019,corolla hatchback se 4d,toyota,white,CT - HARTFORD
41.76,-72.68,11590,2019,fiesta se hatchback 4d,ford,silver,CT - HARTFORD
41.76,-72.68,41590,2019,4runner limited sport,toyota,white,CT - HARTFORD
41.784114,-72.276023,18699,2019,altima,nissan,black,CT - HARTFORD
41.784114,-72.276023,19777,2019,fusion,ford,white,CT - HARTFORD
41.784114,-72.276023,13499,2019,elantra,hyundai,blue,CT - HARTFORD
41.76,-72.68,29590,2019,1500 classic crew cab,ram,white,CT - HARTFORD
41.76,-72.68,27990,2019,mx-5 miata club,mazda,white,CT - HARTFORD
41.76,-72.68,31990,2019,ranger supercrew xlt pickup,ford,blue,CT - HARTFORD
41.76,-72.68,39990,2019,challenger r/t scat pack,dodge,black,CT - HARTFORD
40.876514,-74.072113,32895,2019,civic,honda,purple,CT - HARTFORD
40.876514,-74.072113,34895,2019,civic,honda,silver,CT - HARTFORD
41.76,-72.68,23990,2019,colorado extended cab,chevrolet,blue,CT - HARTFORD
41.31,-72.92,32590,2019,ridgeline sport pickup 4d,honda,silver,CT - NEW HAVEN
41.302579,-73.102203,29500,2019,transit connect xlt,ford,white,CT - NEW HAVEN
41.126127,-73.423315,25000,2019,outback,subaru,brown,CT - NEW HAVEN
41.31,-72.92,40990,2019,4runner limited sport,toyota,black,CT - NEW HAVEN
41.31,-72.92,30990,2019,ranger supercrew xlt pickup,ford,black,CT - NEW HAVEN
41.31,-72.92,28590,2019,mx-5 miata club,mazda,white,CT - NEW HAVEN
42.0718,-72.6751,42995,2019,suburban lt,chevrolet,silver,CT - NEW HAVEN
41.31,-72.92,35990,2019,f150 supercrew cab xlt,ford,black,CT - NEW HAVEN
41.126127,-73.423315,19300,2019,impreza,subaru,grey,CT - NEW HAVEN
41.31,-72.92,27590,2019,wrx premium sedan 4d,subaru,red,CT - NEW HAVEN
41.31,-72.92,24590,2019,f150 regular cab xl pickup,ford,red,CT - NEW HAVEN
42.0718,-72.6751,40995,2019,wrangler unlimited sahara,jeep,white,CT - NEW HAVEN
41.31,-72.92,39990,2019,challenger r/t scat pack,dodge,black,CT - NEW HAVEN
41.126127,-73.423315,25300,2019,outback,subaru,brown,CT - NEW HAVEN
41.2912,-72.528,25000,2019,crv,honda,grey,CT - NEW HAVEN
41.31,-72.92,27990,2019,1500 classic crew cab,ram,white,CT - NEW HAVEN
41.31,-72.92,31990,2019,ranger supercrew xlt pickup,ford,red,CT - NEW HAVEN
41.31,-72.92,43990,2019,tacoma double cab trd pro,toyota,white,CT - NEW HAVEN
40.622791,-73.74012,0,2019,altima,nissan,red,CT - NEW HAVEN
41.126127,-73.423315,21800,2019,crosstrek,subaru,white,CT - NEW HAVEN
41.352588,-72.846394,25200,2019,tucson,hyundai,brown,CT - NEW HAVEN
40.7867,-73.727,37695,2019,mdx,acura,blue,CT - NEW HAVEN
40.7867,-73.727,24695,2019,cr-v ex,honda,purple,CT - NEW HAVEN
41.326766,-72.778884,45995,2019,silverado 1500 quad 4x4,chevrolet,white,CT - NEW HAVEN
41.31,-72.92,38590,2019,model 3 standard range,tesla,blue,CT - NEW HAVEN
41.126127,-73.423315,21700,2019,crosstrek,subaru,red,CT - NEW HAVEN
42.0718,-72.6751,26995,2019,f-150 xl stx supercab,ford,black,CT - NEW HAVEN
42.0718,-72.6751,17495,2019,grand caravan sxt,dodge,grey,CT - NEW HAVEN
41.512139,-73.021803,9695,2019,mirage,mitsubishi,white,CT - NEW HAVEN
41.904839,-72.612814,19495,2019,colorado,chevrolet,white,CT - NEW HAVEN
41.355997,-73.010849,360,2019,acadia slt-1,gmc,black,CT - NEW HAVEN
41.31,-72.92,35990,2019,wrx sti sedan 4d,subaru,white,CT - NEW HAVEN
41.31,-72.92,34990,2019,1500 crew cab big horn,ram,white,CT - NEW HAVEN
