latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
38.87,-77.1,35990,2020,telluride lx sport utility,kia,white,"DC - WASHINGTON, DC"
38.89,-77.03,40990,2020,gladiator sport pickup 4d 5,jeep,red,"DC - WASHINGTON, DC"
38.89,-77.03,36990,2020,f-pace 25t sport utility,jaguar,white,"DC - WASHINGTON, DC"
38.762602,-77.461384,0,2020,charger,dodge,purple,"DC - WASHINGTON, DC"
38.47248,-77.448502,16555,2020,civic,honda,black,"DC - WASHINGTON, DC"
39.512938,-76.909548,27999,2020,pathfinder sv awd,nissan,black,"DC - WASHINGTON, DC"
39.512938,-76.909548,27999,2020,pathfinder sv awd,nissan,black,"DC - WASHINGTON, DC"
38.823449,-76.947378,0,2020,1500,ram,black,"DC - WASHINGTON, DC"
38.823449,-76.947378,0,2020,malibu,chevrolet,silver,"DC - WASHINGTON, DC"
38.9814,-77.4723,35690,2020,x3 sdrive30i,bmw,white,"DC - WASHINGTON, DC"
38.8738,-77.1142,15100,2020,corolla,toyota,red,"DC - WASHINGTON, DC"
38.762602,-77.461384,0,2020,charger,dodge,red,"DC - WASHINGTON, DC"
38.771145,-77.49771,17900,2020,corolla,toyota,blue,"DC - WASHINGTON, DC"
38.89,-77.03,37990,2020,xt4 sport suv 4d,cadillac,silver,"DC - WASHINGTON, DC"
38.87,-77.1,50990,2020,telluride sx sport utility,kia,blue,"DC - WASHINGTON, DC"
38.87,-77.1,28990,2020,300 300s sedan 4d,chrysler,white,"DC - WASHINGTON, DC"
38.89,-77.03,34990,2020,q60 3.0t luxe coupe 2d,infiniti,blue,"DC - WASHINGTON, DC"
38.89,-77.03,28590,2020,370z coupe 2d,nissan,white,"DC - WASHINGTON, DC"
38.916807,-77.469344,13995,2020,forte,kia,silver,"DC - WASHINGTON, DC"
38.916807,-77.469344,18995,2020,tucson,hyundai,purple,"DC - WASHINGTON, DC"
39.137822,-77.715689,39984,2020,1500,ram,silver,"DC - WASHINGTON, DC"
38.7589,-77.0873,45000,2020,f-350 super duty,ford,black,"DC - WASHINGTON, DC"
38.51143,-77.36888,0,2020,sport,rover,black,"DC - WASHINGTON, DC"
38.82672,-76.94391,0,2020,corolla,toyota,red,"DC - WASHINGTON, DC"
39.137822,-77.715689,39984,2020,1500,ram,white,"DC - WASHINGTON, DC"
38.771145,-77.49771,19500,2020,corolla hybrid,toyota,silver,"DC - WASHINGTON, DC"
38.762602,-77.461384,0,2020,ecosport,ford,white,"DC - WASHINGTON, DC"
38.8149,-77.121,19750,2020,rogue sport,nissan,white,"DC - WASHINGTON, DC"
38.89,-77.03,31990,2020,300 300s sedan 4d,chrysler,red,"DC - WASHINGTON, DC"
38.89,-77.03,33990,2020,1500 classic crew cab slt,ram,black,"DC - WASHINGTON, DC"
38.89,-77.03,35590,2020,gladiator sport pickup 4d 5,jeep,red,"DC - WASHINGTON, DC"
38.8589,-77.1548,0,2020,corolla le,toyota,white,"DC - WASHINGTON, DC"
38.8589,-77.1548,0,2020,corolla le,toyota,grey,"DC - WASHINGTON, DC"
39.016516,-77.260666,110000,2020,corvette,chevrolet,grey,"DC - WASHINGTON, DC"
38.9513,-76.8958,38000,2020,camaro,chevrolet,black,"DC - WASHINGTON, DC"
38.762602,-77.461384,0,2020,civic,honda,blue,"DC - WASHINGTON, DC"
38.771145,-77.49771,19500,2020,corolla hybrid,toyota,silver,"DC - WASHINGTON, DC"
38.771145,-77.49771,19500,2020,corolla hybrid,toyota,silver,"DC - WASHINGTON, DC"
38.87,-77.1,16990,2020,versa sr sedan 4d,nissan,black,"DC - WASHINGTON, DC"
38.87,-77.1,34990,2020,gladiator sport pickup 4d 5,jeep,red,"DC - WASHINGTON, DC"
38.89,-77.03,53990,2020,2500 crew cab power wagon,ram,black,"DC - WASHINGTON, DC"
38.89,-77.03,14590,2020,forte lxs sedan 4d,kia,silver,"DC - WASHINGTON, DC"
38.89,-77.03,40990,2020,pilot touring sport,honda,white,"DC - WASHINGTON, DC"
38.87,-77.1,39590,2020,xt4 sport suv 4d,cadillac,silver,"DC - WASHINGTON, DC"
38.89,-77.03,42590,2020,ct5 premium luxury,cadillac,blue,"DC - WASHINGTON, DC"
38.89,-77.03,38990,2020,x3 sdrive30i sport utility,bmw,black,"DC - WASHINGTON, DC"
38.89,-77.03,37990,2020,xc60 t6 momentum sport,volvo,silver,"DC - WASHINGTON, DC"
38.89,-77.03,33990,2020,x2 sdrive28i sport utility,bmw,black,"DC - WASHINGTON, DC"
38.8867,-77.4457,38845,2020,civic type r,honda,custom,"DC - WASHINGTON, DC"
39.512938,-76.909548,27999,2020,pathfinder sv awd,nissan,black,"DC - WASHINGTON, DC"
39.512938,-76.909548,27999,2020,pathfinder sv awd,nissan,black,"DC - WASHINGTON, DC"
39.512938,-76.909548,27999,2020,pathfinder sv awd,nissan,black,"DC - WASHINGTON, DC"
38.762602,-77.461384,0,2020,corolla,toyota,white,"DC - WASHINGTON, DC"
38.8635,-77.1939,400,2020,accent,hyundai,white,"DC - WASHINGTON, DC"
38.904795,-77.461315,0,2020,rogue,nissan,blue,"DC - WASHINGTON, DC"
38.89,-77.03,38990,2020,telluride s sport utility 4d,kia,red,"DC - WASHINGTON, DC"
38.8191,-77.1484,35950,2020,x1 xdrive28i,bmw,silver,"DC - WASHINGTON, DC"
39.038546,-77.377224,12500,2020,versa,nissan,grey,"DC - WASHINGTON, DC"
39.087,-77.168,69999,2020,wrangler unlimited rubicon,jeep,red,"DC - WASHINGTON, DC"
38.916807,-77.469344,13995,2020,elantra,hyundai,black,"DC - WASHINGTON, DC"
38.916807,-77.469344,20995,2020,equinox,chevrolet,white,"DC - WASHINGTON, DC"
39.045736,-77.105934,50977,2020,tahoe,chevrolet,black,"DC - WASHINGTON, DC"
39.045736,-77.105934,33477,2020,enclave,buick,white,"DC - WASHINGTON, DC"
39.045736,-77.105934,19977,2020,encore,buick,red,"DC - WASHINGTON, DC"
38.51143,-77.36888,0,2020,sport,rover,black,"DC - WASHINGTON, DC"
38.806,-77.0529,18995,2020,altima s,nissan,grey,"DC - WASHINGTON, DC"
