latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
39.630389,-75.637608,0,2020,odyssey ex,honda,grey,DE - DELAWARE
40.893137,-74.165983,41495,2020,mdx,acura,silver,DE - DELAWARE
33.779214,-84.411811,35990,2020,1500 classic crew cab slt,ram,white,DE - DELAWARE
39.7168,-75.6184,59950,2020,gladiator,jeep,white,DE - DELAWARE
39.732075,-75.643448,32997,2020,ranger,ford,black,DE - DELAWARE
33.7865,-84.4454,33990,2020,1500 classic crew cab slt,ram,black,DE - DELAWARE
33.7865,-84.4454,27990,2020,f150 regular cab xlt pickup,ford,black,DE - DELAWARE
33.7865,-84.4454,33990,2020,1500 classic crew cab slt,ram,black,DE - DELAWARE
33.7865,-84.4454,19990,2020,corolla hybrid le sedan,toyota,red,DE - DELAWARE
39.732075,-75.643448,72997,2020,escalade,cadillac,black,DE - DELAWARE
39.757851,-75.56888,17999,2019,equinox,chevrolet,black,DE - DELAWARE
39.757851,-75.56888,16592,2019,malibu,chevrolet,blue,DE - DELAWARE
39.512938,-76.909548,52999,2019,f-350 crew cab xlt 4x4 drw,ford,white,DE - DELAWARE
39.6264,-75.8458,19999,2019,camry,toyota,blue,DE - DELAWARE
33.7865,-84.4454,9990,2019,fiesta se hatchback 4d,ford,grey,DE - DELAWARE
33.779214,-84.411811,24590,2019,f150 regular cab xl pickup,ford,red,DE - DELAWARE
39.757851,-75.56888,25684,2019,mustang,ford,blue,DE - DELAWARE
39.512938,-76.909548,18500,2019,rogue sv,nissan,silver,DE - DELAWARE
33.7865,-84.4454,13990,2019,fiesta se hatchback 4d,ford,black,DE - DELAWARE
39.732075,-75.643448,35997,2019,glc,mercedes-benz,silver,DE - DELAWARE
39.732075,-75.643448,24997,2019,cherokee,jeep,black,DE - DELAWARE
39.512938,-76.909548,59999,2019,q8 3.0t quattro premium,audi,black,DE - DELAWARE
39.757851,-75.56888,27081,2019,traverse,chevrolet,blue,DE - DELAWARE
39.732075,-75.643448,62997,2019,yukon,gmc,white,DE - DELAWARE
33.7865,-84.4454,24590,2019,f150 regular cab xl pickup,ford,white,DE - DELAWARE
39.757851,-75.56888,37800,2019,traverse,chevrolet,silver,DE - DELAWARE
39.6102,-75.6747,0,2019,transit,ford,purple,DE - DELAWARE
39.757851,-75.56888,34359,2018,silverado 1500,chevrolet,black,DE - DELAWARE
39.757851,-75.56888,26765,2018,traverse,chevrolet,silver,DE - DELAWARE
33.779214,-84.411811,12990,2018,fiesta se hatchback 4d,ford,blue,DE - DELAWARE
39.757851,-75.56888,15999,2018,equinox,chevrolet,silver,DE - DELAWARE
39.757851,-75.56888,18355,2018,equinox,chevrolet,red,DE - DELAWARE
39.757851,-75.56888,14995,2018,trax,chevrolet,red,DE - DELAWARE
33.779214,-84.411811,29990,2018,f150 supercrew cab xlt,ford,black,DE - DELAWARE
39.757851,-75.56888,20800,2018,explorer,ford,silver,DE - DELAWARE
39.512938,-76.909548,47999,2018,2500 crew cab 4x4 mega cab laramie,ram,white,DE - DELAWARE
39.512938,-76.909548,54999,2018,silverado 2500 crew cab ltz 4x4,chevrolet,white,DE - DELAWARE
39.512938,-76.909548,43999,2018,2500 crew cab slt 4x4,ram,white,DE - DELAWARE
38.9218,-75.4299,27500,2018,transit,ford,blue,DE - DELAWARE
40.4226,-74.1799,20995,2018,rav 4,toyota,red,DE - DELAWARE
33.779214,-84.411811,29990,2018,wrangler sahara (jk) sport,jeep,silver,DE - DELAWARE
39.512938,-76.909548,44999,2018,2500 crew cab tradesman 4x4,ram,white,DE - DELAWARE
39.512938,-76.909548,47999,2018,2500 crew cab 4x4 mega cab laramie,ram,white,DE - DELAWARE
39.512938,-76.909548,40999,2018,f-250 crew cab xl flat bed 4x4,ford,white,DE - DELAWARE
33.7865,-84.4454,32590,2018,f150 supercrew cab xlt,ford,red,DE - DELAWARE
39.757851,-75.56888,15899,2018,cruze,chevrolet,blue,DE - DELAWARE
33.779214,-84.411811,25990,2018,i3 s w/range extender,bmw,black,DE - DELAWARE
38.679,-75.3932,20995,2018,crosstrek,subaru,blue,DE - DELAWARE
33.779214,-84.411811,32990,2018,silverado 1500 regular,chevrolet,white,DE - DELAWARE
33.7865,-84.4454,23990,2018,f150 regular cab xl pickup,ford,black,DE - DELAWARE
33.779214,-84.411811,22990,2018,silverado 1500 regular,chevrolet,white,DE - DELAWARE
39.7011,-75.7375,33490,2018,silverado,chevrolet,brown,DE - DELAWARE
39.512938,-76.909548,40999,2018,f-250 crew cab xl flat bed 4x4,ford,white,DE - DELAWARE
39.757851,-75.56888,32000,2018,ridgeline,honda,black,DE - DELAWARE
33.7865,-84.4454,26990,2018,i3 s w/range extender,bmw,black,DE - DELAWARE
39.512938,-76.909548,54999,2018,silverado 2500 crew cab ltz 4x4,chevrolet,white,DE - DELAWARE
39.512938,-76.909548,44999,2018,2500 crew cab tradesman 4x4,ram,white,DE - DELAWARE
39.829891,-75.125281,14550,2018,clarity plug-in hybrid,honda,white,DE - DELAWARE
