latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
33.779214,-84.411811,35990,2020,1500 classic crew cab slt,ram,white,FL - TREASURE COAST
33.779214,-84.411811,41990,2020,suburban lt sport,chevrolet,black,FL - TREASURE COAST
33.7865,-84.4454,18990,2020,corolla hatchback se 4d,toyota,brown,FL - TREASURE COAST
33.7865,-84.4454,43990,2020,gladiator overland pickup,jeep,grey,FL - TREASURE COAST
33.779214,-84.411811,28590,2020,370z coupe 2d,nissan,white,FL - TREASURE COAST
33.7865,-84.4454,42990,2020,suburban lt sport,chevrolet,black,FL - TREASURE COAST
27.2655,-80.3389,55000,2020,camaro,chevrolet,black,FL - TREASURE COAST
27.585425,-80.376394,33999,2020,wrangler unlimited sport s,jeep,silver,FL - TREASURE COAST
33.7865,-84.4454,15990,2020,forte lxs sedan 4d,kia,grey,FL - TREASURE COAST
33.7865,-84.4454,20990,2020,corolla hybrid le sedan,toyota,black,FL - TREASURE COAST
27.631375,-80.356205,20700,2020,tucson,hyundai,grey,FL - TREASURE COAST
27.2482,-80.8191,45000,2020,f-150,ford,red,FL - TREASURE COAST
28.763821,-81.282651,0,2020,super duty f-250,ford,silver,FL - DAYTONA BEACH
25.08,-80.44,34990,2020,wrangler unlimited sport s,jeep,orange,FL - FLORIDA KEYS
26.63,-81.85,14990,2020,versa sv sedan 4d,nissan,black,FL - FT MYERS 
26.14,-81.79,35590,2020,1500 classic crew cab slt,ram,black,FL - FT MYERS 
29.800153,-82.52858,19921,2020,fusion se,ford,red,FL - GAINESVILLE
28.763821,-81.282651,0,2020,3500 chassis cab,ram,black,FL - JACKSONVILLE
30.2407,-81.617,3600,2020,focus se,ford,blue,FL - JACKSONVILLE
29.802239,-82.531324,20691,2020,fusion se,ford,blue,FL - NORTH CENTRAL FL
29.803281,-82.527552,37345,2020,f150 xlt f-150 truck,ford,red,FL - NORTH CENTRAL FL
29.80209,-82.530638,39920,2020,f150 xl 4wd,ford,silver,FL - OCALA
28.569727,-81.277004,12488,2020,corolla,toyota,purple,FL - ORLANDO
28.59698,-81.398555,70220,2020,sienna xle-ny,toyota,white,FL - ORLANDO
28.01567,-82.45978,46998,2020,silverado 1500,chevrolet,blue,FL - ORLANDO
29.800898,-82.530124,31412,2020,ranger xlt,ford,black,FL - PANAMA CITY
29.803281,-82.527552,55993,2020,super duty f250 srw stx,ford,white,FL - PANAMA CITY
29.800898,-82.529781,35950,2020,f150 xl,ford,silver,FL - PENSACOLA
29.802685,-82.527037,59281,2020,f150 lariat 4wd,ford,purple,FL - PENSACOLA
27.33,-82.54,52990,2020,yukon xl slt sport utility,gmc,blue,FL - SARASOTA-BRADENTON
27.241721,-82.506402,29488,2020,outback,subaru,blue,FL - SARASOTA-BRADENTON
27.241721,-82.506402,29488,2020,outback,subaru,white,FL - SARASOTA-BRADENTON
25.858034,-80.419455,16000,2020,altima,nissan,grey,FL - SOUTH FLORIDA
25.827103,-80.24152,54500,2020,gladiator,jeep,white,FL - SOUTH FLORIDA
25.827103,-80.24152,52950,2020,gladiator,jeep,grey,FL - SOUTH FLORIDA
25.827103,-80.24152,59950,2020,gladiator,jeep,white,FL - SOUTH FLORIDA
25.827103,-80.24152,69950,2020,gladiator,jeep,red,FL - SOUTH FLORIDA
25.854527,-80.242142,29998,2020,silverado,chevrolet,white,FL - SOUTH FLORIDA
27.99,-82.27,35990,2020,wrangler unlimited sport s,jeep,white,FL - TAMPA BAY AREA
28.36,-82.19,35590,2020,1500 classic crew cab slt,ram,black,FL - TAMPA BAY AREA
29.804026,-82.52738,44998,2020,explorer limited,ford,red,FL - TAMPA BAY AREA
33.779214,-84.411811,50990,2020,silverado 1500 crew,chevrolet,silver,FL - TREASURE COAST
33.779214,-84.411811,31990,2020,370z coupe 2d,nissan,white,FL - TREASURE COAST
33.779214,-84.411811,30590,2020,370z coupe 2d,nissan,black,FL - TREASURE COAST
28.17,-80.6,38590,2020,370z nismo coupe 2d,nissan,black,FL - SPACE COAST
28.17,-80.6,33990,2020,1500 classic crew cab slt,ram,black,FL - SPACE COAST
