latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
31.57,-84.17,28590,2020,370z coupe 2d,nissan,white,GA - ALBANY
31.57,-84.17,35990,2020,1500 classic crew cab slt,ram,white,GA - ALBANY
31.57,-84.17,31990,2020,370z coupe 2d,nissan,white,GA - ALBANY
31.57,-84.17,39590,2020,silverado 1500 crew,chevrolet,blue,GA - ALBANY
31.57,-84.17,34990,2020,wrangler unlimited sport s,jeep,red,GA - ALBANY
31.57,-84.17,43990,2020,gladiator overland pickup,jeep,grey,GA - ALBANY
31.57,-84.17,31990,2020,ranger supercrew xl pickup,ford,blue,GA - ALBANY
31.57,-84.17,30590,2020,370z coupe 2d,nissan,black,GA - ALBANY
31.57,-84.17,20990,2020,corolla hybrid le sedan,toyota,black,GA - ALBANY
31.57,-84.17,33990,2020,1500 classic crew cab slt,ram,black,GA - ALBANY
31.57,-84.17,30990,2019,ranger supercrew xlt pickup,ford,white,GA - ALBANY
31.57,-84.17,9990,2019,fiesta se hatchback 4d,ford,silver,GA - ALBANY
31.57,-84.17,37590,2019,4runner trd off-road,toyota,black,GA - ALBANY
31.57,-84.17,27990,2019,ranger supercrew xlt pickup,ford,red,GA - ALBANY
31.57,-84.17,31990,2019,1500 classic crew cab big,ram,silver,GA - ALBANY
31.57,-84.17,37590,2019,f150 supercrew cab xlt,ford,red,GA - ALBANY
31.57,-84.17,43590,2019,4runner limited sport,toyota,black,GA - ALBANY
31.57,-84.17,37990,2019,4runner sr5 premium sport,toyota,white,GA - ALBANY
31.57,-84.17,26990,2019,grand cherokee upland sport,jeep,white,GA - ALBANY
31.57,-84.17,41990,2019,challenger r/t scat pack,dodge,blue,GA - ALBANY
31.57,-84.17,31990,2019,1500 classic crew cab big,ram,silver,GA - ALBANY
31.57,-84.17,34990,2019,f150 supercrew cab xlt,ford,black,GA - ALBANY
31.57,-84.17,26590,2019,tacoma access cab sr,toyota,white,GA - ALBANY
31.57,-84.17,25990,2019,f150 regular cab xl pickup,ford,white,GA - ALBANY
31.57,-84.17,39590,2019,sierra 1500 crew cab sle,gmc,grey,GA - ALBANY
31.57,-84.17,34990,2019,titan crew cab sv pickup,nissan,silver,GA - ALBANY
31.57,-84.17,31590,2019,silverado 1500 ld,chevrolet,red,GA - ALBANY
31.57,-84.17,27990,2019,mx-5 miata club,mazda,white,GA - ALBANY
31.57,-84.17,43990,2019,silverado 1500 crew,chevrolet,blue,GA - ALBANY
31.57,-84.17,30990,2019,challenger r/t coupe 2d,dodge,black,GA - ALBANY
31.57,-84.17,27990,2019,ranger supercrew xl pickup,ford,orange,GA - ALBANY
39.512938,-76.909548,40999,2019,silverado 2500 crewcab lt 4x4,chevrolet,white,GA - ALBANY
39.512938,-76.909548,54999,2019,f-350 crew cab xlt 4x4 drw,ford,white,GA - ALBANY
31.57,-84.17,23590,2019,f150 regular cab xl pickup,ford,white,GA - ALBANY
29.04624,-80.934561,27950,2019,transit van,ford,white,GA - ALBANY
31.57,-84.17,14590,2019,jetta 1.4t s sedan 4d,volkswagen,orange,GA - ALBANY
31.57,-84.17,36590,2019,tundra double cab sr5,toyota,blue,GA - ALBANY
31.57,-84.17,32990,2018,wrx sti sedan 4d,subaru,silver,GA - ALBANY
31.57,-84.17,30590,2018,silverado 1500 crew,chevrolet,white,GA - ALBANY
31.57,-84.17,29990,2018,f150 supercrew cab xlt,ford,white,GA - ALBANY
31.57,-84.17,27990,2018,colorado extended cab,chevrolet,black,GA - ALBANY
31.57,-84.17,28590,2018,1500 quad cab express pickup,ram,black,GA - ALBANY
31.57,-84.17,27990,2018,grand cherokee altitude,jeep,black,GA - ALBANY
31.57,-84.17,28990,2018,tacoma double cab sr5,toyota,white,GA - ALBANY
31.57,-84.17,30990,2018,colorado extended cab,chevrolet,black,GA - ALBANY
31.57,-84.17,13990,2018,fiesta se hatchback 4d,ford,grey,GA - ALBANY
31.57,-84.17,33990,2018,wrx sti sedan 4d,subaru,white,GA - ALBANY
31.57,-84.17,32990,2018,silverado 1500 double,chevrolet,red,GA - ALBANY
31.57,-84.17,28590,2018,colorado crew cab work,chevrolet,blue,GA - ALBANY
31.57,-84.17,25590,2018,grand cherokee upland sport,jeep,black,GA - ALBANY
31.57,-84.17,29990,2018,wrangler sahara jk) sport,jeep,silver,GA - ALBANY
31.57,-84.17,28990,2018,tacoma double cab sr5,toyota,grey,GA - ALBANY
31.57,-84.17,31990,2018,sierra 1500 double cab sle,gmc,black,GA - ALBANY
39.512938,-76.909548,54999,2018,silverado 2500 crew cab ltz 4x4,chevrolet,white,GA - ALBANY
31.57,-84.17,35590,2018,4runner trd off-road,toyota,purple,GA - ALBANY
31.57,-84.17,30990,2018,grand cherokee limited,jeep,grey,GA - ALBANY
31.57,-84.17,28990,2018,colorado crew cab lt,chevrolet,silver,GA - ALBANY
39.512938,-76.909548,48999,2018,2500 crew cab 4x4 mega cab laramie,ram,white,GA - ALBANY
31.57,-84.17,33590,2018,wrangler unlimited all new,jeep,black,GA - ALBANY
31.57,-84.17,31590,2018,tacoma double cab trd,toyota,black,GA - ALBANY
31.57,-84.17,29990,2018,sierra 1500 double cab sle,gmc,black,GA - ALBANY
31.57,-84.17,16590,2018,grand caravan passenger se,dodge,silver,GA - ALBANY
31.57,-84.17,21990,2017,golf gti sport,volkswagen,black,GA - ALBANY
31.57,-84.17,26990,2017,1500 quad cab big horn,ram,silver,GA - ALBANY
31.57,-84.17,30590,2017,silverado 1500 double,chevrolet,silver,GA - ALBANY
31.57,-84.17,37990,2017,e-class e 400,mercedes-benz,blue,GA - ALBANY
31.57,-84.17,32990,2017,1500 crew cab slt pickup 4d,ram,red,GA - ALBANY
