latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
21.4228,-157.8115,39500,2020,"f150 xlt",ford,white,"HI - HAWAII"
20.77208,-156.45154,0,2020,tundra,toyota,blue,"HI - HAWAII"
20.890187,-156.461654,36995,2020,ridgeline,honda,grey,"HI - HAWAII"
21.299535,-157.852676,46250,2020,"a5 sportback",audi,silver,"HI - HAWAII"
21.2811,-157.8266,48800,2020,"rx 350",lexus,white,"HI - HAWAII"
21.328284,-157.871254,295,2020,"fusion hybrid se fwd",ford,purple,"HI - HAWAII"
21.328284,-157.871254,295,2020,"fusion hybrid se fwd",ford,silver,"HI - HAWAII"
20.88642,-156.464925,36995,2020,wrangler,jeep,white,"HI - HAWAII"
20.888232,-156.458927,54995,2020,expedition,ford,white,"HI - HAWAII"
19.628586,-155.979037,41500,2020,tacoma,toyota,grey,"HI - HAWAII"
21.296235,-157.859345,31992,2020,"cooper clubman",mini,blue,"HI - HAWAII"
21.296235,-157.859345,17455,2020,veloster,hyundai,white,"HI - HAWAII"
21.302662,-157.855042,91900,2020,"lc 500",lexus,red,"HI - HAWAII"
21.9816,-159.3683,49994,2020,"tacoma trd 4x4",toyota,red,"HI - HAWAII"
21.3488,-157.8759,23995,2020,crosstrek,subaru,white,"HI - HAWAII"
21.336555,-157.91279,309,2020,"mazda6 touring auto",mazda,blue,"HI - HAWAII"
21.328284,-157.871254,398,2020,"mustang ecoboost fastback",ford,black,"HI - HAWAII"
19.646976,-156.00173,83000,2020,"x6 m50i",bmw,grey,"HI - HAWAII"
19.646976,-156.00173,55000,2020,telluride,kia,white,"HI - HAWAII"
20.774332,-156.45271499999996,35995,2020,"colorado 4x4 crew cab",chevrolet,white,"HI - HAWAII"
21.328284,-157.871254,348,2020,"escape se fwd",ford,white,"HI - HAWAII"
21.328284,-157.871254,270,2020,"fusion se fwd",ford,red,"HI - HAWAII"
21.297002,-157.860961,83995,2020,"model x",tesla,blue,"HI - HAWAII"
21.300113,-157.854277,69370,2020,540i,bmw,silver,"HI - HAWAII"
21.300113,-157.854277,42735,2020,330i,bmw,white,"HI - HAWAII"
