latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
42.5125,-92.4104,17589,2020,trax,chevrolet,black,IA - WATERLOO 
42.4582,-92.3336,46398,2020,1500,ram,red,IA - WATERLOO 
42.4582,-92.3336,24991,2020,equinox,chevrolet,white,IA - WATERLOO 
42.5125,-92.4104,41500,2020,f 150,ford,black,IA - WATERLOO 
42.5125,-92.4104,55995,2020,velar,rover,black,IA - WATERLOO 
42.4582,-92.3336,37644,2020,sienna,toyota,black,IA - WATERLOO 
42.5125,-92.4104,36995,2020,maxima,nissan,white,IA - WATERLOO 
42.5143,-92.4472,48000,2020,tundra,toyota,white,IA - WATERLOO 
42.484503,-92.324974,16900,2020,soul,kia,red,IA - WATERLOO 
42.5125,-92.4104,75579,2020,qx80,infiniti,red,IA - WATERLOO 
42.5143,-92.4472,41000,2020,es,lexus,silver,IA - WATERLOO 
42.514301,-92.447197,20838,2020,camry,toyota,silver,IA - AMES
41.7212,-93.5682,33000,2020,rav4,toyota,grey,IA - DES MOINES
42.512501,-92.4104,68860,2020,expedition,ford,silver,IA - FORT DODGE
43.651759,-94.452864,40395,2020,explorer,ford,silver,IA - FORT DODGE
42.458199,-92.333603,65974,2020,2500,ram,silver,IA - WATERLOO 
41.447333,-97.058414,37170,2020,edge sel awd,ford,white,IA - OMAHA 
41.447333,-97.058414,26775,2020,escape se awd,ford,red,IA - OMAHA 
41.424186,-96.499908,43500,2020,2500,ram,black,IA - OMAHA 
39.0705,-93.7133,61980,2020,silverado 2500hd,chevrolet,black,IA - OMAHA 
39.0705,-93.7133,61980,2020,silverado 2500hd,chevrolet,black,IA - OMAHA 
41.190799,-95.977409,27495,2020,terrain slt,gmc,white,IA - OMAHA 
41.190799,-95.977409,27495,2020,pathfinder sl,nissan,black,IA - OMAHA 
41.447333,-97.058414,49523,2020,mustang gt prem. conv.,ford,red,IA - OMAHA 
41.447333,-97.058414,39655,2020,f150 supercrew xlt 4x4,ford,grey,IA - OMAHA 
41.447333,-97.058414,40699,2020,edge titanium awd,ford,red,IA - OMAHA 
41.447333,-97.058414,43900,2020,ranger supercrew lariat 4x4,ford,grey,IA - OMAHA 
42.237336,-95.713271,41400,2020,explorer,ford,black,IA - SIOUX CITY
41.855551,-97.443365,0,2020,outlander sport,mitsubishi,black,IA - SIOUX CITY
42.237336,-95.713271,31400,2020,escape,ford,black,IA - SIOUX CITY
42.237336,-95.713271,41400,2020,explorer,ford,black,IA - SIOUX CITY
42.237336,-95.713271,46900,2020,explorer,ford,silver,IA - SIOUX CITY
41.855551,-97.443365,0,2020,outlander sport,mitsubishi,black,IA - SIOUX CITY
42.5143,-92.4472,24958,2020,camry,toyota,white,IA - WATERLOO 
42.7748,-92.404,45900,2020,nautilus,lincoln,silver,IA - WATERLOO 
42.5143,-92.4472,16786,2020,malibu,chevrolet,white,IA - WATERLOO 
42.4582,-92.3336,45000,2020,telluride,kia,black,IA - WATERLOO 
42.4582,-92.3336,34184,2020,pacifica,chrysler,silver,IA - WATERLOO 
42.5125,-92.4104,41506,2020,explorer,ford,white,IA - WATERLOO 
43.014564,-92.618351,18950,2020,hr-v,honda,grey,IA - WATERLOO 
42.5143,-92.4472,17216,2020,malibu,chevrolet,white,IA - WATERLOO 
42.5143,-92.4472,17216,2020,malibu,chevrolet,white,IA - WATERLOO 
42.4582,-92.3336,36420,2020,durango,dodge,purple,IA - WATERLOO 
42.5143,-92.4472,17216,2020,malibu,chevrolet,white,IA - AMES
42.5143,-92.4472,37000,2020,sienna,toyota,silver,IA - AMES
42.035934,-93.864974,21597,2020,sportage,kia,black,IA - AMES
42.5143,-92.4472,34201,2020,rdx,acura,red,IA - AMES
42.035934,-93.864974,20147,2020,sportage,kia,silver,IA - AMES
42.5143,-92.4472,24958,2020,camry,toyota,white,IA - AMES
42.5143,-92.4472,16786,2020,malibu,chevrolet,silver,IA - AMES
42.5143,-92.4472,44559,2020,rx,lexus,silver,IA - AMES
42.035934,-93.864974,46142,2020,explorer,ford,blue,IA - AMES
42.035934,-93.864974,15993,2020,soul,kia,purple,IA - AMES
42.5143,-92.4472,37900,2020,camaro,chevrolet,white,IA - AMES
42.4582,-92.3336,34115,2020,pacifica,chrysler,black,IA - CEDAR RAPIDS
42.4582,-92.3336,28887,2020,pacifica,chrysler,red,IA - CEDAR RAPIDS
