latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
42.551296,-114.465026,74995,2020,sierra 3500hd,gmc,white,ID - TWIN FALLS
42.551296,-114.465026,45995,2020,sierra 1500,gmc,black,ID - TWIN FALLS
42.554621,-114.472903,39541,2020,rav4 hybrid,toyota,red,ID - TWIN FALLS
42.554621,-114.472903,25750,2020,tiguan,volkswagen,silver,ID - TWIN FALLS
42.554621,-114.472903,29377,2020,rav4,toyota,blue,ID - TWIN FALLS
42.554621,-114.472903,52375,2020,tundra,toyota,blue,ID - TWIN FALLS
42.554621,-114.472903,29377,2020,rav4,toyota,silver,ID - TWIN FALLS
42.554621,-114.472903,29377,2020,rav4,toyota,red,ID - TWIN FALLS
42.554621,-114.472903,45976,2020,suburban,chevrolet,purple,ID - TWIN FALLS
42.554621,-114.472903,36442,2020,grand cherokee,jeep,blue,ID - TWIN FALLS
42.554621,-114.472903,17497,2020,corolla,toyota,red,ID - TWIN FALLS
42.551296,-114.465026,59995,2020,silverado 1500,chevrolet,white,ID - TWIN FALLS
42.554621,-114.472903,35793,2020,ranger,ford,white,ID - TWIN FALLS
42.551296,-114.465026,45995,2020,f-150,ford,white,ID - TWIN FALLS
42.554621,-114.472903,36988,2020,f-150,ford,silver,ID - TWIN FALLS
42.554621,-114.472903,39432,2020,1500,ram,red,ID - TWIN FALLS
42.68499,-114.517427,555,2020,silverado 1500 lt,chevrolet,red,ID - TWIN FALLS
42.554621,-114.472903,35793,2020,ranger,ford,red,ID - TWIN FALLS
42.554621,-114.472903,40974,2020,f-150,ford,black,ID - TWIN FALLS
42.554621,-114.472903,46730,2020,f-150,ford,black,ID - TWIN FALLS
45.385979,-122.608301,69988,2020,2500,ram,black,ID - TWIN FALLS
42.551296,-114.465026,70595,2020,sierra 2500hd,gmc,grey,ID - TWIN FALLS
43.5885,-116.191,24900,2020,kona limited,hyundai,black,ID - BOISE
43.618566,-116.29064,14944,2020,versa,nissan,silver,ID - BOISE
42.551296,-114.465026,45995,2020,f-150,ford,white,ID - BOISE
42.551296,-114.465026,59995,2020,silverado 1500,chevrolet,white,ID - BOISE
42.551296,-114.465026,45995,2020,sierra 1500,gmc,black,ID - BOISE
43.615,-116.3975,44000,2020,sierra 1500,gmc,white,ID - BOISE
47.692931,-117.411632,19980,2020,optima,kia,silver,ID - LEWISTON 
47.692931,-117.411632,19980,2020,optima,kia,silver,ID - PULLMAN 
47.670516,-117.115266,145995,2020,911 carrera 4s,porsche,red,ID - SPOKANE 
47.692931,-117.411632,19980,2020,optima,kia,silver,ID - SPOKANE 
47.670516,-117.115266,26890,2020,terrain,gmc,purple,ID - SPOKANE 
47.65613,-117.236949,78999,2020,lifted sierra diesels durmax,gmc,black,ID - SPOKANE 
47.678837,-117.407379,594,2020,3 series 330i xdrive sedan,bmw,blue,ID - SPOKANE 
47.656773,-117.218613,0,2020,f-150,ford,silver,ID - SPOKANE 
45.882761,-108.505818,72950,2020,sierra denali 3500,gmc,custom,ID - SPOKANE 
47.670516,-117.115266,38995,2020,telluride s,kia,red,ID - SPOKANE 
45.519861,-122.434111,81900,2020,sierra 3500 denali lifted diesel fully loaded 4x4,gmc,black,ID - SPOKANE 
45.519861,-122.434111,74900,2020,"sierra 3500 slt lifted diesel 37 tires headsup 360 cam x3""",gmc,white,ID - SPOKANE 
45.519861,-122.434111,80900,2020,sierra 3500 denali lifted diesel on 37's,gmc,white,ID - SPOKANE 
45.519861,-122.434111,198900,2020,r8 quattro 5.2l v10 awd performance coupe loaded,audi,black,ID - SPOKANE 
45.519861,-122.434111,129900,2020,s8 4.0t twin turbo v8 quattro awd like new,audi,white,ID - SPOKANE 
45.519861,-122.434111,105900,2020,gladiator hellcat swap sema build 1 of a kind 700hp beast,jeep,black,ID - SPOKANE 
47.717677,-117.411665,668,2020,wrangler unlimited sahara,jeep,red,ID - SPOKANE 
47.717677,-117.411665,751,2020,wrangler unlimited maxed,jeep,blue,ID - SPOKANE 
47.656773,-117.218613,52299,2020,gladiator,jeep,white,ID - SPOKANE 
47.65613,-117.236949,32999,2020,acadia slt awd gas suv auto,gmc,white,ID - SPOKANE 
48.20886,-116.56152,34985,2020,wrangler,jeep,black,ID - SPOKANE 
48.20886,-116.56152,55985,2020,wrangler,jeep,purple,ID - SPOKANE 
46.9996,-120.5163,49999,2020,suburban lt,chevrolet,blue,ID - SPOKANE 
46.9996,-120.5163,24905,2020,trax lt,chevrolet,silver,ID - SPOKANE 
46.9996,-120.5163,24330,2020,trax lt awd,chevrolet,blue,ID - SPOKANE 
46.9996,-120.5163,35150,2020,equinox lt,chevrolet,red,ID - SPOKANE 
46.9996,-120.5163,38999,2020,equinox premier,chevrolet,orange,ID - SPOKANE 
46.9996,-120.5163,49080,2020,silverado,chevrolet,black,ID - SPOKANE 
46.9996,-120.5163,25630,2020,equinox ls,chevrolet,black,ID - SPOKANE 
46.9996,-120.5163,69480,2020,silverado,chevrolet,blue,ID - SPOKANE 
46.9996,-120.5163,70150,2020,silverado,chevrolet,blue,ID - SPOKANE 
46.9996,-120.5163,51025,2020,silverado,chevrolet,red,ID - SPOKANE 
46.9996,-120.5163,38850,2020,traverse ls,chevrolet,black,ID - SPOKANE 
48.20886,-116.56152,46985,2020,wrangler,jeep,white,ID - SPOKANE 
47.656773,-117.218613,35999,2020,colorado,chevrolet,grey,ID - SPOKANE 
47.754624,-117.397271,258,2020,camry le auto,toyota,black,ID - SPOKANE 
47.65613,-117.236949,45999,2020,1500 bighorn,ram,white,ID - SPOKANE 
47.71549,-116.916594,27995,2020,tiguan,volkswagen,black,ID - SPOKANE 
47.717677,-117.411665,494,2020,rav4 adventure awd,toyota,red,ID - SPOKANE 
47.65613,-117.236949,39999,2020,1500 bighorn,ram,grey,ID - SPOKANE 
47.65613,-117.236949,46999,2020,lifted f150 xlt 4x4 1/2 ton,ford,grey,ID - SPOKANE 
48.20886,-116.56152,23985,2020,sonata,hyundai,silver,ID - SPOKANE 
47.670516,-117.115266,199996,2020,taycan turbo s,porsche,purple,ID - SPOKANE 
47.656773,-117.218613,0,2020,f-150,ford,silver,ID - SPOKANE 
48.20886,-116.56152,38985,2020,1500,ram,white,ID - SPOKANE 
47.717677,-117.411665,392,2020,outlander sport,mitsubishi,purple,ID - SPOKANE 
47.717677,-117.411665,743,2020,wrangler unlimited maxed,jeep,red,ID - SPOKANE 
48.20886,-116.56152,38985,2020,1500,ram,red,ID - SPOKANE 
47.65613,-117.236949,51999,2020,tundra limited trd off,toyota,silver,ID - SPOKANE 
47.717677,-117.411665,524,2020,eclipse cross maxed,mitsubishi,white,ID - SPOKANE 
47.65613,-117.236949,64999,2020,sierra diesel durmax 1500,gmc,grey,ID - SPOKANE 
47.717677,-117.411665,524,2020,eclipse cross maxed,mitsubishi,blue,ID - SPOKANE 
48.20886,-116.56152,38985,2020,1500,ram,silver,ID - SPOKANE 
48.20886,-116.56152,46985,2020,wrangler,jeep,black,ID - SPOKANE 
47.7248,-116.789,39500,2020,tacoma,toyota,grey,ID - SPOKANE 
47.717677,-117.411665,457,2020,outlander maxed out,mitsubishi,silver,ID - SPOKANE 
48.20886,-116.56152,37985,2020,1500,ram,silver,ID - SPOKANE 
47.738,-117.2557,21500,2020,legacy,subaru,white,ID - SPOKANE 
47.65613,-117.236949,78999,2020,lifted sierra deisel duramax,gmc,black,ID - SPOKANE 
47.717677,-117.411665,416,2020,outlander sport,mitsubishi,blue,ID - SPOKANE 
47.65613,-117.236949,42999,2020,silverado 1500 lt 4x4,chevrolet,silver,ID - SPOKANE 
47.717677,-117.411665,378,2020,murano sv awd loaded,nissan,purple,ID - SPOKANE 
47.65613,-117.236949,78999,2020,sierra diesel duramax 3500,gmc,white,ID - SPOKANE 
48.20886,-116.56152,38985,2020,1500,ram,black,ID - SPOKANE 
48.20886,-116.56152,28985,2020,cherokee,jeep,blue,ID - SPOKANE 
47.65613,-117.236949,32999,2020,acadia slt awd gas suv auto,gmc,white,ID - SPOKANE 
47.717677,-117.411665,365,2020,murano sv awd loaded,nissan,silver,ID - SPOKANE 
48.536698,-117.90611,42500,2020,f-150 xlt 4x4 supercrew,ford,white,ID - SPOKANE 
48.536656,-117.906132,87110,2020,suburban,chevrolet,red,ID - SPOKANE 
47.7989,-116.7423,32998,2020,cr-v ex-l,honda,blue,ID - SPOKANE 
47.65613,-117.236949,45999,2020,1500 bighorn,ram,white,ID - SPOKANE 
47.65613,-117.236949,76999,2020,sierra duramax 2500 hd at4,gmc,white,ID - SPOKANE 
47.717677,-117.411665,459,2020,eclipse cross se,mitsubishi,blue,ID - SPOKANE 
47.65613,-117.236949,32999,2020,colorado z71 4x4 gas,chevrolet,red,ID - SPOKANE 
47.65613,-117.236949,42999,2020,silverado 1500 lt 4x4,chevrolet,silver,ID - SPOKANE 
47.65613,-117.236949,43999,2020,silverado 1500 lt 4x4,chevrolet,black,ID - SPOKANE 
47.65613,-117.236949,46999,2020,lifted f150 xlt 4x4 1/2 ton,ford,grey,ID - SPOKANE 
47.656773,-117.218613,0,2020,colorado,chevrolet,grey,ID - SPOKANE 
47.65613,-117.236949,69999,2020,silverado diesel 3500,chevrolet,black,ID - SPOKANE 
47.65613,-117.236949,78999,2020,sierra diesel duramax 3500,gmc,white,ID - SPOKANE 
47.717677,-117.411665,598,2020,durango r/t hemi loaded,dodge,red,ID - SPOKANE 
47.65613,-117.236949,75999,2020,f150 raptor 4x4 half ton,ford,red,ID - SPOKANE 
47.65613,-117.236949,32999,2020,acadia slt awd gas suv auto,gmc,white,ID - SPOKANE 
47.656773,-117.218613,0,2020,f-150,ford,silver,ID - SPOKANE 
47.658297,-117.16446,30995,2020,grand cherokee,jeep,silver,ID - SPOKANE 
47.656773,-117.218613,38999,2020,durango,dodge,grey,ID - SPOKANE 
