latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
38.209504,-91.173488,21500,2020,equinox lt awd,chevrolet,grey,"IL - ST LOUIS, MO"
38.802269,-90.673649,0,2020,camaro,chevrolet,red,"IL - ST LOUIS, MO"
38.63,-90.24,41990,2020,suburban lt sport,chevrolet,black,"IL - ST LOUIS, MO"
38.505386,-90.451137,24990,2020,escape,ford,blue,"IL - ST LOUIS, MO"
38.505386,-90.451137,26227,2020,equinox,chevrolet,black,"IL - ST LOUIS, MO"
38.63,-90.24,36990,2020,gladiator sport pickup 4d 5,jeep,silver,"IL - ST LOUIS, MO"
38.382623,-93.77344,46398,2020,silverado 1500,chevrolet,black,"IL - ST LOUIS, MO"
38.382623,-93.77344,22538,2020,equinox,chevrolet,silver,"IL - ST LOUIS, MO"
38.382623,-93.77344,48375,2020,silverado 1500,chevrolet,white,"IL - ST LOUIS, MO"
38.382623,-93.77344,44315,2020,blazer,chevrolet,silver,"IL - ST LOUIS, MO"
38.382623,-93.77344,45393,2020,traverse,chevrolet,red,"IL - ST LOUIS, MO"
38.382623,-93.77344,21105,2020,malibu,chevrolet,silver,"IL - ST LOUIS, MO"
38.382623,-93.77344,34245,2020,xt4,cadillac,red,"IL - ST LOUIS, MO"
38.382623,-93.77344,19700,2020,trax,chevrolet,blue,"IL - ST LOUIS, MO"
38.382623,-93.77344,71100,2020,suburban,chevrolet,black,"IL - ST LOUIS, MO"
38.382623,-93.77344,26417,2020,bolt ev,chevrolet,black,"IL - ST LOUIS, MO"
38.382623,-93.77344,17542,2020,trax,chevrolet,purple,"IL - ST LOUIS, MO"
39.0705,-93.7133,61980,2020,silverado 2500hd,chevrolet,black,"IL - ST LOUIS, MO"
38.382623,-93.77344,27459,2020,encore gx,buick,white,"IL - ST LOUIS, MO"
38.382623,-93.77344,54712,2020,f-type,jaguar,white,"IL - ST LOUIS, MO"
38.382623,-93.77344,74882,2020,escalade,cadillac,white,"IL - ST LOUIS, MO"
39.0705,-93.7133,61980,2020,silverado 2500hd,chevrolet,black,"IL - ST LOUIS, MO"
38.63,-90.24,29990,2020,forester sport suv 4d,subaru,silver,"IL - ST LOUIS, MO"
38.9847,-88.1704,33803,2020,explorer,ford,blue,"IL - ST LOUIS, MO"
38.505386,-90.451137,45977,2020,silverado 2500hd,chevrolet,silver,"IL - ST LOUIS, MO"
38.63,-90.24,35990,2020,telluride lx sport utility,kia,white,"IL - ST LOUIS, MO"
38.63,-90.24,42590,2020,silverado 1500 crew,chevrolet,black,"IL - ST LOUIS, MO"
38.775491,-89.958367,38950,2020,pickup 1500 classic,ram,silver,"IL - ST LOUIS, MO"
39.7655,-89.7293,58750,2020,rx 450h awd 4dr,lexus,silver,"IL - ST LOUIS, MO"
