latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
42.449121,-85.667335,27910,2020,edge,ford,black,IN - SOUTH BEND 
42.449121,-85.667335,52710,2020,super duty f-350 drw,ford,black,IN - SOUTH BEND 
41.67,-86.26,37990,2020,telluride s sport utility 4d,kia,purple,IN - SOUTH BEND 
41.67,-86.26,35590,2020,xt4 sport suv 4d,cadillac,white,IN - SOUTH BEND 
42.449121,-85.667335,46510,2020,transit crew van,ford,red,IN - SOUTH BEND 
41.67,-86.26,38990,2020,f150 supercrew cab xlt,ford,black,IN - SOUTH BEND 
41.67,-86.26,35990,2020,gladiator sport s pickup 4d,jeep,silver,IN - SOUTH BEND 
41.604567,-85.872891,18695,2020,corolla,toyota,white,IN - SOUTH BEND 
42.449121,-85.667335,39990,2020,edge,ford,grey,IN - SOUTH BEND 
41.67,-86.26,27990,2020,f150 regular cab xlt pickup,ford,black,IN - SOUTH BEND 
42.449121,-85.667335,43911,2020,f-150,ford,black,IN - SOUTH BEND 
41.67,-86.26,21990,2020,trax lt sport utility,chevrolet,white,IN - SOUTH BEND 
39.414349,-87.416878,38900,2020,explorer,ford,red,IN - TERRE HAUTE
39.47,-87.38,35990,2020,1500 classic crew cab slt,ram,white,IN - TERRE HAUTE
39.414349,-87.416878,46500,2020,2500,ram,silver,IN - TERRE HAUTE
39.414349,-87.416878,23000,2020,eclipse cross,mitsubishi,blue,IN - TERRE HAUTE
38.9847,-88.1704,33803,2020,explorer,ford,blue,IN - TERRE HAUTE
38.9847,-88.1704,33999,2020,explorer,ford,white,IN - TERRE HAUTE
38.9847,-88.1704,22999,2020,escape,ford,blue,IN - TERRE HAUTE
38.9847,-88.1704,22999,2020,escape,ford,purple,IN - TERRE HAUTE
39.47,-87.38,34990,2020,wrangler unlimited sport s,jeep,red,IN - TERRE HAUTE
39.414349,-87.416878,38500,2020,telluride,kia,black,IN - TERRE HAUTE
39.414349,-87.416878,33800,2020,wrangler,jeep,blue,IN - TERRE HAUTE
39.414349,-87.416878,50000,2020,gladiator,jeep,purple,IN - TERRE HAUTE
39.414349,-87.416878,17500,2020,soul,kia,red,IN - TERRE HAUTE
39.414349,-87.416878,31500,2020,savana 3500,gmc,white,IN - TERRE HAUTE
39.414349,-87.416878,19300,2020,soul,kia,white,IN - BLOOMINGTON
39.16,-86.52,35990,2020,1500 classic crew cab slt,ram,white,IN - BLOOMINGTON
39.414349,-87.416878,40500,2020,wrangler unlimited,jeep,blue,IN - BLOOMINGTON
39.414349,-87.416878,20800,2020,rogue,nissan,silver,IN - BLOOMINGTON
39.414349,-87.416878,52500,2020,explorer,ford,black,IN - BLOOMINGTON
39.414349,-87.416878,38500,2020,wrangler unlimited,jeep,white,IN - BLOOMINGTON
39.414349,-87.416878,33500,2020,pacifica,chrysler,red,IN - BLOOMINGTON
39.16,-86.52,34990,2020,wrangler unlimited sport s,jeep,red,IN - BLOOMINGTON
39.414349,-87.416878,50500,2020,f-150,ford,white,IN - BLOOMINGTON
39.414349,-87.416878,31000,2020,rogue,nissan,white,IN - BLOOMINGTON
39.414349,-87.416878,37000,2020,murano,nissan,black,IN - BLOOMINGTON
38.860991,-86.487229,22900,2020,equinox lt,chevrolet,grey,IN - BLOOMINGTON
38.860991,-86.487229,13900,2020,mirage limited,mitsubishi,black,IN - BLOOMINGTON
39.414349,-87.416878,16875,2020,soul,kia,red,IN - BLOOMINGTON
37.98,-87.54,35990,2020,1500 classic crew cab slt,ram,white,IN - EVANSVILLE
37.947562,-87.493364,35995,2020,tacoma,toyota,blue,IN - EVANSVILLE
37.947562,-87.493364,38995,2020,tundra,toyota,red,IN - EVANSVILLE
38.3525,-87.5691,50000,2020,sequoia,toyota,white,IN - EVANSVILLE
37.98,-87.54,28590,2020,370z coupe 2d,nissan,white,IN - EVANSVILLE
37.98,-87.54,30590,2020,370z coupe 2d,nissan,black,IN - EVANSVILLE
38.373296,-86.946077,31722,2020,rav4 hybrid xle,toyota,silver,IN - EVANSVILLE
37.98,-87.54,30990,2020,1500 classic crew cab slt,ram,black,IN - EVANSVILLE
37.98,-87.54,33990,2020,1500 classic crew cab slt,ram,black,IN - EVANSVILLE
38.37612,-86.941206,44499,2020,suburban lt,chevrolet,black,IN - EVANSVILLE
37.947562,-87.493364,18950,2020,corolla,toyota,silver,IN - EVANSVILLE
37.9678,-87.4855,28000,2020,challenger r/t,dodge,white,IN - EVANSVILLE
37.98,-87.54,20990,2020,corolla hybrid le sedan,toyota,black,IN - EVANSVILLE
41.07,-85.13,35990,2020,1500 classic crew cab slt,ram,black,IN - FORT WAYNE
41.07,-85.13,35990,2020,1500 classic crew cab slt,ram,white,IN - FORT WAYNE
41.07,-85.13,30590,2020,370z coupe 2d,nissan,black,IN - FORT WAYNE
41.07,-85.13,42590,2020,silverado 1500 crew,chevrolet,black,IN - FORT WAYNE
41.8276,-83.8773,49900,2020,f350 xlt crew 4x4 diesel,ford,white,IN - FORT WAYNE
41.641514,-85.276461,25950,2020,escape,ford,white,IN - FORT WAYNE
41.641514,-85.276461,26780,2020,terrain,gmc,silver,IN - FORT WAYNE
41.641514,-85.276461,27950,2020,escape,ford,silver,IN - FORT WAYNE
41.4735,-81.7398,15995,2020,civic,honda,silver,IN - FORT WAYNE
41.07,-85.13,30990,2020,1500 classic crew cab slt,ram,black,IN - FORT WAYNE
41.07,-85.13,33990,2020,1500 classic crew cab slt,ram,black,IN - FORT WAYNE
40.573231,-84.184755,0,2020,pilot,honda,white,IN - FORT WAYNE
40.573231,-84.184755,24930,2020,mustang,ford,silver,IN - FORT WAYNE
40.573231,-84.184755,24298,2020,mustang,ford,red,IN - FORT WAYNE
40.573231,-84.184755,52888,2020,f-150,ford,black,IN - FORT WAYNE
41.07,-85.13,42990,2020,4runner trd off-road,toyota,blue,IN - FORT WAYNE
39.414349,-87.416878,38900,2020,explorer,ford,blue,IN - INDIANAPOLIS
39.414349,-87.416878,52500,2020,explorer,ford,black,IN - INDIANAPOLIS
39.720422,-86.353668,36160,2020,explorer,ford,silver,IN - INDIANAPOLIS
39.77,-86.14,38990,2020,telluride s sport utility 4d,kia,silver,IN - INDIANAPOLIS
39.77,-86.14,20590,2020,corolla hatchback se 4d,toyota,white,IN - INDIANAPOLIS
39.77,-86.14,30990,2020,sierra 1500 regular cab,gmc,red,IN - INDIANAPOLIS
39.77,-86.14,42590,2020,yukon sle sport utility 4d,gmc,white,IN - INDIANAPOLIS
39.77,-86.14,39590,2020,xt4 sport suv 4d,cadillac,silver,IN - INDIANAPOLIS
39.720422,-86.353668,24987,2020,camry,toyota,purple,IN - INDIANAPOLIS
39.77,-86.14,36990,2020,gladiator sport pickup 4d 5,jeep,silver,IN - INDIANAPOLIS
39.7795,-86.1328,9500,2020,malibu,chevrolet,purple,IN - INDIANAPOLIS
39.77,-86.14,35990,2020,1500 classic crew cab slt,ram,white,IN - INDIANAPOLIS
39.2301,-85.8855,399,2020,xt4,cadillac,white,IN - INDIANAPOLIS
39.77,-86.14,38590,2020,1500 quad cab big horn,ram,white,IN - INDIANAPOLIS
38.4018,-93.785,30260,2020,equinox,chevrolet,blue,IN - INDIANAPOLIS
38.4018,-93.785,63698,2020,silverado 2500hd,chevrolet,white,IN - INDIANAPOLIS
38.4018,-93.785,44998,2020,traverse,chevrolet,blue,IN - INDIANAPOLIS
38.4018,-93.785,40948,2020,traverse,chevrolet,purple,IN - INDIANAPOLIS
38.4018,-93.785,51498,2020,silverado 1500,chevrolet,blue,IN - INDIANAPOLIS
38.4018,-93.785,26491,2020,bolt ev,chevrolet,purple,IN - INDIANAPOLIS
38.4018,-93.785,20789,2020,malibu,chevrolet,silver,IN - INDIANAPOLIS
38.4018,-93.785,53206,2020,silverado 1500,chevrolet,black,IN - INDIANAPOLIS
38.4018,-93.785,46398,2020,silverado 1500,chevrolet,black,IN - INDIANAPOLIS
38.4018,-93.785,43684,2020,traverse,chevrolet,silver,IN - INDIANAPOLIS
38.4018,-93.785,26999,2020,bolt ev,chevrolet,blue,IN - INDIANAPOLIS
38.4018,-93.785,17999,2020,trax,chevrolet,white,IN - INDIANAPOLIS
39.9259,-86.2359,0,2020,compass,jeep,red,IN - INDIANAPOLIS
40.491808,-87.108879,14900,2020,f150,ford,red,IN - INDIANAPOLIS
39.77,-86.14,35990,2020,telluride lx sport utility,kia,white,IN - INDIANAPOLIS
38.4018,-93.785,53206,2020,silverado 1500,chevrolet,silver,IN - INDIANAPOLIS
38.4018,-93.785,76722,2020,tahoe,chevrolet,purple,IN - INDIANAPOLIS
38.4018,-93.785,56974,2020,silverado 1500,chevrolet,black,IN - INDIANAPOLIS
38.4018,-93.785,67371,2020,silverado 2500hd,chevrolet,purple,IN - INDIANAPOLIS
40.0617,-86.0555,34900,2020,enclave essence awd,buick,silver,IN - INDIANAPOLIS
38.4018,-93.785,46398,2020,silverado 1500,chevrolet,black,IN - INDIANAPOLIS
