latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
35.199,-97.4841,18988,2020,malibu,chevrolet,blue,"KS - WICHITA"
35.2204,-97.4577,43897,2020,"gladiator sport",jeep,grey,"KS - WICHITA"
35.199,-97.4841,33988,2020,challenger,dodge,red,"KS - WICHITA"
39.19,-96.59,39990,2020,"challenger r/t scat pack",dodge,red,"KS - MANHATTAN"
37.67883,-97.060238,0,2020,"ascent premium",subaru,black,"KS - WICHITA"
37.67883,-97.060238,0,2020,tundra,toyota,purple,"KS - WICHITA"
37.65041,-97.328525,20995,2020,"escape se",ford,silver,"KS - WICHITA"
38.671618,-94.36651,26957,2020,terrain,gmc,white,"KS - KANSAS CITY, MO"
38.9296,-94.5009,0,2020,"corolla le",toyota,grey,"KS - KANSAS CITY, MO"
39.09,-94.58,22590,2020,"corolla hatchback xse 4d",toyota,white,"KS - KANSAS CITY, MO"
39.09,-94.58,35990,2020,"gladiator sport pickup 4d 5",jeep,red,"KS - KANSAS CITY, MO"
38.479267,-90.848964,38900,2020,promaster,ram,red,"KS - KANSAS CITY, MO"
38.6419,-94.3285,26957,2020,terrain,gmc,white,"KS - KANSAS CITY, MO"
39.09,-94.58,20990,2020,"ecosport titanium sport",ford,silver,"KS - KANSAS CITY, MO"
39.09,-94.58,38990,2020,"telluride s sport utility 4d",kia,white,"KS - KANSAS CITY, MO"
39.09,-94.58,37990,2020,"xt4 sport suv 4d",cadillac,silver,"KS - KANSAS CITY, MO"
39.09,-94.58,35990,2020,"1500 classic crew cab slt",ram,white,"KS - KANSAS CITY, MO"
39.09,-94.58,35990,2020,"1500 classic crew cab slt",ram,black,"KS - KANSAS CITY, MO"
39.2758,-94.5704,40995,2020,"silverado 1500",chevrolet,blue,"KS - KANSAS CITY, MO"
39.0705,-93.7133,16980,2020,malibu,chevrolet,red,"KS - KANSAS CITY, MO"
39.0705,-93.7133,23980,2020,impala,chevrolet,black,"KS - KANSAS CITY, MO"
39.0705,-93.7133,16980,2020,altima,nissan,white,"KS - KANSAS CITY, MO"
39.0705,-93.7133,19980,2020,equinox,chevrolet,silver,"KS - KANSAS CITY, MO"
38.382623,-93.77344,30260,2020,equinox,chevrolet,red,"KS - KANSAS CITY, MO"
38.382623,-93.77344,63698,2020,"silverado 2500hd",chevrolet,purple,"KS - KANSAS CITY, MO"
38.382623,-93.77344,44998,2020,traverse,chevrolet,black,"KS - KANSAS CITY, MO"
38.382623,-93.77344,40948,2020,traverse,chevrolet,blue,"KS - KANSAS CITY, MO"
38.382623,-93.77344,51498,2020,"silverado 1500",chevrolet,red,"KS - KANSAS CITY, MO"
38.382623,-93.77344,26491,2020,"bolt ev",chevrolet,blue,"KS - KANSAS CITY, MO"
38.382623,-93.77344,54712,2020,f-type,jaguar,white,"KS - KANSAS CITY, MO"
38.382623,-93.77344,20789,2020,malibu,chevrolet,purple,"KS - KANSAS CITY, MO"
38.6419,-94.3285,26957,2020,terrain,gmc,white,"KS - KANSAS CITY, MO"
38.382623,-93.77344,53206,2020,"silverado 1500",chevrolet,purple,"KS - KANSAS CITY, MO"
