latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
38.22,-85.74,35990,2020,"telluride lx sport utility",kia,white,"KY - LOUISVILLE"
38.22,-85.74,38990,2020,"telluride s sport utility 4d",kia,silver,"KY - LOUISVILLE"
38.22,-85.74,38990,2020,"telluride s sport utility 4d",kia,black,"KY - LOUISVILLE"
38.22,-85.74,30990,2020,"1500 classic crew cab slt",ram,black,"KY - LOUISVILLE"
38.22,-85.74,38590,2020,"telluride ex sport utility",kia,black,"KY - LOUISVILLE"
38.678459,-84.600891,21233,2020,equinox,chevrolet,white,"KY - LOUISVILLE"
37.933067,-84.557877,25000,2020,"edge sel fwd",ford,grey,"KY - LOUISVILLE"
38.22,-85.74,35590,2020,"xt4 sport suv 4d",cadillac,white,"KY - LOUISVILLE"
35.839758,-86.387046,46997,2020,gladiator,jeep,silver,"KY - LOUISVILLE"
25.827103,-80.24152,12950,2020,accord,honda,red,"KY - LOUISVILLE"
38.22,-85.74,28590,2020,"370z coupe 2d",nissan,white,"KY - LOUISVILLE"
38.22,-85.74,27990,2020,"f150 regular cab xlt pickup",ford,black,"KY - LOUISVILLE"
38.22,-85.74,36990,2020,"telluride lx sport utility",kia,black,"KY - LOUISVILLE"
38.22,-85.74,33990,2020,"1500 classic crew cab slt",ram,black,"KY - LOUISVILLE"
38.141186,-85.840478,23799,2020,altima,nissan,black,"KY - LOUISVILLE"
38.678459,-84.600891,28973,2020,camaro,chevrolet,grey,"KY - LOUISVILLE"
37.8808,-84.5646,24900,2020,"edge sel awd",ford,white,"KY - LOUISVILLE"
38.678459,-84.600891,23500,2020,equinox,chevrolet,grey,"KY - LOUISVILLE"
38.678459,-84.600891,21053,2020,equinox,chevrolet,grey,"KY - LOUISVILLE"
38.678459,-84.600891,26279,2020,equinox,chevrolet,red,"KY - LOUISVILLE"
38.22,-85.74,16590,2020,"versa sr sedan 4d",nissan,blue,"KY - LOUISVILLE"
38.22,-85.74,20990,2020,"corolla hybrid le sedan",toyota,black,"KY - LOUISVILLE"
38.22,-85.74,48990,2020,"suburban lt sport",chevrolet,silver,"KY - LOUISVILLE"
