latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
42.26,-71.8,35990,2020,xt4 sport suv 4d,cadillac,red,MA - WORCESTER 
42.26,-71.8,37990,2020,xt4 sport suv 4d,cadillac,silver,MA - WORCESTER 
42.11,-72.53,35590,2020,gladiator sport pickup 4d 5,jeep,red,MA - WESTERN MASSACHUSETTS
42.0718,-72.6751,19995,2020,pacifica touring l,chrysler,grey,MA - WESTERN MASSACHUSETTS
42.0718,-72.6751,19995,2020,jetta se,volkswagen,grey,MA - WESTERN MASSACHUSETTS
42.11,-72.53,40990,2020,gladiator sport pickup 4d 5,jeep,silver,MA - WESTERN MASSACHUSETTS
42.11,-72.53,35990,2020,gladiator sport pickup 4d 5,jeep,red,MA - WESTERN MASSACHUSETTS
42.0718,-72.6751,36995,2020,wrangler unlimited sport,jeep,silver,MA - WESTERN MASSACHUSETTS
42.7846,-71.2176,99,2020,forte,kia,blue,MA - WESTERN MASSACHUSETTS
42.834977,-71.107791,73990,2020,silverado medium duty,chevrolet,white,MA - WESTERN MASSACHUSETTS
42.11,-72.53,19990,2020,corolla hybrid le sedan,toyota,red,MA - WESTERN MASSACHUSETTS
42.11,-72.53,33990,2020,1500 classic crew cab slt,ram,black,MA - WESTERN MASSACHUSETTS
42.0718,-72.6751,33995,2020,1500 slt crew cab,ram,silver,MA - WESTERN MASSACHUSETTS
42.7846,-71.2176,99,2020,forte,kia,blue,MA - WESTERN MASSACHUSETTS
42.777828,-73.74899,47800,2020,discovery,rover,black,MA - WESTERN MASSACHUSETTS
42.605387,-72.589105,20852,2020,rogue,nissan,black,MA - WESTERN MASSACHUSETTS
42.11,-72.53,21990,2020,trax lt sport utility,chevrolet,white,MA - WESTERN MASSACHUSETTS
42.26,-71.8,20590,2020,renegade sport suv 4d,jeep,red,MA - WORCESTER 
42.0718,-72.6751,33995,2020,1500 slt crew cab,ram,silver,MA - WORCESTER 
42.26,-71.8,38990,2020,telluride s sport utility 4d,kia,purple,MA - WORCESTER 
42.26,-71.8,38990,2020,telluride s sport utility 4d,kia,black,MA - WORCESTER 
42.26,-71.8,35990,2020,1500 classic crew cab slt,ram,white,MA - WORCESTER 
42.26,-71.8,39590,2020,xt4 sport suv 4d,cadillac,silver,MA - WORCESTER 
42.20997,-71.807702,10995,2020,488 pista spider,ferrari,silver,MA - WORCESTER 
42.26,-71.8,20590,2020,corolla hatchback se 4d,toyota,white,MA - WORCESTER 
42.26,-71.8,34990,2020,wrangler unlimited sport s,jeep,red,MA - WORCESTER 
42.26,-71.8,37990,2020,telluride s sport utility 4d,kia,silver,MA - WORCESTER 
42.26,-71.8,27990,2020,f150 regular cab xlt pickup,ford,black,MA - WORCESTER 
42.5734,-71.6483,15000,2020,forte lx,kia,blue,MA - WORCESTER 
42.26,-71.8,39990,2020,challenger r/t scat pack,dodge,red,MA - WORCESTER 
42.562756,-71.998045,0,2020,sportage lx,kia,blue,MA - WORCESTER 
42.26,-71.8,28590,2020,370z coupe 2d,nissan,white,MA - WORCESTER 
42.26,-71.8,26990,2020,f150 regular cab xl pickup,ford,silver,MA - WORCESTER 
42.26,-71.8,36990,2020,telluride lx sport utility,kia,black,MA - WORCESTER 
42.37,-71.11,53990,2020,yukon xl slt sport utility,gmc,silver,MA - BOSTON
42.0718,-72.6751,19995,2020,jetta se,volkswagen,grey,MA - BOSTON
42.68101,-71.42583,75480,2020,sierra 2500hd,gmc,white,MA - BOSTON
42.7846,-71.2176,99,2020,rogue,nissan,custom,MA - BOSTON
42.130177,-71.524671,29990,2020,blazer,chevrolet,black,MA - BOSTON
42.834977,-71.107791,71990,2020,silverado medium duty,chevrolet,white,MA - BOSTON
42.834977,-71.107791,71990,2020,silverado medium duty,chevrolet,white,MA - BOSTON
42.78,-71.08,34590,2020,1500 classic crew cab slt,ram,blue,MA - BOSTON
42.104454,-70.800753,33988,2020,traverse lt leather,chevrolet,blue,MA - BOSTON
42.104454,-70.800753,37987,2020,silverado 1500 lt,chevrolet,white,MA - BOSTON
42.0718,-72.6751,38995,2020,ridgeline rtl e,honda,black,MA - BOSTON
42.528,-71.109,20500,2020,3,mazda,black,MA - BOSTON
42.0993,-70.957,16999,2020,corolla,toyota,blue,MA - BOSTON
42.130177,-71.524671,45390,2020,f-250,ford,black,MA - BOSTON
42.130177,-71.524671,45390,2020,f-250,ford,silver,MA - BOSTON
42.2787,-71.1589,25500,2020,tiguan se,volkswagen,grey,MA - BOSTON
42.716629,-71.420647,74995,2020,savana 2500 conversion van,gmc,black,MA - BOSTON
42.26,-71,28590,2020,370z coupe 2d,nissan,white,MA - BOSTON
