latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
39.3,-76.61,52990,2020,"xc90 t6 momentum sport",volvo,white,"MD - BALTIMORE"
38.33,-75.08,35990,2020,"1500 classic crew cab slt",ram,white,"MD - EASTERN SHORE"
38.7768,-76.0758,58071,2020,"dually f350 xl diesel",ford,grey,"MD - EASTERN SHORE"
38.33,-75.08,33990,2020,"1500 classic crew cab slt",ram,black,"MD - EASTERN SHORE"
38.33,-75.08,19990,2020,"corolla hybrid le sedan",toyota,red,"MD - EASTERN SHORE"
38.762945,-77.460595,52995,2020,gladiator,jeep,white,"MD - FREDERICK"
39.42,-77.41,34990,2020,"wrangler unlimited sport s",jeep,red,"MD - FREDERICK"
38.63344,-76.90409,0,2020,malibu,chevrolet,black,"MD - SOUTHERN MARYLAND"
38.63344,-76.90409,0,2020,malibu,chevrolet,white,"MD - SOUTHERN MARYLAND"
38.63344,-76.90409,0,2020,camry,toyota,black,"MD - SOUTHERN MARYLAND"
38.63344,-76.90409,0,2020,jetta,volkswagen,white,"MD - SOUTHERN MARYLAND"
38.63344,-76.90409,0,2020,330i,bmw,red,"MD - SOUTHERN MARYLAND"
38.63344,-76.90409,0,2020,corolla,toyota,white,"MD - SOUTHERN MARYLAND"
38.63344,-76.90409,0,2020,enclave,buick,purple,"MD - SOUTHERN MARYLAND"
38.63344,-76.90409,0,2020,silverado,chevrolet,white,"MD - SOUTHERN MARYLAND"
38.82,-77.08,27990,2020,"f150 regular cab xl pickup",ford,silver,"MD - SOUTHERN MARYLAND"
38.523162,-76.616189,46780,2020,camaro,chevrolet,blue,"MD - SOUTHERN MARYLAND"
33.779214,-84.411811,35990,2020,"1500 classic crew cab slt",ram,black,"MD - WESTERN MARYLAND"
39.512938,-76.909548,27999,2020,"pathfinder sv awd",nissan,black,"MD - WESTERN MARYLAND"
33.7865,-84.4454,33990,2020,"1500 classic crew cab slt",ram,black,"MD - WESTERN MARYLAND"
33.7865,-84.4454,20990,2020,"corolla hybrid le sedan",toyota,red,"MD - WESTERN MARYLAND"
39.512938,-76.909548,27999,2020,"pathfinder sv awd",nissan,black,"MD - ANNAPOLIS"
38.823449,-76.947378,0,2020,altima,nissan,silver,"MD - ANNAPOLIS"
38.823449,-76.947378,0,2020,corolla,toyota,white,"MD - ANNAPOLIS"
39.512938,-76.909548,27999,2020,"pathfinder sv awd",nissan,black,"MD - ANNAPOLIS"
38.823449,-76.947378,0,2020,1500,ram,black,"MD - ANNAPOLIS"
38.823449,-76.947378,0,2020,malibu,chevrolet,silver,"MD - ANNAPOLIS"
38.823449,-76.947378,0,2020,pathfinder,nissan,black,"MD - ANNAPOLIS"
38.823449,-76.947378,0,2020,corolla,toyota,silver,"MD - ANNAPOLIS"
