latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
42.788204,-71.233728,24944,2020,"transit connect",ford,black,"ME - MAINE"
42.7846,-71.2176,99,2020,rogue,nissan,custom,"ME - MAINE"
43.992356,-70.050167,0,2020,rogue,nissan,purple,"ME - MAINE"
46.150772,-67.84049,29995,2020,edge,ford,grey,"ME - MAINE"
42.834977,-71.107791,71990,2020,"silverado medium duty",chevrolet,white,"ME - MAINE"
43.648472,-70.483475,119500,2020,"corvette stingray z51",chevrolet,orange,"ME - MAINE"
42.7846,-71.2176,99,2020,rogue,nissan,custom,"ME - MAINE"
43.244,-71.4105,71999,2020,"silverado ltz 3500 dua",chevrolet,white,"ME - MAINE"
44.987005,-68.766088,16000,2020,soul,kia,red,"ME - MAINE"
43.085411,-70.682786,125,2020,"f-150 kingbird",ford,white,"ME - MAINE"
42.756205,-71.210258,42995,2020,wrangler,jeep,green,"ME - MAINE"
43.244,-71.4105,71999,2020,"silverado ltz 3500 dua",chevrolet,white,"ME - MAINE"
42.834977,-71.107791,71990,2020,"silverado medium duty",chevrolet,white,"ME - MAINE"
44.592969,-70.118835,30987,2020,"escape titanium 4wd",ford,black,"ME - MAINE"
42.756205,-71.210258,44995,2020,wrangler,jeep,green,"ME - MAINE"
43.992356,-70.050167,0,2020,rogue,nissan,black,"ME - MAINE"
43.5835,-70.3457,45000,2019,silverado,chevrolet,red,"ME - MAINE"
43.244,-71.4105,99,2019,rav4,toyota,silver,"ME - MAINE"
43.244,-71.4105,99,2019,crosstrek,subaru,blue,"ME - MAINE"
42.838576,-71.10688,39995,2019,1500,ram,black,"ME - MAINE"
43.907985,-69.863222,12995,2019,fiesta,ford,white,"ME - MAINE"
42.7846,-71.2176,99,2019,cruze,chevrolet,red,"ME - MAINE"
46.150772,-67.84049,39995,2019,"pickup 1500",ram,grey,"ME - MAINE"
46.150772,-67.84049,23995,2019,journey,dodge,white,"ME - MAINE"
46.150772,-67.84049,27995,2019,highlander,toyota,black,"ME - MAINE"
46.150772,-67.84049,27995,2019,highlander,toyota,silver,"ME - MAINE"
46.150772,-67.84049,24995,2019,murano,nissan,black,"ME - MAINE"
46.150772,-67.84049,24995,2019,murano,nissan,white,"ME - MAINE"
46.150772,-67.84049,23990,2019,journey,dodge,silver,"ME - MAINE"
46.150772,-67.84049,26995,2019,edge,ford,grey,"ME - MAINE"
47.1295,-68.5973,27900,2019,tacoma,toyota,red,"ME - MAINE"
42.7846,-71.2176,99,2019,"7 series",bmw,silver,"ME - MAINE"
43.244,-71.4105,99,2019,rav4,toyota,purple,"ME - MAINE"
43.244,-71.4105,99,2019,crosstrek,subaru,blue,"ME - MAINE"
42.7846,-71.2176,99,2019,passat,volkswagen,white,"ME - MAINE"
42.7846,-71.2176,99,2019,jetta,volkswagen,grey,"ME - MAINE"
42.92106500000001,-70.858795,29990,2019,"transit 250",ford,silver,"ME - MAINE"
43.244,-71.4105,99,2019,rav4,toyota,black,"ME - MAINE"
44.4877,-68.9311,21995,2019,"grand caravan gt",dodge,blue,"ME - MAINE"
43.244,-71.4105,99,2019,crosstrek,subaru,blue,"ME - MAINE"
42.756205,-71.210258,29995,2019,acadia,gmc,silver,"ME - MAINE"
42.7846,-71.2176,99,2019,cruze,chevrolet,red,"ME - MAINE"
43.83652100000001,-69.913973,0,2019,"fusion se",ford,silver,"ME - MAINE"
42.7846,-71.2176,99,2019,"7 series",bmw,silver,"ME - MAINE"
43.976227,-70.048506,0,2019,altima,nissan,red,"ME - MAINE"
42.7846,-71.2176,99,2019,passat,volkswagen,blue,"ME - MAINE"
42.7846,-71.2176,99,2019,cruze,chevrolet,red,"ME - MAINE"
43.3144,-70.5969,20000,2019,"impreza wagon",subaru,white,"ME - MAINE"
43.83652100000001,-69.913973,0,2019,"rogue sport",nissan,white,"ME - MAINE"
42.0702,-72.6227,17900,2019,legacy,subaru,white,"ME - MAINE"
42.0702,-72.6227,16300,2019,impreza,subaru,silver,"ME - MAINE"
43.83652100000001,-69.913973,0,2019,"rogue sport",nissan,blue,"ME - MAINE"
43.5835,-70.3457,45000,2019,silverado,chevrolet,red,"ME - MAINE"
44.1202,-94.2184,39900,2019,"t campervan",mini,red,"ME - MAINE"
42.756205,-71.210258,22995,2019,tucson,hyundai,silver,"ME - MAINE"
43.6876,-70.2876,40000,2019,"golf r",volkswagen,black,"ME - MAINE"
43.524562,-70.42788399999998,16495,2019,impreza,subaru,white,"ME - MAINE"
44.4877,-68.9311,25995,2019,"forester 2.5i",subaru,white,"ME - MAINE"
42.92106500000001,-70.858795,29990,2019,"transit 250",ford,red,"ME - MAINE"
43.6876,-70.2876,44995,2019,"expedition xlt 4x4",ford,brown,"ME - MAINE"
44.592969,-70.118835,20987,2019,"ecosport se awd",ford,white,"ME - MAINE"
43.9503,-69.7891,27295,2019,"outback 2.5i",subaru,red,"ME - MAINE"
43.3193,-71.467,20995,2019,"rogue awd",nissan,blue,"ME - MAINE"
44.592969,-70.118835,39987,2019,"f-150 xlt supercrew",ford,custom,"ME - MAINE"
43.992356,-70.050167,0,2019,cherokee,jeep,white,"ME - MAINE"
43.83652100000001,-69.913973,0,2019,"1500 big horn",ram,black,"ME - MAINE"
43.911635,-69.898551,16999,2019,"jetta 1.4t se",volkswagen,white,"ME - MAINE"
44.592969,-70.118835,32987,2019,"mkt reserve",lincoln,white,"ME - MAINE"
42.904539,-71.189518,41995,2019,"1500 laramie crew cab",ram,silver,"ME - MAINE"
42.7846,-71.2176,99,2019,passat,volkswagen,red,"ME - MAINE"
42.7846,-71.2176,99,2019,jetta,volkswagen,grey,"ME - MAINE"
43.244,-71.4105,99,2019,"silverado 2500hd",chevrolet,white,"ME - MAINE"
43.5209,-70.4546,28000,2019,colorado,chevrolet,silver,"ME - MAINE"
43.3193,-71.467,20995,2019,"rogue awd",nissan,red,"ME - MAINE"
42.788204,-71.233728,43944,2018,sierra,gmc,black,"ME - MAINE"
43.7958,-70.4143,19500,2018,rav4,toyota,white,"ME - MAINE"
43.244,-71.4105,99,2018,cr-v,honda,silver,"ME - MAINE"
43.647976,-70.481586,18995,2018,wrx,subaru,grey,"ME - MAINE"
42.7846,-71.2176,99,2018,911,porsche,blue,"ME - MAINE"
42.90259,-71.350365,17995,2018,"camry se",toyota,grey,"ME - MAINE"
42.7846,-71.2176,99,2018,sonata,hyundai,grey,"ME - MAINE"
43.244,-71.4105,99,2018,"silverado 1500",chevrolet,white,"ME - MAINE"
44.1523,-70.3206,9000,2018,"sonic lt",chevrolet,grey,"ME - MAINE"
43.83652100000001,-69.913973,0,2018,malibu,chevrolet,blue,"ME - MAINE"
42.834977,-71.107791,0,2018,2500,ram,black,"ME - MAINE"
45.4716,-69.5844,52385,2018,"sequoia platinum",toyota,white,"ME - MAINE"
42.7846,-71.2176,99,2018,gla,mercedes-benz,silver,"ME - MAINE"
42.7846,-71.2176,99,2018,mazda3,mazda,blue,"ME - MAINE"
43.5254,-70.3883,34700,2018,benz,mercedes-benz,black,"ME - MAINE"
42.756205,-71.210258,18995,2018,tucson,hyundai,black,"ME - MAINE"
43.244,-71.4105,99,2018,camry,toyota,red,"ME - MAINE"
