latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
43.307066,-83.079724,3755,2020,cherokee,jeep,purple,"MI - THE THUMB"
45.8219,-88.0683,34000,2020,pacifica,chrysler,blue,"MI - UPPER PENINSULA"
45.8813,-87.1152,56000,2020,"2500 slt sierra",gmc,white,"MI - UPPER PENINSULA"
42.27,-83.73,39990,2020,"challenger r/t scat pack",dodge,red,"MI - ANN ARBOR"
42.4264,-83.3017,43995,2020,"charger scat",dodge,black,"MI - DETROIT METRO"
42.22,-83.36,52990,2020,"yukon xl slt sport utility",gmc,white,"MI - DETROIT METRO"
42.44994000000001,-82.945084,19999,2020,equinox,chevrolet,white,"MI - DETROIT METRO"
42.448987,-85.661948,26995,2020,"grand cherokee",jeep,black,"MI - GRAND RAPIDS"
42.448987,-85.661948,54995,2020,gladiator,jeep,grey,"MI - GRAND RAPIDS"
42.5016,-83.1027,24500,2020,"grand caravan sxt",dodge,red,"MI - GRAND RAPIDS"
42.5016,-83.1027,23900,2020,"camry se nightshade",toyota,white,"MI - GRAND RAPIDS"
42.96,-85.65,41990,2020,"telluride ex sport utility",kia,grey,"MI - GRAND RAPIDS"
42.448987,-85.661948,48995,2020,"wrangler unlimited",jeep,red,"MI - GRAND RAPIDS"
42.449125,-85.669529,46510,2020,"transit crew van",ford,red,"MI - GRAND RAPIDS"
42.96,-85.65,30590,2020,"370z coupe 2d",nissan,black,"MI - GRAND RAPIDS"
42.96,-85.65,35590,2020,"xt4 sport suv 4d",cadillac,white,"MI - GRAND RAPIDS"
42.448987,-85.661948,42995,2020,yukon,gmc,black,"MI - GRAND RAPIDS"
42.448987,-85.661948,48995,2020,f-150,ford,black,"MI - GRAND RAPIDS"
42.783714,-85.506777,42490,2020,"wrangler sahara",jeep,black,"MI - GRAND RAPIDS"
42.448987,-85.661948,24500,2020,cherokee,jeep,silver,"MI - GRAND RAPIDS"
42.820432,-85.663462,27852,2020,legacy,subaru,grey,"MI - GRAND RAPIDS"
42.448987,-85.661948,46995,2020,1500,ram,silver,"MI - GRAND RAPIDS"
42.448987,-85.661948,51995,2020,gladiator,jeep,white,"MI - GRAND RAPIDS"
42.448987,-85.661948,41995,2020,explorer,ford,white,"MI - GRAND RAPIDS"
42.448987,-85.661948,48995,2020,gladiator,jeep,white,"MI - GRAND RAPIDS"
42.64151500000001,-84.661751,12900,2020,"elantra sel",hyundai,white,"MI - GRAND RAPIDS"
42.96,-85.65,40990,2020,"gladiator sport pickup 4d 5",jeep,white,"MI - GRAND RAPIDS"
42.96,-85.65,27590,2020,"f150 regular cab xl pickup",ford,white,"MI - GRAND RAPIDS"
42.448987,-85.661948,28995,2020,terrain,gmc,blue,"MI - GRAND RAPIDS"
42.77,-86.1,35990,2020,"1500 classic crew cab slt",ram,white,"MI - HOLLAND"
42.448987,-85.661948,27500,2020,"grand cherokee",jeep,white,"MI - HOLLAND"
42.448987,-85.661948,27500,2020,"grand cherokee",jeep,blue,"MI - HOLLAND"
42.448987,-85.661948,51995,2020,gladiator,jeep,white,"MI - HOLLAND"
42.449125,-85.669529,52710,2020,"super duty f-350 drw",ford,black,"MI - HOLLAND"
42.448987,-85.661948,52995,2020,gladiator,jeep,black,"MI - HOLLAND"
42.448987,-85.661948,28995,2020,terrain,gmc,blue,"MI - HOLLAND"
42.448987,-85.661948,24500,2020,cherokee,jeep,black,"MI - HOLLAND"
42.448987,-85.661948,42995,2020,yukon,gmc,black,"MI - HOLLAND"
42.448987,-85.661948,46995,2020,1500,ram,silver,"MI - HOLLAND"
42.448987,-85.661948,27995,2020,edge,ford,silver,"MI - HOLLAND"
42.448987,-85.661948,26995,2020,"grand cherokee",jeep,purple,"MI - HOLLAND"
42.448987,-85.661948,48995,2020,f-150,ford,black,"MI - HOLLAND"
42.449125,-85.669529,39990,2020,edge,ford,grey,"MI - HOLLAND"
42.448987,-85.661948,48995,2020,gladiator,jeep,red,"MI - HOLLAND"
42.448987,-85.661948,41995,2020,explorer,ford,white,"MI - HOLLAND"
42.448987,-85.661948,27995,2020,terrain,gmc,blue,"MI - HOLLAND"
42.24,-84.4,34990,2020,"wrangler unlimited sport s",jeep,red,"MI - JACKSON"
42.300673,-84.024108,52995,2020,"wrangler rubicon",jeep,purple,"MI - JACKSON"
42.27,-85.58,35990,2020,"1500 classic crew cab slt",ram,white,"MI - KALAMAZOO"
42.448987,-85.661948,27995,2020,terrain,gmc,red,"MI - KALAMAZOO"
42.447943,-85.66011800000003,22995,2020,equinox,chevrolet,blue,"MI - KALAMAZOO"
42.448987,-85.661948,49995,2020,1500,ram,grey,"MI - KALAMAZOO"
42.448987,-85.661948,48995,2020,gladiator,jeep,silver,"MI - KALAMAZOO"
42.27,-85.58,42590,2020,"silverado 1500 crew",chevrolet,black,"MI - KALAMAZOO"
42.448987,-85.661948,27995,2020,edge,ford,blue,"MI - KALAMAZOO"
42.27,-85.58,33990,2020,"1500 classic crew cab slt",ram,black,"MI - KALAMAZOO"
42.448987,-85.661948,24500,2020,cherokee,jeep,grey,"MI - KALAMAZOO"
42.448987,-85.661948,41995,2020,explorer,ford,white,"MI - KALAMAZOO"
42.448987,-85.661948,26995,2020,"grand cherokee",jeep,purple,"MI - KALAMAZOO"
42.448987,-85.661948,42500,2020,yukon,gmc,black,"MI - KALAMAZOO"
42.448987,-85.661948,26995,2020,"grand cherokee",jeep,black,"MI - KALAMAZOO"
42.448987,-85.661948,48995,2020,f-150,ford,black,"MI - KALAMAZOO"
42.448987,-85.661948,49995,2020,gladiator,jeep,black,"MI - KALAMAZOO"
42.448987,-85.661948,51995,2020,gladiator,jeep,white,"MI - KALAMAZOO"
42.447943,-85.66011800000003,22995,2020,equinox,chevrolet,blue,"MI - KALAMAZOO"
42.084564,-86.418414,337,2020,"fusion titanium",ford,silver,"MI - KALAMAZOO"
42.448987,-85.661948,48995,2020,"wrangler unlimited",jeep,red,"MI - KALAMAZOO"
42.44912100000001,-85.667335,49510,2020,explorer,ford,black,"MI - KALAMAZOO"
42.675003,-82.995479,39999,2020,"wrangler unlimited sahara",jeep,silver,"MI - ANN ARBOR"
42.2524,-83.634,26900,2020,"pacifica touring l",chrysler,grey,"MI - ANN ARBOR"
42.2524,-83.6181,16900,2020,"altima 2.5 s",nissan,grey,"MI - ANN ARBOR"
42.28592800000001,-83.797599,57455,2020,"expedition max",ford,black,"MI - ANN ARBOR"
42.300673,-84.024108,53000,2020,"wrangler unlimited",jeep,silver,"MI - ANN ARBOR"
42.28592800000001,-83.797599,0,2020,fusion,ford,white,"MI - ANN ARBOR"
42.27,-83.73,35990,2020,"1500 classic crew cab slt",ram,white,"MI - ANN ARBOR"
42.28592800000001,-83.797599,22383,2020,fusion,ford,white,"MI - ANN ARBOR"
42.28592800000001,-83.797599,0,2020,fusion,ford,red,"MI - ANN ARBOR"
42.28592800000001,-83.797599,35966,2020,"escape hybrid",ford,blue,"MI - ANN ARBOR"
42.28592800000001,-83.797599,0,2020,fusion,ford,silver,"MI - ANN ARBOR"
42.675003,-82.995479,39999,2020,"wrangler unlimited sahara",jeep,silver,"MI - ANN ARBOR"
42.27,-83.73,34990,2020,"wrangler unlimited sport s",jeep,red,"MI - ANN ARBOR"
42.300673,-84.024108,53000,2020,"wrangler unlimited",jeep,white,"MI - ANN ARBOR"
42.28592800000001,-83.797599,22831,2020,fusion,ford,blue,"MI - ANN ARBOR"
42.3207,-84.0334,40900,2020,"traverse premier",chevrolet,black,"MI - ANN ARBOR"
41.9953,-83.9555,23500,2020,"ranger xl",ford,white,"MI - ANN ARBOR"
42.28592800000001,-83.797599,34855,2020,mustang,ford,orange,"MI - ANN ARBOR"
42.675003,-82.995479,39999,2020,"wrangler unlimited sahara",jeep,silver,"MI - ANN ARBOR"
42.675003,-82.995479,39999,2020,"wrangler unlimited sahara",jeep,silver,"MI - ANN ARBOR"
42.300673,-84.024108,52995,2020,"wrangler rubicon",jeep,black,"MI - ANN ARBOR"
42.27,-83.73,21990,2020,"trax lt sport utility",chevrolet,white,"MI - ANN ARBOR"
25.827103,-80.24152,49950,2020,gladiator,jeep,grey,"MI - BATTLE CREEK"
42.7,-84.55,35990,2020,"1500 classic crew cab slt",ram,white,"MI - CENTRAL MICHIGAN"
25.827103,-80.24152,22950,2020,"3 series",bmw,white,"MI - CENTRAL MICHIGAN"
25.827103,-80.24152,24950,2020,qx60,infiniti,black,"MI - CENTRAL MICHIGAN"
25.827103,-80.24152,39950,2020,x5,bmw,white,"MI - CENTRAL MICHIGAN"
25.827103,-80.24152,14950,2020,tiguan,volkswagen,black,"MI - CENTRAL MICHIGAN"
25.827103,-80.24152,15950,2020,tacoma,toyota,white,"MI - CENTRAL MICHIGAN"
43.6897,-85.4797,24900,2020,"cherokee latitude plus",jeep,black,"MI - CENTRAL MICHIGAN"
25.827103,-80.24152,8450,2020,corolla,toyota,red,"MI - CENTRAL MICHIGAN"
25.827103,-80.24152,31950,2020,evoque,rover,white,"MI - CENTRAL MICHIGAN"
44.267143,-85.219352,43166,2020,blazer,chevrolet,grey,"MI - CENTRAL MICHIGAN"
44.267143,-85.219352,34828,2020,traverse,chevrolet,red,"MI - CENTRAL MICHIGAN"
25.827103,-80.24152,22950,2020,"silverado 1500",chevrolet,silver,"MI - CENTRAL MICHIGAN"
44.267143,-85.219352,25874,2020,equinox,chevrolet,grey,"MI - CENTRAL MICHIGAN"
42.35932,-83.44073,51500,2020,xt6,cadillac,white,"MI - DETROIT METRO"
42.55021,-83.7895,37287,2020,edge,ford,black,"MI - DETROIT METRO"
42.46651,-82.89904,29995,2020,mustang,ford,blue,"MI - DETROIT METRO"
42.55021,-83.7895,44267,2020,f-150,ford,purple,"MI - DETROIT METRO"
42.44955,-82.975033,995,2020,"acadia denali",gmc,silver,"MI - DETROIT METRO"
42.690637,-82.952957,316,2020,blazer,chevrolet,blue,"MI - DETROIT METRO"
42.494961,-83.283211,563,2020,"gladiator sport",jeep,white,"MI - DETROIT METRO"
42.46651,-82.89904,64995,2020,"expedition max",ford,red,"MI - DETROIT METRO"
42.4264,-83.3017,21995,2020,"malibu lt",chevrolet,white,"MI - DETROIT METRO"
42.4264,-83.3017,0,2020,"terrain slt",gmc,white,"MI - DETROIT METRO"
43.02,-83.69,33990,2020,"1500 classic crew cab slt",ram,white,"MI - FLINT"
42.632172,-83.758648,19995,2020,malibu,chevrolet,white,"MI - FLINT"
42.5016,-83.1027,44900,2020,"suburban lt 4x4",chevrolet,silver,"MI - FLINT"
42.632172,-83.758648,24900,2020,terrain,gmc,silver,"MI - FLINT"
42.632172,-83.758648,23900,2020,terrain,gmc,red,"MI - FLINT"
42.632172,-83.758648,18800,2020,malibu,chevrolet,silver,"MI - FLINT"
42.988955,-83.676082,17927,2020,"malibu lt",chevrolet,silver,"MI - FLINT"
42.5016,-83.1027,22900,2020,"fusion titanium",ford,grey,"MI - FLINT"
43.0573,-83.7498,17500,2020,fusion,ford,silver,"MI - FLINT"
43.02,-83.69,21990,2020,"trax lt sport utility",chevrolet,white,"MI - FLINT"
42.96,-85.65,53990,2020,"yukon xl slt sport utility",gmc,white,"MI - GRAND RAPIDS"
42.96,-85.65,30990,2020,"sierra 1500 regular cab",gmc,red,"MI - GRAND RAPIDS"
43.057538,-85.95464399999999,22965,2020,equinox,chevrolet,white,"MI - GRAND RAPIDS"
42.96,-85.65,39590,2020,"xt4 sport suv 4d",cadillac,silver,"MI - GRAND RAPIDS"
42.96,-85.65,36990,2020,"gladiator sport pickup 4d 5",jeep,silver,"MI - GRAND RAPIDS"
42.448987,-85.661948,44995,2020,tundra,toyota,silver,"MI - GRAND RAPIDS"
