latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
43.82,-91.23,37990,2020,telluride s sport utility 4d,kia,purple,MN - MINNEAPOLIS 
43.82,-91.23,34990,2020,wrangler unlimited sport s,jeep,orange,MN - MINNEAPOLIS 
43.82,-91.23,39590,2020,telluride ex sport utility,kia,white,MN - MINNEAPOLIS 
44.98,-93.56,49990,2020,xt6 premium luxury,cadillac,red,MN - MINNEAPOLIS 
44.98,-93.56,34590,2020,x1 sdrive28i sport utility,bmw,blue,MN - MINNEAPOLIS 
44.98,-93.56,49990,2020,xt6 premium luxury,cadillac,black,MN - MINNEAPOLIS 
44.98,-93.56,48990,2020,xt6 premium luxury,cadillac,white,MN - MINNEAPOLIS 
44.98,-93.56,48590,2020,xt6 premium luxury,cadillac,white,MN - MINNEAPOLIS 
45.101739,-93.388336,0,2020,model 3,tesla,white,MN - MINNEAPOLIS 
44.957009,-92.719438,28444,2020,pathfinder,nissan,black,MN - MINNEAPOLIS 
44.957009,-92.719438,30456,2020,q3,audi,white,MN - MINNEAPOLIS 
44.957009,-92.719438,35777,2020,wrangler unlimited,jeep,silver,MN - MINNEAPOLIS 
45.504098,-92.995224,36498,2020,silverado 1500,chevrolet,purple,MN - MINNEAPOLIS 
45.504098,-92.995224,14448,2020,accent,hyundai,red,MN - MINNEAPOLIS 
45.504098,-92.995224,59999,2020,silverado 3500hd,chevrolet,purple,MN - MINNEAPOLIS 
44.86091,-93.29284,43891,2020,f-150 xlt 4d supercrew automatic,ford,black,MN - MINNEAPOLIS 
45.275258,-93.006517,0,2020,f-150,ford,black,MN - MINNEAPOLIS 
45.1907,-93.3021,59476,2020,sierra 1500,gmc,black,MN - MINNEAPOLIS 
45.1907,-93.3021,40996,2020,xt5,cadillac,silver,MN - MINNEAPOLIS 
44.881034,-93.08198,25000,2020,outlander,mitsubishi,silver,MN - MINNEAPOLIS 
44.881034,-93.08198,26200,2020,outlander,mitsubishi,black,MN - MINNEAPOLIS 
44.881034,-93.08198,23600,2020,outlander sport,mitsubishi,black,MN - MINNEAPOLIS 
44.881034,-93.08198,23200,2020,outlander sport,mitsubishi,white,MN - MINNEAPOLIS 
44.881034,-93.08198,24300,2020,outlander sport,mitsubishi,white,MN - MINNEAPOLIS 
44.881034,-93.08198,24000,2020,outlander sport,mitsubishi,black,MN - MINNEAPOLIS 
44.881034,-93.08198,16500,2020,mirage,mitsubishi,silver,MN - MINNEAPOLIS 
44.881034,-93.08198,16100,2020,mirage g4,mitsubishi,red,MN - MINNEAPOLIS 
44.881034,-93.08198,16800,2020,mirage g4,mitsubishi,white,MN - MINNEAPOLIS 
44.881034,-93.08198,24500,2020,eclipse cross,mitsubishi,red,MN - MINNEAPOLIS 
44.881034,-93.08198,16500,2020,mirage,mitsubishi,black,MN - MINNEAPOLIS 
44.881034,-93.08198,27800,2020,eclipse cross,mitsubishi,red,MN - MINNEAPOLIS 
45.272889,-93.008095,0,2020,silverado 1500 lt,chevrolet,red,MN - MINNEAPOLIS 
45.275258,-93.006517,0,2020,silverado 1500,chevrolet,white,MN - MINNEAPOLIS 
45.0645,-93.3413,23750,2020,tlx,acura,black,MN - MINNEAPOLIS 
44.98,-93.56,49990,2020,gr supra 3.0 premium,toyota,red,MN - MINNEAPOLIS 
44.98,-93.56,53990,2020,2500 crew cab power wagon,ram,black,MN - MINNEAPOLIS 
44.98,-93.56,35990,2020,transit 350 passenger van,ford,white,MN - MINNEAPOLIS 
44.98,-93.56,44990,2020,ct5 premium luxury,cadillac,black,MN - MINNEAPOLIS 
44.01,-92.47,35990,2020,1500 classic crew cab slt,ram,white,MN - ROCHESTER
44.01,-92.47,35990,2020,1500 classic crew cab slt,ram,black,MN - ROCHESTER
44.01,-92.47,30590,2020,370z coupe 2d,nissan,black,MN - ROCHESTER
44.01,-92.47,33990,2020,1500 classic crew cab slt,ram,black,MN - ROCHESTER
44.8346,-91.5159,36950,2020,x3 xdrive30i awd crossover,bmw,red,MN - ROCHESTER
44.035011,-92.414761,66900,2020,2500 laramie,ram,grey,MN - ROCHESTER
44.28147,-92.672689,42500,2020,2500 tradesmen,ram,white,MN - ROCHESTER
42.484503,-92.324974,16900,2020,soul,kia,black,MN - ROCHESTER
44.281445,-92.672553,53395,2020,1500 laramie 4x4,ram,black,MN - ROCHESTER
45.046398,-93.038691,0,2020,special service plug-in,ford,black,MN - ST CLOUD
