latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
37.15027,-93.296903,19340,2020,soul,kia,silver,MO - SPRINGFIELD
37.150654,-93.29581,19340,2020,soul,kia,silver,MO - SPRINGFIELD
38.5718,-89.8957,49990,2020,model 3,tesla,red,MO - SPRINGFIELD
38.382623,-93.77344,30260,2020,equinox,chevrolet,silver,MO - SPRINGFIELD
38.382623,-93.77344,63698,2020,silverado 2500hd,chevrolet,black,MO - SPRINGFIELD
38.382623,-93.77344,44998,2020,traverse,chevrolet,red,MO - SPRINGFIELD
38.382623,-93.77344,40948,2020,traverse,chevrolet,black,MO - SPRINGFIELD
38.382623,-93.77344,51498,2020,silverado 1500,chevrolet,white,MO - SPRINGFIELD
38.382623,-93.77344,26491,2020,bolt ev,chevrolet,red,MO - SPRINGFIELD
38.382623,-93.77344,54712,2020,f-type,jaguar,white,MO - SPRINGFIELD
38.382623,-93.77344,20789,2020,malibu,chevrolet,blue,MO - SPRINGFIELD
38.382623,-93.77344,53206,2020,silverado 1500,chevrolet,purple,MO - SPRINGFIELD
38.382623,-93.77344,74882,2020,escalade,cadillac,white,MO - SPRINGFIELD
38.382623,-93.77344,46398,2020,silverado 1500,chevrolet,black,MO - SPRINGFIELD
38.382623,-93.77344,43684,2020,traverse,chevrolet,silver,MO - SPRINGFIELD
38.382623,-93.77344,26999,2020,bolt ev,chevrolet,white,MO - SPRINGFIELD
38.382623,-93.77344,17999,2020,trax,chevrolet,blue,MO - SPRINGFIELD
38.382623,-93.77344,57421,2020,3500,ram,purple,MO - SPRINGFIELD
38.382623,-93.77344,56974,2020,silverado 1500,chevrolet,black,MO - SPRINGFIELD
37.150654,-93.29581,18249,2020,soul,kia,white,MO - SPRINGFIELD
37.150654,-93.29581,19898,2020,optima,kia,silver,MO - SPRINGFIELD
37.150654,-93.29581,19299,2020,optima,kia,white,MO - SPRINGFIELD
38.382623,-93.77344,42801,2020,traverse,chevrolet,black,MO - SPRINGFIELD
