latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
30.511,-88.9681,22425,2020,civic sport,honda,purple,MS - GULFPORT 
29.9871,-90.1695,0,2020,malibu,chevrolet,black,MS - GULFPORT 
30.469029,-88.938252,13495,2020,mirage g4,mitsubishi,red,MS - GULFPORT 
30.4033,-88.9605,48500,2020,3,tesla,black,MS - GULFPORT 
29.9871,-90.1695,0,2020,malibu,chevrolet,black,MS - HATTIESBURG
31.3472,-89.2222,79000,2020,2500,ram,silver,MS - HATTIESBURG
32.38114,-89.48047,49984,2020,gladiator,jeep,white,MS - JACKSON
32.38114,-89.48047,49962,2020,gladiator,jeep,red,MS - JACKSON
29.818173,-95.668628,72995,2020,silverado 2500hd 2500 hd,chevrolet,grey,MS - JACKSON
29.818173,-95.668628,59995,2020,2500,ram,white,MS - JACKSON
29.818173,-95.668628,53995,2020,f-250 f250 f 250,ford,white,MS - JACKSON
29.818173,-95.668628,73995,2020,sierra 2500 hd 2500hd,gmc,black,MS - JACKSON
29.818173,-95.668628,55995,2020,3500,ram,white,MS - JACKSON
32.38114,-89.48047,39634,2020,pickup 1500 classic,ram,red,MS - JACKSON
32.38114,-89.48047,38229,2020,pickup 1500 classic,ram,white,MS - JACKSON
32.38114,-89.48047,37742,2020,pickup 1500 classic,ram,white,MS - JACKSON
32.281577,-90.197981,0,2020,charger gt,dodge,red,MS - JACKSON
32.281577,-90.197981,0,2020,corolla le,toyota,blue,MS - JACKSON
32.38114,-89.48047,19996,2020,malibu,chevrolet,black,MS - JACKSON
32.38114,-89.48047,36405,2020,pickup 1500 classic,ram,silver,MS - JACKSON
32.38114,-89.48047,19089,2020,rogue,nissan,black,MS - JACKSON
34.306921,-88.768532,51500,2020,gladiator,jeep,brown,MS - NORTH MISSISSIPPI
33.779214,-84.411811,38590,2020,wrangler unlimited sport s,jeep,black,MS - NORTH MISSISSIPPI
33.7865,-84.4454,34990,2020,wrangler unlimited sport s,jeep,red,MS - NORTH MISSISSIPPI
33.7865,-84.4454,42990,2020,4runner trd off-road,toyota,purple,MS - NORTH MISSISSIPPI
