latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
47.7989,-116.7423,26998,2020,santa fe sel,hyundai,silver,MT - MISSOULA
47.692931,-117.411632,19180,2020,fusion,ford,silver,MT - MISSOULA
47.7989,-116.7423,26498,2020,renegade trailhawk,jeep,black,MT - MISSOULA
47.738,-117.2557,21500,2020,legacy,subaru,white,MT - MISSOULA
47.7989,-116.7423,49998,2020,1500 laramie,ram,blue,MT - MISSOULA
47.696062,-116.781406,38498,2020,rav4 hybrid xse,toyota,black,MT - MISSOULA
47.717677,-117.411665,598,2020,durango r/t hemi loaded,dodge,silver,MT - MISSOULA
47.7989,-116.7423,46998,2020,sierra,gmc,red,MT - MISSOULA
47.717677,-117.411665,496,2020,rav4 adventure awd,toyota,purple,MT - MISSOULA
47.7989,-116.7423,45998,2020,blazer rs,chevrolet,blue,MT - MISSOULA
47.717677,-117.411665,459,2020,eclipse cross se,mitsubishi,silver,MT - MISSOULA
45.407237,-122.625196,0,2020,1500,ram,blue,MT - MISSOULA
47.7989,-116.7423,49998,2020,1500 laramie,ram,silver,MT - MISSOULA
47.656773,-117.218613,0,2020,f-150,ford,silver,MT - MISSOULA
47.7989,-116.7423,32998,2020,cr-v ex-l,honda,blue,MT - MISSOULA
47.76697,-117.40594,0,2020,yukon xl,gmc,black,MT - MISSOULA
47.717677,-117.411665,378,2020,murano sv,nissan,blue,MT - MISSOULA
47.76697,-117.40594,0,2020,yukon xl,gmc,black,MT - MISSOULA
47.717677,-117.411665,725,2020,wrangler unlimited sahara,jeep,silver,MT - MISSOULA
47.412043,-122.241112,68800,2020,silverado 3500hd,chevrolet,white,MT - MISSOULA
47.696062,-116.781406,38498,2020,rav4 hybrid xse,toyota,silver,MT - MISSOULA
47.692931,-117.411632,19180,2020,fusion,ford,silver,MT - MISSOULA
47.656773,-117.218613,0,2020,colorado,chevrolet,grey,MT - MISSOULA
47.76697,-117.40594,40880,2020,1500,ram,black,MT - MISSOULA
47.7989,-116.7423,49998,2020,1500,ram,purple,MT - MISSOULA
47.475262,-114.898152,36995,2020,f-150,ford,red,MT - MISSOULA
47.717677,-117.411665,351,2020,murano sv,nissan,blue,MT - MISSOULA
47.412043,-122.241112,73900,2020,sierra 3500hd,gmc,white,MT - MISSOULA
45.407237,-122.625196,0,2020,1500,ram,silver,MT - MISSOULA
47.717677,-117.411665,670,2020,wrangler unlimited sahara,jeep,silver,MT - MISSOULA
47.717677,-117.411665,392,2020,outlander sport,mitsubishi,white,MT - MISSOULA
47.717677,-117.411665,824,2020,gladiator maxed out,jeep,red,MT - MISSOULA
47.76697,-117.40594,29880,2020,maxima,nissan,red,MT - MISSOULA
46.9776,-114.0619,52000,2020,silverado 2500hd,chevrolet,white,MT - MISSOULA
47.717677,-117.411665,743,2020,wrangler unlimited maxed,jeep,white,MT - MISSOULA
47.76697,-117.40594,29880,2020,maxima,nissan,silver,MT - MISSOULA
47.7989,-116.7423,39998,2020,canyon,gmc,blue,MT - MISSOULA
47.692931,-117.411632,19180,2020,fusion,ford,silver,MT - MISSOULA
47.76697,-117.40594,39980,2020,grand cherokee,jeep,black,MT - MISSOULA
47.76697,-117.40594,42980,2020,durango,dodge,red,MT - MISSOULA
47.76697,-117.40594,0,2020,grand cherokee,jeep,blue,MT - MISSOULA
45.654728,-110.570955,43499,2020,yukon xl sle,gmc,white,MT - BOZEMAN
45.654773,-110.570977,43499,2020,yukon xl,gmc,black,MT - BOZEMAN
47.7989,-116.7423,49998,2020,explorer platinum,ford,red,MT - BUTTE
47.692931,-117.411632,19980,2020,optima,kia,silver,MT - MISSOULA
44.777727,-106.94434,37995,2020,acadia,gmc,red,MT - BILLINGS
44.777727,-106.94434,54995,2020,1500,ram,red,MT - BILLINGS
44.777727,-106.94434,75995,2020,silverado,chevrolet,red,MT - BILLINGS
47.738,-117.2557,21500,2020,legacy,subaru,white,MT - BILLINGS
47.7989,-116.7423,26998,2020,santa fe sel,hyundai,white,MT - BILLINGS
47.7989,-116.7423,26498,2020,renegade trailhawk,jeep,black,MT - BILLINGS
44.777727,-106.94434,43995,2020,enclave,buick,purple,MT - BILLINGS
47.7989,-116.7423,39998,2020,canyon denali crew cab shor,gmc,blue,MT - BILLINGS
44.777727,-106.94434,54995,2020,1500,ram,red,MT - BILLINGS
47.696062,-116.781406,38498,2020,rav4 hybrid xse,toyota,black,MT - BILLINGS
45.882761,-108.505818,72950,2020,denali 3500 dually 4x4,gmc,red,MT - BILLINGS
44.777727,-106.94434,41995,2020,wrangler unlimited,jeep,orange,MT - BILLINGS
44.777727,-106.94434,29995,2020,escape,ford,orange,MT - BILLINGS
44.777727,-106.94434,29995,2020,escape,ford,orange,MT - BILLINGS
44.777727,-106.94434,41995,2020,wrangler unlimited,jeep,orange,MT - BILLINGS
29.818173,-95.668628,59995,2020,2500,ram,white,MT - BILLINGS
29.818173,-95.668628,53995,2020,f-250 f250 f 250,ford,white,MT - BILLINGS
29.818173,-95.668628,73995,2020,sierra 2500 hd 2500hd,gmc,black,MT - BILLINGS
29.818173,-95.668628,55995,2020,3500,ram,white,MT - BILLINGS
47.7989,-116.7423,32998,2020,cr-v ex-l,honda,purple,MT - BILLINGS
44.777727,-106.94434,49995,2020,gladiator,jeep,white,MT - BILLINGS
44.777727,-106.94434,49995,2020,gladiator,jeep,white,MT - BILLINGS
45.7935,-108.481,75999,2020,silverado 2500hd,chevrolet,red,MT - BILLINGS
40.374375,-104.694103,52500,2020,f-250,ford,white,MT - BILLINGS
44.777727,-106.94434,43995,2020,enclave,buick,silver,MT - BILLINGS
44.777727,-106.94434,75995,2020,silverado,chevrolet,silver,MT - BILLINGS
47.7989,-116.7423,26998,2020,santa fe sel,hyundai,white,MT - BILLINGS
47.7989,-116.7423,26498,2020,renegade,jeep,white,MT - BILLINGS
47.7989,-116.7423,39998,2020,canyon,gmc,black,MT - BILLINGS
47.696062,-116.781406,38498,2020,rav4 hybrid xse,toyota,red,MT - BILLINGS
40.374375,-104.694103,52500,2020,f-250,ford,white,MT - BILLINGS
