latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
34.249828,-77.860684,0,2020,camaro,chevrolet,grey,NC - WILMINGTON
34.249828,-77.860684,0,2020,equinox,chevrolet,white,NC - WILMINGTON
34.21,-77.91,42990,2020,4runner trd off-road,toyota,white,NC - WILMINGTON
36.47869,-79.73814,0,2020,sonic,chevrolet,white,NC - WINSTON-SALEM
36.47869,-79.73814,0,2020,elantra,hyundai,silver,NC - WINSTON-SALEM
36.1,-80.24,40990,2020,telluride ex sport utility,kia,white,NC - WINSTON-SALEM
36.1,-80.24,35990,2020,1500 classic crew cab slt,ram,black,NC - WINSTON-SALEM
36.1,-80.24,35990,2020,1500 classic crew cab slt,ram,white,NC - WINSTON-SALEM
35.922,-80.537,0,2020,colorado,chevrolet,red,NC - WINSTON-SALEM
36.47869,-79.73814,0,2020,elantra,hyundai,silver,NC - WINSTON-SALEM
36.1,-80.24,39590,2020,silverado 1500 crew,chevrolet,blue,NC - WINSTON-SALEM
36.1,-80.24,0,2020,altima,nissan,grey,NC - WINSTON-SALEM
36.1,-80.24,34990,2020,wrangler unlimited sport s,jeep,red,NC - WINSTON-SALEM
36.47869,-79.73814,0,2020,spark,chevrolet,red,NC - WINSTON-SALEM
36.47869,-79.73814,0,2020,envision,buick,silver,NC - WINSTON-SALEM
36.47869,-79.73814,0,2020,encore gx,buick,blue,NC - WINSTON-SALEM
36.1,-80.24,31990,2020,f150 super cab xl pickup 4d,ford,white,NC - WINSTON-SALEM
36.47869,-79.73814,0,2020,encore gx,buick,purple,NC - WINSTON-SALEM
36.47869,-79.73814,0,2020,traverse,chevrolet,red,NC - WINSTON-SALEM
36.47869,-79.73814,0,2020,spark,chevrolet,blue,NC - WINSTON-SALEM
36.151333,-80.286932,42636,2020,1500,ram,white,NC - WINSTON-SALEM
36.1,-80.24,43990,2020,gladiator overland pickup,jeep,grey,NC - WINSTON-SALEM
36.1,-80.24,32990,2020,1500 classic crew cab slt,ram,black,NC - WINSTON-SALEM
36.47869,-79.73814,0,2020,spark,chevrolet,silver,NC - WINSTON-SALEM
36.47869,-79.73814,0,2020,spark,chevrolet,purple,NC - WINSTON-SALEM
36.151333,-80.286932,36895,2020,wrangler unlimited,jeep,white,NC - WINSTON-SALEM
34.2134,-83.448,38635,2020,bronco,ford,black,NC - ASHEVILLE
36.224386,-81.632781,41316,2020,silverado 1500 lt,chevrolet,silver,NC - BOONE
