latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
47.920244,-97.044974,20990,2020,malibu ls,chevrolet,silver,ND - BISMARCK
41.6546,-86.2479,58300,2020,x3 m competition,bmw,grey,ND - BISMARCK
41.6546,-86.2479,58300,2020,x3 m competition,bmw,grey,ND - BISMARCK
41.6546,-86.2479,58300,2020,x3 m competition,bmw,grey,ND - BISMARCK
47.911024,-97.045022,20990,2020,malibu ls,chevrolet,silver,ND - GRAND FORKS
47.911024,-97.045022,20990,2020,malibu ls,chevrolet,silver,ND - GRAND FORKS
47.717677,-117.411665,496,2020,rav4 adventure awd,toyota,blue,ND - NORTH DAKOTA
47.717677,-117.411665,755,2020,wrangler unlimited sahara,jeep,blue,ND - NORTH DAKOTA
47.717677,-117.411665,602,2020,durango r/t hemi loaded,dodge,purple,ND - NORTH DAKOTA
47.717677,-117.411665,672,2020,wrangler unlimited sahara,jeep,purple,ND - NORTH DAKOTA
46.89,-102.79,22000,2019,rav4,toyota,grey,ND - DICKINSON
41.6546,-86.2479,48550,2019,m550i xdrive,bmw,white,ND - BISMARCK
41.6546,-86.2479,48550,2019,m550i xdrive,bmw,white,ND - BISMARCK
41.6546,-86.2479,48550,2019,m550i xdrive,bmw,white,ND - BISMARCK
44.097069,-103.163617,67671,2019,sierra 3500hd denali,gmc,white,ND - NORTH DAKOTA
45.7813,-108.5727,27995,2019,crv ex-l awd,honda,blue,ND - NORTH DAKOTA
47.717677,-117.411665,509,2019,grand cherokee limited,jeep,silver,ND - NORTH DAKOTA
40.374375,-104.694103,35500,2019,f-150,ford,white,ND - NORTH DAKOTA
47.717677,-117.411665,415,2019,challenger all wheel,dodge,black,ND - NORTH DAKOTA
47.717677,-117.411665,714,2019,tundra trd maxed out,toyota,silver,ND - NORTH DAKOTA
45.614034,-108.386684,74990,2019,f-350 super duty xl wowwww,ford,white,ND - NORTH DAKOTA
48.2257,-103.649,36500,2019,1500 texas edition,ram,black,ND - NORTH DAKOTA
47.717677,-117.411665,344,2019,camry se special,toyota,white,ND - NORTH DAKOTA
47.717677,-117.411665,604,2019,ranger lariat ecoboost,ford,blue,ND - NORTH DAKOTA
47.717677,-117.411665,320,2019,journey gt awd leather,dodge,silver,ND - NORTH DAKOTA
47.717677,-117.411665,368,2019,impala premier tech,chevrolet,red,ND - NORTH DAKOTA
47.717677,-117.411665,326,2019,journey gt awd leather,dodge,white,ND - NORTH DAKOTA
47.717677,-117.411665,586,2019,1500 big horn/lone star,ram,red,ND - NORTH DAKOTA
47.717677,-117.411665,284,2019,cruze premier,chevrolet,red,ND - NORTH DAKOTA
47.717677,-117.411665,461,2019,cx-9 touring awd luxury,mazda,red,ND - NORTH DAKOTA
47.717677,-117.411665,311,2019,grand caravan gt premium,dodge,blue,ND - NORTH DAKOTA
47.920244,-97.044974,18990,2018,journey sxt awd,dodge,grey,ND - BISMARCK
46.910203,-98.03364,16695,2018,impala,chevrolet,purple,ND - BISMARCK
47.920244,-97.044974,29990,2018,suburban 4x4,chevrolet,black,ND - BISMARCK
47.920244,-97.044974,23990,2018,explorer xlt,ford,red,ND - BISMARCK
47.920244,-97.044974,25990,2018,transit passenger 350 xlt,ford,blue,ND - BISMARCK
45.082482,-94.334664,0,2018,f550,ford,white,ND - BISMARCK
41.6546,-86.2479,54200,2018,718 boxster s,porsche,black,ND - BISMARCK
41.6546,-86.2479,54200,2018,718 boxster s,porsche,black,ND - BISMARCK
41.6546,-86.2479,54200,2018,718 boxster s,porsche,black,ND - BISMARCK
47.887385,-97.057569,16995,2018,escape,ford,grey,ND - GRAND FORKS
47.887385,-97.057569,19995,2018,edge,ford,white,ND - GRAND FORKS
47.911024,-97.045022,25990,2018,transit passenger 350 xlt,ford,blue,ND - GRAND FORKS
47.920244,-97.044974,25990,2018,transit passenger 350 xlt,ford,blue,ND - GRAND FORKS
47.920244,-97.044974,29990,2018,suburban ls 4x4,chevrolet,black,ND - GRAND FORKS
47.922243,-97.043816,18990,2018,journey sxt,dodge,silver,ND - GRAND FORKS
47.920244,-97.044974,23990,2018,explorer xlt,ford,red,ND - GRAND FORKS
47.911024,-97.045022,26990,2018,transit passenger 350 xlt,ford,blue,ND - GRAND FORKS
47.717677,-117.411665,594,2018,silverado lt,chevrolet,purple,ND - NORTH DAKOTA
47.717677,-117.411665,196,2018,cruze ls,chevrolet,silver,ND - NORTH DAKOTA
47.717677,-117.411665,604,2018,1500 sport 4x4 hemi,ram,blue,ND - NORTH DAKOTA
