latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
41.438366,-97.316899,17977,2020,outlander sport,mitsubishi,black,NE - GRAND ISLAND
41.438366,-97.316899,24745,2020,escape,ford,white,NE - GRAND ISLAND
40.4976,-96.7166,51900,2020,silverado 2500hd,chevrolet,white,NE - LINCOLN
41.447333,-97.058414,30937,2020,escape sel awd,ford,grey,NE - LINCOLN
41.447333,-97.058414,37170,2020,edge sel awd,ford,white,NE - LINCOLN
41.447333,-97.058414,26775,2020,escape se awd,ford,red,NE - LINCOLN
41.424186,-96.499908,43500,2020,2500,ram,black,NE - LINCOLN
40.4976,-96.7166,51900,2020,silverado 2500hd,chevrolet,white,NE - LINCOLN
41.447333,-97.058414,49523,2020,mustang gt prem. conv.,ford,red,NE - LINCOLN
41.447333,-97.058414,39655,2020,f150 supercrew xlt 4x4,ford,grey,NE - LINCOLN
41.447333,-97.058414,40699,2020,edge titanium awd,ford,red,NE - LINCOLN
41.438366,-97.316899,17977,2020,outlander sport,mitsubishi,black,NE - LINCOLN
41.447333,-97.058414,43900,2020,ranger supercrew lariat 4x4,ford,grey,NE - LINCOLN
41.447333,-97.058414,45416,2020,f150 supercrew xlt 4x4,ford,red,NE - LINCOLN
41.447333,-97.058414,29025,2020,escape sel awd,ford,white,NE - LINCOLN
40.852124,-96.598577,20000,2020,civic ex,honda,silver,NE - LINCOLN
41.447333,-97.058414,43900,2020,explorer xlt 4x4,ford,silver,NE - LINCOLN
35.833,-97.436,0,2020,f350,ford,white,NE - LINCOLN
40.770239,-96.699458,20900,2020,grand caravan se,dodge,blue,NE - LINCOLN
40.770223,-96.699908,20900,2020,grand caravan se,dodge,grey,NE - LINCOLN
41.447333,-97.058414,41930,2020,explorer xlt 4x4,ford,black,NE - LINCOLN
41.447333,-97.058414,42224,2020,ranger crew cab lariat 4x4,ford,red,NE - LINCOLN
41.6546,-86.2479,58300,2020,x3 m competition,bmw,grey,NE - LINCOLN
40.851,-96.711,35900,2020,silverado 1500,chevrolet,black,NE - LINCOLN
41.447333,-97.058414,43900,2020,explorer xlt 4x4,ford,white,NE - LINCOLN
41.447333,-97.058414,44215,2020,edge st awd,ford,red,NE - LINCOLN
41.447333,-97.058414,21422,2020,ecosport se 4x4,ford,red,NE - LINCOLN
41.447333,-97.058414,57192,2020,expedition max xlt 4x4,ford,silver,NE - LINCOLN
41.447333,-97.058414,48217,2020,explorer limited 4x4,ford,red,NE - LINCOLN
41.447333,-97.058414,43900,2020,explorer xlt 4x4,ford,grey,NE - LINCOLN
41.447333,-97.058414,45499,2020,explorer xlt 4x4,ford,white,NE - LINCOLN
41.6546,-86.2479,58300,2020,x3 m competition,bmw,grey,NE - LINCOLN
41.6546,-86.2479,58300,2020,x3 m competition,bmw,grey,NE - LINCOLN
41.6788,-93.2588,19900,2020,equinox lt,chevrolet,grey,NE - OMAHA
41.1345,-96.2458,19988,2019,flex,ford,blue,NE - GRAND ISLAND
41.1345,-96.2458,13988,2019,elantra,hyundai,purple,NE - GRAND ISLAND
41.1345,-96.2458,19988,2019,flex,ford,purple,NE - GRAND ISLAND
41.1345,-96.2458,19988,2019,flex,ford,black,NE - GRAND ISLAND
41.1345,-96.2458,25488,2019,300,chrysler,red,NE - GRAND ISLAND
41.1345,-96.2458,13988,2019,elantra,hyundai,silver,NE - GRAND ISLAND
41.1345,-96.2458,13988,2019,elantra,hyundai,black,NE - GRAND ISLAND
41.1345,-96.2458,13988,2019,elantra,hyundai,silver,NE - GRAND ISLAND
41.1345,-96.2458,19988,2019,flex,ford,white,NE - GRAND ISLAND
40.8667,-97.5825,30000,2019,acadia,gmc,silver,NE - GRAND ISLAND
41.438366,-97.316899,21524,2019,taurus,ford,grey,NE - GRAND ISLAND
41.1345,-96.2458,25488,2019,300,chrysler,white,NE - GRAND ISLAND
41.1345,-96.2458,13988,2019,elantra,hyundai,blue,NE - GRAND ISLAND
41.438366,-97.316899,16877,2019,grand caravan,dodge,red,NE - GRAND ISLAND
41.1345,-96.2458,13988,2019,elantra,hyundai,purple,NE - GRAND ISLAND
41.1345,-96.2458,19988,2019,flex,ford,blue,NE - GRAND ISLAND
40.299,-98.6046,19900,2019,journey rt,dodge,silver,NE - GRAND ISLAND
41.438366,-97.316899,18986,2019,fusion energi,ford,red,NE - GRAND ISLAND
41.1345,-96.2458,25488,2019,300,chrysler,black,NE - GRAND ISLAND
41.1345,-96.2458,25488,2019,300,chrysler,black,NE - GRAND ISLAND
41.438366,-97.316899,18999,2019,taurus,ford,black,NE - GRAND ISLAND
41.438366,-97.316899,22977,2019,300-series,chrysler,grey,NE - GRAND ISLAND
41.438366,-97.316899,17999,2019,fusion hybrid,ford,blue,NE - GRAND ISLAND
41.1345,-96.2458,25488,2019,300,chrysler,purple,NE - GRAND ISLAND
41.1345,-96.2458,25488,2019,300,chrysler,white,NE - LINCOLN
41.438366,-97.316899,17999,2019,grand caravan,dodge,purple,NE - LINCOLN
41.1345,-96.2458,25488,2019,300,chrysler,purple,NE - LINCOLN
41.1345,-96.2458,19988,2019,flex,ford,blue,NE - LINCOLN
38.6269,-95.8303,64500,2019,2500 denali hd,gmc,red,NE - LINCOLN
41.1345,-96.2458,19988,2019,flex,ford,blue,NE - LINCOLN
40.770288,-96.699651,19900,2019,grand caravan sxt,dodge,silver,NE - LINCOLN
40.770272,-96.699629,22400,2019,express 3500 lt,chevrolet,white,NE - LINCOLN
41.1345,-96.2458,25488,2019,300,chrysler,black,NE - LINCOLN
39.0299,-96.8396,19995,2019,fusion,ford,red,NE - LINCOLN
41.438866,-97.34803,21777,2019,journey gt awd,dodge,black,NE - LINCOLN
41.1345,-96.2458,19988,2019,flex,ford,purple,NE - LINCOLN
41.1345,-96.2458,25488,2019,300,chrysler,red,NE - LINCOLN
41.1345,-96.2458,25488,2019,300,chrysler,silver,NE - LINCOLN
41.1345,-96.2458,25488,2019,300,chrysler,purple,NE - LINCOLN
41.424186,-96.499908,33995,2019,tacoma,toyota,silver,NE - LINCOLN
41.424186,-96.499908,39900,2019,1500,ram,red,NE - LINCOLN
41.1345,-96.2458,19988,2019,flex,ford,silver,NE - LINCOLN
