latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
42.68101,-71.42583,30980,2020,"grand cherokee",jeep,black,"NH - NEW HAMPSHIRE"
42.914352,-71.38990600000002,35995,2020,ranger,ford,black,"NH - NEW HAMPSHIRE"
42.7846,-71.2176,99,2020,rogue,nissan,custom,"NH - NEW HAMPSHIRE"
42.99,-71.45,38990,2020,"telluride s sport utility 4d",kia,purple,"NH - NEW HAMPSHIRE"
42.99,-71.45,35990,2020,"gladiator sport pickup 4d 5",jeep,red,"NH - NEW HAMPSHIRE"
42.68101,-71.42583,75480,2020,"sierra 2500hd",gmc,white,"NH - NEW HAMPSHIRE"
42.716388,-71.41974599999998,74995,2020,"savana 2500 extended",gmc,black,"NH - NEW HAMPSHIRE"
42.68101,-71.42583,28680,2020,cherokee,jeep,white,"NH - NEW HAMPSHIRE"
42.8667,-71.5128,81000,2020,corvette,chevrolet,grey,"NH - NEW HAMPSHIRE"
42.967954,-71.47851,22900,2020,"compass latitude",jeep,red,"NH - NEW HAMPSHIRE"
42.99,-71.45,20590,2020,"renegade sport suv 4d",jeep,red,"NH - NEW HAMPSHIRE"
42.7846,-71.2176,99,2020,rogue,nissan,custom,"NH - NEW HAMPSHIRE"
43.244,-71.4105,71999,2020,"silverado ltz 3500 dua",chevrolet,white,"NH - NEW HAMPSHIRE"
43.3679,-72.3422,48000,2020,f-150,ford,blue,"NH - NEW HAMPSHIRE"
42.967452,-71.477823,14900,2020,forte,kia,red,"NH - NEW HAMPSHIRE"
42.756205,-71.210258,42995,2020,wrangler,jeep,green,"NH - NEW HAMPSHIRE"
42.68101,-71.42583,45680,2020,"wrangler unlimited",jeep,black,"NH - NEW HAMPSHIRE"
42.99,-71.45,35990,2020,"1500 classic crew cab slt",ram,white,"NH - NEW HAMPSHIRE"
42.914352,-71.38990600000002,35995,2020,ranger,ford,black,"NH - NEW HAMPSHIRE"
43.2185,-71.5277,99500,2020,"c8 corvette",chevrolet,black,"NH - NEW HAMPSHIRE"
42.68101,-71.42583,45680,2020,"wrangler unlimited",jeep,orange,"NH - NEW HAMPSHIRE"
42.99,-71.45,38990,2020,"telluride s sport utility 4d",kia,black,"NH - NEW HAMPSHIRE"
42.68101,-71.42583,45680,2020,"wrangler unlimited",jeep,blue,"NH - NEW HAMPSHIRE"
42.834977,-71.107791,71990,2020,"silverado medium duty",chevrolet,white,"NH - NEW HAMPSHIRE"
42.727498,-71.445454,29999,2020,1500,ram,white,"NH - NEW HAMPSHIRE"
43.244,-71.4105,71999,2020,"silverado ltz 3500 dua",chevrolet,white,"NH - NEW HAMPSHIRE"
42.99,-71.45,20590,2020,"corolla hatchback se 4d",toyota,white,"NH - NEW HAMPSHIRE"
42.68101,-71.42583,43330,2020,"wrangler unlimited",jeep,grey,"NH - NEW HAMPSHIRE"
42.914352,-71.38990600000002,35995,2020,ranger,ford,black,"NH - NEW HAMPSHIRE"
42.920261,-72.291197,37876,2020,"grand cherokee",jeep,red,"NH - NEW HAMPSHIRE"
42.9133,-71.0639,68500,2019,f-150,ford,purple,"NH - NEW HAMPSHIRE"
42.690399,-71.43339499999998,44995,2019,"silverado 1500 lt 4x4",chevrolet,red,"NH - NEW HAMPSHIRE"
43.16024,-71.00593,10900,2019,"mirage g4",mitsubishi,grey,"NH - NEW HAMPSHIRE"
42.920261,-72.291197,22889,2019,"grand caravan",dodge,white,"NH - NEW HAMPSHIRE"
42.828659,-71.108654,23488,2019,"transit connect van",ford,blue,"NH - NEW HAMPSHIRE"
42.99,-71.45,42590,2019,"model 3 long range sedan",tesla,blue,"NH - NEW HAMPSHIRE"
42.99,-71.45,34990,2019,"q70 3.7 luxe sedan 4d",infiniti,white,"NH - NEW HAMPSHIRE"
42.99,-71.45,23990,2019,"cascada premium",buick,white,"NH - NEW HAMPSHIRE"
43.3045,-70.9756,4000,2019,camry,toyota,grey,"NH - NEW HAMPSHIRE"
42.68101,-71.42583,32480,2019,edge,ford,grey,"NH - NEW HAMPSHIRE"
42.68101,-71.42583,62480,2019,"silverado 2500hd",chevrolet,black,"NH - NEW HAMPSHIRE"
43.244,-71.4105,99,2019,rav4,toyota,red,"NH - NEW HAMPSHIRE"
43.244,-71.4105,99,2019,crosstrek,subaru,blue,"NH - NEW HAMPSHIRE"
42.99,-71.45,26990,2019,"124 spider lusso",fiat,red,"NH - NEW HAMPSHIRE"
43.04463,-70.817942,46787,2019,"gx 460",lexus,silver,"NH - NEW HAMPSHIRE"
43.271723,-71.46280300000002,14795,2019,"sentra sv sedan",nissan,black,"NH - NEW HAMPSHIRE"
43.271723,-71.46280300000002,20995,2019,"rogue awd",nissan,white,"NH - NEW HAMPSHIRE"
42.716294,-71.419768,21995,2019,"grand caravan gt",dodge,silver,"NH - NEW HAMPSHIRE"
42.716388,-71.419682,20995,2019,"grand caravan sxt wagon",dodge,white,"NH - NEW HAMPSHIRE"
42.99,-71.45,16990,2019,"corolla hatchback se 4d",toyota,white,"NH - NEW HAMPSHIRE"
42.99,-71.45,39590,2019,"challenger r/t scat pack",dodge,red,"NH - NEW HAMPSHIRE"
44.2641,-72.577,19750,2019,"golf awd sportwagen",volkswagen,silver,"NH - NEW HAMPSHIRE"
42.7846,-71.2176,99,2019,cruze,chevrolet,red,"NH - NEW HAMPSHIRE"
42.7846,-71.2176,99,2019,"7 series",bmw,silver,"NH - NEW HAMPSHIRE"
42.99,-71.45,27990,2019,"mx-5 miata club",mazda,red,"NH - NEW HAMPSHIRE"
42.99,-71.45,28590,2019,"mx-5 miata club",mazda,white,"NH - NEW HAMPSHIRE"
43.244,-71.4105,99,2019,rav4,toyota,blue,"NH - NEW HAMPSHIRE"
43.244,-71.4105,99,2019,crosstrek,subaru,blue,"NH - NEW HAMPSHIRE"
42.7846,-71.2176,99,2019,passat,volkswagen,red,"NH - NEW HAMPSHIRE"
42.7846,-71.2176,99,2019,jetta,volkswagen,grey,"NH - NEW HAMPSHIRE"
