latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
40.4109,-74.238,16900,2020,"malibu lt",chevrolet,white,"NJ - SOUTH JERSEY"
39.9513,-75.1741,212,2020,tacoma,toyota,white,"NJ - SOUTH JERSEY"
39.829891,-75.125281,12950,2020,mirage,mitsubishi,black,"NJ - SOUTH JERSEY"
40.854383,-74.120245,500,2020,"rogue sv awdcrossover",nissan,white,"NJ - SOUTH JERSEY"
39.46,-74.99,26990,2020,"f150 regular cab xl pickup",ford,silver,"NJ - SOUTH JERSEY"
40.2043,-74.1779,49995,2020,xt6,cadillac,black,"NJ - SOUTH JERSEY"
40.2043,-74.1779,48995,2020,glc,mercedes-benz,purple,"NJ - SOUTH JERSEY"
40.2043,-74.1779,21995,2020,"transit connect van",ford,purple,"NJ - SOUTH JERSEY"
40.2043,-74.1779,20995,2020,"rogue sport",nissan,silver,"NJ - SOUTH JERSEY"
40.2043,-74.1779,26995,2020,compass,jeep,red,"NJ - SOUTH JERSEY"
40.2043,-74.1779,26995,2020,compass,jeep,red,"NJ - SOUTH JERSEY"
40.2043,-74.1779,31995,2020,pacifica,chrysler,blue,"NJ - SOUTH JERSEY"
40.2043,-74.1779,31995,2020,pacifica,chrysler,purple,"NJ - SOUTH JERSEY"
40.2043,-74.1779,60995,2020,gle,mercedes-benz,purple,"NJ - NORTH JERSEY"
40.2043,-74.1779,43995,2020,telluride,kia,black,"NJ - NORTH JERSEY"
40.921231,-74.588319,24088,2020,"santa fe se",hyundai,silver,"NJ - NORTH JERSEY"
40.2043,-74.1779,48995,2020,rx,lexus,silver,"NJ - NORTH JERSEY"
40.2043,-74.1779,31995,2020,acadia,gmc,purple,"NJ - NORTH JERSEY"
40.2043,-74.1779,33995,2020,tlx,acura,blue,"NJ - NORTH JERSEY"
40.2043,-74.1779,22995,2020,altima,nissan,black,"NJ - NORTH JERSEY"
40.46865,-74.29699000000002,14233,2020,"corolla le cvt (natl)",toyota,black,"NJ - NORTH JERSEY"
40.46865,-74.29699000000002,18349,2020,"altima 2.5 sr sedan",nissan,black,"NJ - NORTH JERSEY"
40.2043,-74.1779,39995,2020,c-class,mercedes-benz,black,"NJ - NORTH JERSEY"
40.2043,-74.1779,84995,2020,"7 series",bmw,black,"NJ - NORTH JERSEY"
40.2043,-74.1779,52995,2020,e-class,mercedes-benz,red,"NJ - NORTH JERSEY"
40.2043,-74.1779,23995,2020,"prius prime",toyota,blue,"NJ - NORTH JERSEY"
40.586117,-74.26687700000002,18900,2020,"civic hatchback",honda,silver,"NJ - NORTH JERSEY"
40.787025,-74.19495699999997,23995,2020,"maxima sv",nissan,black,"NJ - NORTH JERSEY"
40.44,-74.82,41990,2020,"mdx sh-awd w/technology",acura,purple,"NJ - NORTH JERSEY"
41.0695,-74.8069,22850,2020,sportage,kia,blue,"NJ - NORTH JERSEY"
41.0695,-74.8069,22850,2020,"sportage lx",kia,silver,"NJ - NORTH JERSEY"
41.0695,-74.8069,20850,2020,optima,kia,blue,"NJ - NORTH JERSEY"
41.0695,-74.8069,16500,2020,forte,kia,white,"NJ - NORTH JERSEY"
41.0695,-74.8069,15500,2020,forte,kia,purple,"NJ - NORTH JERSEY"
41.0695,-74.8069,15500,2020,forte,kia,blue,"NJ - NORTH JERSEY"
41.0695,-74.8069,25400,2020,"sorento lx",kia,black,"NJ - NORTH JERSEY"
41.0695,-74.8069,25400,2020,"sorento lx",kia,silver,"NJ - NORTH JERSEY"
41.0695,-74.8069,25400,2020,"sorento lx",kia,red,"NJ - NORTH JERSEY"
41.0695,-74.8069,23900,2020,soul,kia,purple,"NJ - NORTH JERSEY"
41.0695,-74.8069,17500,2020,soul,kia,white,"NJ - NORTH JERSEY"
41.0695,-74.8069,21300,2020,soul,kia,purple,"NJ - NORTH JERSEY"
39.46,-74.99,20590,2020,"renegade sport suv 4d",jeep,red,"NJ - SOUTH JERSEY"
39.9999,-74.2228,41995,2020,"suburban lt 1500",chevrolet,black,"NJ - SOUTH JERSEY"
40.7236,-74.2015,42000,2020,corsair,lincoln,white,"NJ - SOUTH JERSEY"
40.876514,-74.072113,38895,2020,wrx,subaru,purple,"NJ - SOUTH JERSEY"
39.9519,-75.0482,0,2020,"eclipse cross",mitsubishi,white,"NJ - SOUTH JERSEY"
40.06800000000001,-74.8454,0,2020,optima,kia,black,"NJ - SOUTH JERSEY"
39.46,-74.99,35990,2020,"1500 classic crew cab slt",ram,white,"NJ - SOUTH JERSEY"
40.2043,-74.1779,20995,2020,seltos,kia,blue,"NJ - SOUTH JERSEY"
40.2043,-74.1779,14495,2020,soul,kia,purple,"NJ - SOUTH JERSEY"
40.2043,-74.1779,14995,2020,soul,kia,red,"NJ - SOUTH JERSEY"
40.2043,-74.1779,43995,2020,gs,lexus,black,"NJ - SOUTH JERSEY"
40.2043,-74.1779,48995,2020,gle,mercedes-benz,blue,"NJ - SOUTH JERSEY"
40.854584,-74.042702,0,2020,"gladiator pickup 4wd",jeep,white,"NJ - SOUTH JERSEY"
40.2043,-74.1779,18995,2020,optima,kia,purple,"NJ - SOUTH JERSEY"
40.2043,-74.1779,28995,2020,qx60,infiniti,red,"NJ - SOUTH JERSEY"
40.2043,-74.1779,74995,2020,"7 series",bmw,white,"NJ - SOUTH JERSEY"
39.46,-74.99,31990,2020,"ranger supercrew xl pickup",ford,blue,"NJ - SOUTH JERSEY"
39.9519,-75.0482,0,2020,"eclipse cross",mitsubishi,white,"NJ - SOUTH JERSEY"
39.46,-74.99,34990,2020,"wrangler unlimited sport s",jeep,red,"NJ - SOUTH JERSEY"
39.829891,-75.125281,12950,2020,mirage,mitsubishi,black,"NJ - SOUTH JERSEY"
39.887814,-75.088802,87995,2020,"charger srt hellcat",dodge,black,"NJ - SOUTH JERSEY"
39.46,-74.99,33990,2020,"1500 classic crew cab slt",ram,black,"NJ - SOUTH JERSEY"
40.06800000000001,-74.8454,500,2020,"elantra limited",hyundai,red,"NJ - SOUTH JERSEY"
40.639253,-74.26217199999998,28995,2020,mustang,ford,white,"NJ - SOUTH JERSEY"
40.2043,-74.1779,31995,2020,pacifica,chrysler,white,"NJ - SOUTH JERSEY"
40.2043,-74.1779,32995,2020,pacifica,chrysler,blue,"NJ - SOUTH JERSEY"
40.2043,-74.1779,26995,2020,compass,jeep,white,"NJ - SOUTH JERSEY"
40.2043,-74.1779,31995,2020,pacifica,chrysler,white,"NJ - SOUTH JERSEY"
40.2043,-74.1779,26995,2020,compass,jeep,red,"NJ - SOUTH JERSEY"
40.2043,-74.1779,29995,2020,cherokee,jeep,red,"NJ - SOUTH JERSEY"
40.2043,-74.1779,32995,2020,pacifica,chrysler,purple,"NJ - SOUTH JERSEY"
40.2043,-74.1779,16495,2020,soul,kia,blue,"NJ - SOUTH JERSEY"
39.9999,-74.2228,24995,2020,"compass limited",jeep,grey,"NJ - SOUTH JERSEY"
39.9999,-74.2228,16995,2020,"optima lx",kia,white,"NJ - SOUTH JERSEY"
40.2043,-74.1779,46995,2020,f-pace,jaguar,black,"NJ - SOUTH JERSEY"
40.2043,-74.1779,30995,2020,pacifica,chrysler,blue,"NJ - SOUTH JERSEY"
