latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
36.761,-108.156,0,2020,kona,hyundai,silver,NM - FARMINGTON
31.789601,-106.393541,0,2020,f-150,ford,white,NM - LAS CRUCES
32.28899,-106.781616,22999,2020,cx-5,mazda,black,NM - LAS CRUCES
32.28899,-106.78256,16999,2020,sportage,kia,white,NM - LAS CRUCES
32.289135,-106.78196,16499,2020,soul,kia,silver,NM - LAS CRUCES
32.28899,-106.78256,17499,2020,sportage,kia,blue,NM - LAS CRUCES
32.289135,-106.78196,16999,2020,soul,kia,black,NM - LAS CRUCES
32.28899,-106.78256,17499,2020,sportage,kia,black,NM - LAS CRUCES
31.732128,-106.36604,59995,2020,sierra 1500,gmc,white,NM - ROSWELL
35.67,-105.95,35990,2020,wrangler unlimited sport s,jeep,white,NM - SANTA FE
35.67,-105.95,35990,2020,1500 classic crew cab slt,ram,white,NM - SANTA FE
35.270009,-106.668491,34500,2020,stinger gt,kia,white,NM - SANTA FE
35.6639,-105.9572,55000,2020,m2,bmw,silver,NM - SANTA FE
35.67,-105.95,37990,2020,gladiator sport pickup 4d 5,jeep,red,NM - SANTA FE
35.67,-105.95,33990,2020,1500 classic crew cab slt,ram,black,NM - SANTA FE
35.8275,-106.2039,60000,2020,sierra 1500 at4,gmc,white,NM - SANTA FE
35.67,-105.95,42990,2020,gladiator overland pickup,jeep,black,NM - SANTA FE
35.67,-105.95,37990,2020,wrangler unlimited sport s,jeep,black,NM - SANTA FE
35.270009,-106.668491,34500,2020,stinger gt,kia,black,NM - SANTA FE
35.270009,-106.668491,34500,2020,stinger gt,kia,blue,NM - SANTA FE
35.67,-105.95,33990,2020,1500 classic crew cab slt,ram,black,NM - SANTA FE
35.270009,-106.668491,34500,2020,stinger gt,kia,black,NM - SANTA FE
35.67,-105.95,29990,2020,1500 classic crew cab slt,ram,grey,NM - SANTA FE
35.11,-106.62,30990,2020,clubman cooper s all4,mini,white,NM - ALBUQUERQUE
25.827103,-80.24152,54500,2020,gladiator,jeep,white,NM - ALBUQUERQUE
35.088006,-106.561998,0,2020,frontier,nissan,white,NM - ALBUQUERQUE
35.088006,-106.561998,0,2020,frontier,nissan,black,NM - ALBUQUERQUE
35.088006,-106.561998,0,2020,frontier,nissan,black,NM - ALBUQUERQUE
35.088006,-106.561998,0,2020,frontier,nissan,black,NM - ALBUQUERQUE
35.088006,-106.561998,0,2020,frontier,nissan,white,NM - ALBUQUERQUE
35.2493,-106.6818,47037,2020,wrangler rubicon,jeep,purple,NM - ALBUQUERQUE
35.2493,-106.6818,52465,2020,wrangler rubicon,jeep,white,NM - ALBUQUERQUE
35.1868,-106.6652,30191,2020,300,chrysler,black,NM - ALBUQUERQUE
35.1104,-106.5781,42995,2020,1500 classic,ram,white,NM - ALBUQUERQUE
35.11,-106.62,37990,2020,xt4 sport suv 4d,cadillac,silver,NM - ALBUQUERQUE
35.11,-106.62,35990,2020,gladiator sport pickup 4d 5,jeep,red,NM - ALBUQUERQUE
33.3917,-111.9249,66995,2020,2500 laramie crew cab 4x4 cummins turbo diesel,ram,white,NM - ALBUQUERQUE
