latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
36.0564,-115.078,25000,2020,"accord hybrid",honda,white,"NV - LAS VEGAS"
36.135604,-115.190444,15995,2020,"elantra se",hyundai,silver,"NV - LAS VEGAS"
36.17,-115.12,34990,2020,"1500 classic crew cab slt",ram,black,"NV - LAS VEGAS"
36.17,-115.12,52990,2020,"yukon xl slt sport utility",gmc,blue,"NV - LAS VEGAS"
36.174,-115.126,16999,2020,equinox,chevrolet,silver,"NV - LAS VEGAS"
33.3917,-111.9249,66995,2020,"2500 laramie crew cab 4x4 cummins turbo diesel",ram,white,"NV - LAS VEGAS"
33.3917,-111.9249,64995,2020,"2500 laramie crew cab 4x4 cummins turbo diesel",ram,white,"NV - LAS VEGAS"
33.3917,-111.9249,41995,2020,"gladiator gladiator sport leveled",jeep,red,"NV - LAS VEGAS"
33.3917,-111.9249,75995,2020,"f-250 lifted crew cab lariat 4x4 powerstroke diesel",ford,white,"NV - LAS VEGAS"
33.3917,-111.9249,62995,2020,"silverado 3500 lt crew cab 4x4 duramax diesel",chevrolet,white,"NV - LAS VEGAS"
36.1065,-114.9192,63000,2020,silverado,chevrolet,grey,"NV - LAS VEGAS"
36.17,-115.12,35990,2020,"transit 350 passenger van",ford,white,"NV - LAS VEGAS"
36.17,-115.12,53990,2020,"2500 crew cab power wagon",ram,black,"NV - LAS VEGAS"
36.17,-115.12,35990,2020,"xt4 sport suv 4d",cadillac,red,"NV - LAS VEGAS"
37.175631,-113.60824,27450,2020,mustang,ford,custom,"NV - LAS VEGAS"
36.17,-115.12,36990,2020,"gladiator sport pickup 4d 5",jeep,silver,"NV - LAS VEGAS"
33.5098,-112.4135,72800,2020,"f150 supercrew cab raptor",ford,red,"NV - LAS VEGAS"
32.7904,-96.8044,50000,2020,"benz sprinter 3500xd",mercedes-benz,black,"NV - LAS VEGAS"
33.3917,-111.9249,66995,2020,"2500 laramie crew cab 4x4 cummins turbo diesel",ram,white,"NV - LAS VEGAS"
33.3917,-111.9249,66995,2020,"2500 laramie crew cab 4x4 cummins turbo diesel",ram,white,"NV - LAS VEGAS"
33.3917,-111.9249,43995,2020,"gladiator gladiator sport leveled",jeep,red,"NV - LAS VEGAS"
33.3917,-111.9249,75995,2020,"f-250 lifted crew cab lariat 4x4 powerstroke diesel",ford,white,"NV - LAS VEGAS"
33.3917,-111.9249,64995,2020,"silverado 3500 lt crew cab 4x4 duramax diesel",chevrolet,white,"NV - LAS VEGAS"
36.17,-115.12,38990,2020,"telluride s sport utility 4d",kia,black,"NV - LAS VEGAS"
36.17,-115.12,45990,2020,"e-pace p250 se sport",jaguar,white,"NV - LAS VEGAS"
36.17,-115.12,15990,2020,"versa sr sedan 4d",nissan,purple,"NV - LAS VEGAS"
36.17,-115.12,49990,2020,"gr supra 3.0 premium",toyota,red,"NV - LAS VEGAS"
36.17,-115.12,38990,2020,"xc60 t6 momentum sport",volvo,red,"NV - LAS VEGAS"
36.17,-115.12,39990,2020,"xc60 t6 momentum sport",volvo,red,"NV - LAS VEGAS"
36.17,-115.12,60590,2020,"expedition max limited",ford,silver,"NV - LAS VEGAS"
39.49115,-119.790321,16449,2020,corolla,toyota,red,"NV - RENO / TAHOE"
39.179138,-119.725304,26823,2020,equinox,chevrolet,white,"NV - RENO / TAHOE"
36.17,-115.12,35990,2020,"wrangler unlimited sport s",jeep,white,"NV - LAS VEGAS"
36.17,-115.12,50590,2020,"gr supra 3.0 coupe 2d",toyota,white,"NV - LAS VEGAS"
36.143249,-115.226909,28777,2020,a3,audi,black,"NV - LAS VEGAS"
40.746145,-111.939611,25950,2019,"frontier 4x4",nissan,white,"NV - ELKO"
39.238405,-114.894942,32000,2019,ranger,ford,silver,"NV - ELKO"
42.7178,-114.5012,45988,2019,"f350 crew cab 4x4 flat bed",ford,white,"NV - ELKO"
33.625576,-112.012877,26995,2019,"promaster 1500",ram,white,"NV - LAS VEGAS"
39.7378,-104.8152,35000,2019,"transit 250 van",ford,white,"NV - LAS VEGAS"
36.0811,-115.2169,1,2019,caravan,dodge,black,"NV - LAS VEGAS"
36.17,-115.12,37590,2019,"charger scat pack sedan 4d",dodge,white,"NV - LAS VEGAS"
36.17,-115.12,30990,2019,"titan crew cab sv pickup",nissan,white,"NV - LAS VEGAS"
36.17,-115.12,17590,2019,"corolla hatchback se 4d",toyota,white,"NV - LAS VEGAS"
33.3917,-111.9249,55995,2019,"3500 big horn crew cab 4x4 longbed 6.7 cummins diesel",ram,white,"NV - LAS VEGAS"
33.3917,-111.9249,57995,2019,"2500 crew cab tradesman 4x4 cummins diesel",ram,silver,"NV - LAS VEGAS"
33.3917,-111.9249,24995,2019,"cla cla 250 2.0l turbo i4 automatic",mercedes-benz,white,"NV - LAS VEGAS"
33.3917,-111.9249,35995,2019,"ranger leveled xlt sport supercrew 4x4",ford,red,"NV - LAS VEGAS"
33.3917,-111.9249,55995,2019,"f-250 crew cab xlt 4x4 6.7 power stroke turbo diesel",ford,white,"NV - LAS VEGAS"
33.3917,-111.9249,35995,2019,"f-150 xlt super crew",ford,white,"NV - LAS VEGAS"
36.1232,-115.0902,19995,2019,journey,dodge,silver,"NV - LAS VEGAS"
35.9878,-115.1167,10000,2019,tahoe,chevrolet,purple,"NV - LAS VEGAS"
36.17,-115.12,28590,2019,"forester sport suv 4d",subaru,blue,"NV - LAS VEGAS"
36.17,-115.12,29990,2019,"rav4 limited sport",toyota,silver,"NV - LAS VEGAS"
36.17,-115.12,33990,2019,"a4 premium plus sedan 4d",audi,silver,"NV - LAS VEGAS"
36.17,-115.12,26990,2019,"124 spider lusso",fiat,red,"NV - LAS VEGAS"
36.17,-115.12,30990,2019,"mx-5 miata rf club",mazda,red,"NV - LAS VEGAS"
36.17,-115.12,24990,2019,"frontier king cab sv",nissan,white,"NV - LAS VEGAS"
36.17,-115.12,29990,2019,"ranger supercrew xlt pickup",ford,black,"NV - LAS VEGAS"
34.0289,-117.9373,69995,2019,"f550 crew ca",ford,white,"NV - LAS VEGAS"
33.3917,-111.9249,55995,2019,"3500 big horn crew cab 4x4 longbed 6.7 cummins diesel",ram,white,"NV - LAS VEGAS"
33.3917,-111.9249,57995,2019,"2500 crew cab tradesman 4x4 cummins diesel",ram,silver,"NV - LAS VEGAS"
33.3917,-111.9249,25995,2019,"cla cla 250 2.0l turbo i4 automatic",mercedes-benz,white,"NV - LAS VEGAS"
33.3917,-111.9249,36995,2019,"ranger leveled xlt sport supercrew 4x4",ford,red,"NV - LAS VEGAS"
33.3917,-111.9249,55995,2019,"f-250 crew cab xlt 4x4 6.7 power stroke turbo diesel",ford,white,"NV - LAS VEGAS"
33.3917,-111.9249,37995,2019,"f-150 xlt super crew",ford,white,"NV - LAS VEGAS"
36.17,-115.12,44990,2019,"s4 premium plus sedan 4d",audi,black,"NV - LAS VEGAS"
36.17,-115.12,24990,2019,"1500 classic regular cab",ram,white,"NV - LAS VEGAS"
36.143249,-115.226909,14451,2019,malibu,chevrolet,custom,"NV - LAS VEGAS"
36.143249,-115.226909,22998,2019,frontier,nissan,red,"NV - LAS VEGAS"
40.745852,-111.939697,25950,2019,"frontier 4x4",nissan,white,"NV - LAS VEGAS"
36.143249,-115.226909,18495,2019,compass,jeep,custom,"NV - LAS VEGAS"
36.17,-115.12,31990,2019,"ux 250h sport utility 4d",lexus,orange,"NV - LAS VEGAS"
36.17,-115.12,31990,2019,"outback 3.6r limited",subaru,black,"NV - LAS VEGAS"
35.9878,-115.1167,10000,2019,tahoe,chevrolet,silver,"NV - LAS VEGAS"
36.1232,-115.0902,19995,2019,altima,nissan,silver,"NV - LAS VEGAS"
36.17,-115.12,35990,2019,"wrangler unlimited sport s",jeep,silver,"NV - LAS VEGAS"
36.17,-115.12,23590,2019,"prius prime premium",toyota,red,"NV - LAS VEGAS"
36.17,-115.12,17990,2019,"ecosport titanium sport",ford,black,"NV - LAS VEGAS"
36.17,-115.12,27990,2019,"tacoma double cab sr5",toyota,white,"NV - LAS VEGAS"
33.681077,-112.05849,21900,2019,nv,nissan,white,"NV - LAS VEGAS"
35.9878,-115.1167,10000,2019,tahoe,chevrolet,silver,"NV - LAS VEGAS"
36.17,-115.12,29590,2019,"1500 classic crew cab",ram,white,"NV - LAS VEGAS"
36.245,-115.2743,36900,2019,3,tesla,grey,"NV - LAS VEGAS"
36.17,-115.12,41990,2019,"yukon xl slt sport utility",gmc,black,"NV - LAS VEGAS"
36.17,-115.12,16990,2019,"corolla hatchback se 4d",toyota,blue,"NV - LAS VEGAS"
36.17,-115.12,17990,2019,"corolla hatchback se 4d",toyota,silver,"NV - LAS VEGAS"
36.17,-115.12,30990,2019,"blazer 2lt sport",chevrolet,blue,"NV - LAS VEGAS"
36.143249,-115.226909,25998,2019,a3,audi,black,"NV - LAS VEGAS"
36.143249,-115.226909,31995,2019,q5,audi,white,"NV - LAS VEGAS"
36.533226,-119.57648799999998,39990,2019,"sprinter cab chassis",mercedes-benz,silver,"NV - LAS VEGAS"
36.1781,-115.3183,216,2019,trax,chevrolet,silver,"NV - LAS VEGAS"
36.17,-115.12,52590,2019,"gls 450 4matic",mercedes-benz,white,"NV - LAS VEGAS"
36.17,-115.12,55990,2019,"gls 450 4matic",mercedes-benz,black,"NV - LAS VEGAS"
36.17,-115.12,26990,2019,"hardtop 2 door cooper s",mini,red,"NV - LAS VEGAS"
36.17,-115.12,39990,2019,"expedition max xlt sport",ford,silver,"NV - LAS VEGAS"
36.1781,-115.3183,75875,2019,"challenger hellcat redeye",dodge,black,"NV - LAS VEGAS"
