latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
41.9717,-75.7432,45999,2020,gladiator,jeep,purple,NY - SYRACUSE
43.208309,-76.81423,20995,2020,equinox ls,chevrolet,blue,NY - SYRACUSE
43.04,-76.14,26990,2020,f150 regular cab xl pickup,ford,silver,NY - SYRACUSE
43.208309,-76.81423,12975,2020,spark,chevrolet,purple,NY - SYRACUSE
42.08,-76.8,35990,2020,1500 classic crew cab slt,ram,white,NY - TWIN TIERS
42.08,-76.8,34990,2020,wrangler unlimited sport s,jeep,red,NY - TWIN TIERS
43.1,-75.23,35990,2020,1500 classic crew cab slt,ram,white,NY - UTICA-ROME-ONEIDA
43.1,-75.23,40990,2020,gladiator sport pickup 4d 5,jeep,red,NY - UTICA-ROME-ONEIDA
43.1,-75.23,35990,2020,4runner sr5 premium sport,toyota,red,NY - UTICA-ROME-ONEIDA
43.122023,-75.294507,59888,2020,yukon slt,gmc,blue,NY - UTICA-ROME-ONEIDA
43.122023,-75.294507,42888,2020,1500 big horn,ram,red,NY - UTICA-ROME-ONEIDA
43.1,-75.23,42990,2020,gladiator overland pickup,jeep,black,NY - UTICA-ROME-ONEIDA
43.1,-75.23,33990,2020,1500 classic crew cab slt,ram,black,NY - UTICA-ROME-ONEIDA
43.1,-75.23,20990,2020,corolla hybrid le sedan,toyota,blue,NY - UTICA-ROME-ONEIDA
43.1,-75.23,20990,2020,corolla hybrid le sedan,toyota,red,NY - UTICA-ROME-ONEIDA
43.1,-75.23,20990,2020,corolla hybrid le sedan,toyota,black,NY - UTICA-ROME-ONEIDA
43.1,-75.23,20990,2020,corolla hybrid le sedan,toyota,black,NY - UTICA-ROME-ONEIDA
43.1,-75.23,33990,2020,1500 classic crew cab slt,ram,black,NY - UTICA-ROME-ONEIDA
43.1067,-75.2314,49995,2020,gladiator,jeep,grey,NY - UTICA-ROME-ONEIDA
43.1,-75.23,39590,2020,sierra 1500 double cab,gmc,silver,NY - UTICA-ROME-ONEIDA
43.220454,-77.819038,38995,2020,e-series cutaway,ford,white,NY - WATERTOWN
43.97,-75.91,35990,2020,1500 classic crew cab slt,ram,white,NY - WATERTOWN
43.97,-75.91,33990,2020,1500 classic crew cab slt,ram,black,NY - WATERTOWN
43.9743,-75.9122,14500,2020,soul,kia,silver,NY - WATERTOWN
43.8062,-76.049,14500,2020,spark,chevrolet,black,NY - WATERTOWN
43.8062,-76.049,18750,2020,trax,chevrolet,silver,NY - WATERTOWN
43.8062,-76.049,28875,2020,renegade,jeep,black,NY - WATERTOWN
43.8062,-76.049,25989,2020,renegade,jeep,black,NY - WATERTOWN
43.8062,-76.049,22185,2020,outlander,mitsubishi,white,NY - WATERTOWN
43.97,-75.91,32990,2020,wrangler sport suv 2d,jeep,black,NY - WATERTOWN
40.64,-73.94,36990,2020,1500 quad cab big horn,ram,white,NY - NEW YORK CITY
40.72,-74.17,28990,2020,brz limited coupe 2d,subaru,white,NY - NEW YORK CITY
40.72,-74.17,35590,2020,1500 classic crew cab slt,ram,black,NY - NEW YORK CITY
40.713163,-73.34128,0,2020,fusion,ford,silver,NY - LONG ISLAND
40.713163,-73.34128,0,2020,fusion,ford,silver,NY - LONG ISLAND
40.713163,-73.34128,0,2020,fusion,ford,black,NY - LONG ISLAND
40.8,-73.12,27990,2020,wrx sedan 4d,subaru,red,NY - LONG ISLAND
40.8,-73.12,34990,2020,1500 quad cab big horn,ram,blue,NY - LONG ISLAND
40.6548,-73.6097,22800,2020,voyager,chrysler,black,NY - LONG ISLAND
40.8,-73.12,35990,2020,1500 classic crew cab slt,ram,white,NY - LONG ISLAND
40.6548,-73.6097,16000,2020,eclipse cross es,mitsubishi,silver,NY - LONG ISLAND
40.6548,-73.6097,15800,2020,corolla le,toyota,black,NY - LONG ISLAND
40.718061,-73.255204,0,2020,f-350,ford,white,NY - LONG ISLAND
40.718061,-73.255204,0,2020,f-350,ford,white,NY - LONG ISLAND
40.718061,-73.255204,0,2020,f-250,ford,white,NY - LONG ISLAND
40.718061,-73.255204,0,2020,f-250,ford,white,NY - LONG ISLAND
40.718061,-73.255204,0,2020,mustang,ford,white,NY - LONG ISLAND
40.718061,-73.255204,0,2020,mustang,ford,silver,NY - LONG ISLAND
40.718061,-73.255204,0,2020,mustang,ford,black,NY - LONG ISLAND
40.718061,-73.255204,0,2020,f-150,ford,grey,NY - LONG ISLAND
40.718061,-73.255204,0,2020,f-150,ford,grey,NY - LONG ISLAND
40.718061,-73.255204,0,2020,mustang,ford,black,NY - LONG ISLAND
40.718061,-73.255204,0,2020,mustang,ford,blue,NY - LONG ISLAND
40.718061,-73.255204,0,2020,escape,ford,white,NY - LONG ISLAND
40.718061,-73.255204,0,2020,escape,ford,silver,NY - LONG ISLAND
40.718061,-73.255204,0,2020,escape,ford,red,NY - LONG ISLAND
40.8,-73.12,42590,2020,silverado 1500 crew,chevrolet,black,NY - LONG ISLAND
40.8,-73.12,49990,2020,rx 350 f sport suv 4d,lexus,black,NY - LONG ISLAND
40.8,-73.12,39590,2020,silverado 1500 crew,chevrolet,blue,NY - LONG ISLAND
40.707152,-73.669059,789,2020,durango,dodge,black,NY - LONG ISLAND
40.801309,-73.401203,25000,2020,hr-v ex,honda,red,NY - LONG ISLAND
40.724755,-73.699207,15800,2020,altima 2.5 s,nissan,white,NY - LONG ISLAND
40.668604,-73.4094,59900,2020,1500,ram,white,NY - LONG ISLAND
40.6842,-73.4171,40700,2020,telluride ex awd,kia,silver,NY - LONG ISLAND
40.8,-73.12,33990,2020,1500 classic crew cab slt,ram,black,NY - LONG ISLAND
40.8,-73.12,42990,2020,gladiator overland pickup,jeep,black,NY - LONG ISLAND
40.622791,-73.74012,18800,2020,rogue,nissan,blue,NY - NEW YORK CITY
40.707152,-73.669059,509,2020,durango,dodge,white,NY - NEW YORK CITY
40.8,-73.12,42590,2020,silverado 1500 crew,chevrolet,black,NY - NEW YORK CITY
40.262663,-74.423693,15200,2020,malibu lt,chevrolet,silver,NY - NEW YORK CITY
