latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
39.19389,-84.244408,47950,2020,1500,ram,white,OH - CINCINNATI
39.19389,-84.244408,51950,2020,silverado 1500,chevrolet,red,OH - CINCINNATI
39.28375,-84.47498,0,2020,mirage,mitsubishi,blue,OH - CINCINNATI
40.07,-80.69,34990,2020,wrangler unlimited sport s,jeep,orange,OH - NORTHERN PANHANDLE
39.8848,-82.96756,45391,2020,tahoe,chevrolet,black,OH - COLUMBUS
39.8848,-82.96756,32669,2020,grand cherokee,jeep,white,OH - COLUMBUS
39.8848,-82.96756,37999,2020,1500,ram,white,OH - COLUMBUS
39.337094,-82.949176,53995,2020,f-150,ford,silver,OH - COLUMBUS
39.98,-82.98,35990,2020,1500 classic crew cab slt,ram,black,OH - COLUMBUS
39.98,-82.98,35990,2020,1500 classic crew cab slt,ram,white,OH - COLUMBUS
39.98,-82.98,36990,2020,gladiator sport pickup 4d 5,jeep,silver,OH - COLUMBUS
39.917012,-83.115888,22000,2020,cx-5,mazda,blue,OH - COLUMBUS
39.98,-82.98,37990,2020,xt4 sport suv 4d,cadillac,silver,OH - COLUMBUS
40.081,-82.9383,36000,2020,crv,honda,silver,OH - COLUMBUS
39.98,-82.98,39590,2020,xt4 sport suv 4d,cadillac,silver,OH - COLUMBUS
40.548839,-84.55944,39995,2020,discovery,rover,white,OH - COLUMBUS
39.98,-82.98,42990,2020,telluride ex sport utility,kia,purple,OH - COLUMBUS
39.955718,-82.827443,20495,2020,corolla,toyota,black,OH - COLUMBUS
39.98,-82.98,37590,2020,grand cherokee limited,jeep,red,OH - COLUMBUS
39.917012,-83.115888,12800,2020,elantra,hyundai,blue,OH - COLUMBUS
40.064137,-82.998073,19997,2020,malibu,chevrolet,silver,OH - COLUMBUS
39.8848,-82.96756,45791,2020,tahoe,chevrolet,black,OH - COLUMBUS
39.8848,-82.96756,39786,2020,telluride,kia,white,OH - COLUMBUS
39.8848,-82.96756,38291,2020,1500,ram,white,OH - COLUMBUS
39.8848,-82.96756,18198,2020,equinox,chevrolet,black,OH - COLUMBUS
39.8848,-82.96756,29917,2020,s60,volvo,red,OH - COLUMBUS
39.8848,-82.96756,32869,2020,grand cherokee,jeep,white,OH - COLUMBUS
39.8848,-82.96756,38476,2020,xt4,cadillac,white,OH - COLUMBUS
41.4735,-81.7398,15995,2020,civic,honda,silver,OH - COLUMBUS
39.98,-82.98,35590,2020,gladiator sport pickup 4d 5,jeep,black,OH - COLUMBUS
39.98,-82.98,34990,2020,wrangler unlimited sport s,jeep,red,OH - COLUMBUS
39.98,-82.98,35590,2020,xt4 sport suv 4d,cadillac,white,OH - COLUMBUS
40.2083,-80.7125,99900,2020,corvette,chevrolet,red,OH - COLUMBUS
39.955718,-82.827443,20495,2020,corolla,toyota,black,OH - COLUMBUS
40.0724,-82.4046,0,2020,tacoma,toyota,silver,OH - COLUMBUS
39.884989,-82.967588,39786,2020,telluride ex,kia,blue,OH - COLUMBUS
39.98,-82.98,31990,2020,370z coupe 2d,nissan,white,OH - COLUMBUS
39.9519,-83.12598,0,2020,malibu,chevrolet,grey,OH - COLUMBUS
40.064137,-82.998073,15920,2020,corolla,toyota,black,OH - COLUMBUS
39.394599,-80.302413,22995,2020,rogue,nissan,black,OH - COLUMBUS
39.394599,-80.302413,45900,2020,f-150,ford,black,OH - COLUMBUS
39.98,-82.98,35990,2020,telluride lx sport utility,kia,blue,OH - COLUMBUS
39.8848,-82.96756,38991,2020,1500,ram,white,OH - COLUMBUS
39.8848,-82.96756,33960,2020,grand cherokee,jeep,white,OH - COLUMBUS
39.8848,-82.96756,30998,2020,s60,volvo,red,OH - COLUMBUS
39.8848,-82.96756,19489,2020,equinox,chevrolet,purple,OH - COLUMBUS
39.8848,-82.96756,46497,2020,tahoe,chevrolet,black,OH - COLUMBUS
39.8848,-82.96756,39786,2020,telluride,kia,white,OH - COLUMBUS
39.76807,-84.19472,32546,2020,enclave,buick,white,OH - DAYTON
39.884989,-82.967588,45391,2020,tahoe 1500 lt,chevrolet,black,OH - DAYTON
41.102269,-81.447378,29735,2020,blazer lt,chevrolet,red,OH - AKRON
41.102269,-81.447378,29735,2020,blazer lt,chevrolet,blue,OH - AKRON
41.102269,-81.447378,52244,2020,tahoe ls,chevrolet,black,OH - AKRON
41.102269,-81.447378,14253,2020,spark 1lt,chevrolet,white,OH - AKRON
41.102269,-81.447378,14619,2020,spark ls,chevrolet,blue,OH - AKRON
41.102269,-81.447378,30726,2020,blazer lt,chevrolet,white,OH - AKRON
41.08,-81.52,49990,2020,gladiator rubicon pickup 4d,jeep,blue,OH - AKRON
41.102269,-81.447378,65170,2020,suburban z71,chevrolet,white,OH - AKRON
41.102269,-81.447378,14255,2020,spark ls,chevrolet,blue,OH - AKRON
41.08,-81.52,35990,2020,1500 classic crew cab slt,ram,white,OH - AKRON
41.08,-81.52,20590,2020,renegade sport suv 4d,jeep,red,OH - AKRON
41.08,-81.52,46990,2020,sierra 1500 crew cab slt,gmc,black,OH - AKRON
