latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
33.996272,-96.40054,21985,2020,escape,ford,black,OK - TULSA
34.90067,-95.75197,0,2020,gladiator,jeep,red,OK - TULSA
35.71996,-96.95391,0,2020,2500,ram,white,OK - TULSA
35.71996,-96.95391,0,2020,sierra 1500,gmc,red,OK - TULSA
36.0447,-95.8079,32483,2020,escape,ford,white,OK - TULSA
36.12,-95.91,27990,2020,f150 regular cab xlt pickup,ford,black,OK - TULSA
36.1042,-96.0244,0,2020,f-250sd xlt 4wd,ford,white,OK - TULSA
36.8764,-94.8719,0,2020,armada sl suv,nissan,white,OK - TULSA
36.1042,-96.0244,0,2020,f-250sd lariat 4x4,ford,black,OK - TULSA
36.2863,-95.8222,0,2020,blazer rs,chevrolet,red,OK - TULSA
36.63528,-95.15399,49498,2020,suburban,chevrolet,grey,OK - TULSA
36.2863,-95.8222,0,2020,tundra sr5,toyota,brown,OK - TULSA
36.74504,-95.93251,0,2020,escalade esv,cadillac,black,OK - TULSA
36.72137,-95.93518,0,2020,elantra,hyundai,grey,OK - TULSA
35.199,-97.4841,20988,2020,equinox,chevrolet,black,OK - TULSA
36.797213,-98.686833,39000,2020,1500,ram,custom,OK - TULSA
33.996272,-96.40054,55785,2020,gladiator,jeep,blue,OK - TULSA
36.12,-95.91,25990,2020,accord hybrid sedan 4d,honda,blue,OK - TULSA
36.8764,-94.8719,0,2020,sienna le 7 passenger van,toyota,red,OK - TULSA
35.218715,-97.480917,22988,2020,equinox lt awd,chevrolet,black,OK - OKLAHOMA CITY
35.21875,-97.480659,37988,2020,f-150 xlt 4x4,ford,black,OK - OKLAHOMA CITY
33.75,-96.56,34990,2020,wrangler unlimited sport s,jeep,orange,OK - TEXOMA
36.12,-95.91,37990,2020,xt4 sport suv 4d,cadillac,silver,OK - TULSA
36.303847,-95.622363,40900,2020,f-150,ford,silver,OK - TULSA
36.12,-95.91,35990,2020,gladiator sport pickup 4d 5,jeep,red,OK - TULSA
34.19709,-97.16056,0,2020,sierra 1500,gmc,red,OK - LAWTON
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,black,OK - LAWTON
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,white,OK - LAWTON
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,white,OK - LAWTON
34.19709,-97.16056,0,2020,escalade,cadillac,black,OK - LAWTON
34.19709,-97.16056,0,2020,blazer,chevrolet,white,OK - LAWTON
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,white,OK - LAWTON
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,white,OK - LAWTON
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,white,OK - LAWTON
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,white,OK - LAWTON
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,white,OK - LAWTON
