latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
45.50138,-122.936319,0,2020,rogue sv,nissan,white,OR - SALEM
45.50138,-122.936319,0,2020,defender hse,rover,silver,OR - SALEM
44.628559,-123.05275,414,2020,civic ex,honda,black,OR - SALEM
44.950772,-122.988331,0,2020,silverado 1500,chevrolet,silver,OR - SALEM
44.628559,-123.05275,464,2020,accord sport,honda,purple,OR - SALEM
44.628559,-123.05275,729,2020,silverado 1500 lt,chevrolet,red,OR - SALEM
44.628559,-123.05275,596,2020,accord touring,honda,silver,OR - SALEM
45.5303,-122.7033,16995,2020,elantra,hyundai,black,OR - SALEM
44.973187,-123.018138,261,2020,corolla se manual,toyota,purple,OR - SALEM
44.9778,-123.028,0,2020,expedition,ford,white,OR - SALEM
44.9778,-123.028,0,2020,f 150,ford,black,OR - SALEM
44.628559,-123.05275,414,2020,civic ex,honda,blue,OR - SALEM
44.949603,-122.995477,0,2020,rogue sv,nissan,blue,OR - SALEM
44.950772,-122.988331,0,2020,sierra 1500,gmc,black,OR - SALEM
44.950772,-122.988331,0,2020,silverado 1500,chevrolet,black,OR - SALEM
44.819991,-122.799701,0,2020,tahoe,chevrolet,blue,OR - SALEM
45.407237,-122.625196,40995,2020,1500,ram,blue,OR - SALEM
45.50138,-122.936319,0,2020,rogue sv,nissan,black,OR - SALEM
45.50138,-122.936319,0,2020,defender hse,rover,silver,OR - SALEM
44.628559,-123.05275,464,2020,accord sport,honda,red,OR - SALEM
44.628559,-123.05275,729,2020,silverado 1500 lt,chevrolet,white,OR - SALEM
44.628559,-123.05275,414,2020,civic ex,honda,black,OR - SALEM
44.973187,-123.018138,406,2020,pacifica,chrysler,red,OR - SALEM
44.628559,-123.05275,596,2020,accord touring,honda,blue,OR - SALEM
45.524894,-122.656061,59995,2020,1500,ram,black,OR - SALEM
44.974446,-123.001662,483,2020,outback awd onyx edition,subaru,silver,OR - SALEM
44.971442,-123.018337,323,2020,prius,toyota,blue,OR - SALEM
45.402674,-122.620405,72991,2020,sierra 3500hd,gmc,white,OR - SALEM
44.628559,-123.05275,414,2020,civic ex,honda,white,OR - SALEM
45.402674,-122.620405,72990,2020,sierra 3500hd,gmc,black,OR - SALEM
44.9778,-123.028,0,2020,escape,ford,red,OR - SALEM
45.385979,-122.608301,0,2020,silverado 3500,chevrolet,white,OR - SALEM
44.628559,-123.05275,464,2020,accord sport,honda,purple,OR - SALEM
44.628559,-123.05275,729,2020,silverado 1500 lt,chevrolet,red,OR - SALEM
44.819991,-122.799701,0,2020,suburban lt,chevrolet,purple,OR - SALEM
45.334794,-122.762079,58634,2020,2500,ram,blue,OR - SALEM
44.628559,-123.05275,596,2020,accord touring,honda,red,OR - SALEM
44.949603,-122.995477,0,2020,traverse,chevrolet,silver,OR - SALEM
44.628559,-123.05275,414,2020,civic ex,honda,silver,OR - SALEM
45.5303,-122.7033,16995,2020,elantra,hyundai,black,OR - SALEM
44.971442,-123.018337,500,2020,x2,bmw,silver,OR - SALEM
44.628559,-123.05275,464,2020,accord sport,honda,silver,OR - SALEM
45.407237,-122.625196,40995,2020,1500,ram,blue,OR - SALEM
44.628559,-123.05275,596,2020,accord touring,honda,purple,OR - SALEM
44.628559,-123.05275,729,2020,silverado 1500 lt,chevrolet,red,OR - SALEM
44.628559,-123.05275,414,2020,civic ex,honda,blue,OR - SALEM
44.628559,-123.05275,696,2020,passport,honda,white,OR - SALEM
45.6058,-122.4142,47995,2020,4runner,toyota,black,OR - SALEM
44.9778,-123.028,0,2020,f 350,ford,silver,OR - SALEM
44.9778,-123.028,0,2020,explorer,ford,black,OR - SALEM
44.628559,-123.05275,414,2020,civic ex,honda,blue,OR - SALEM
45.334794,-122.762079,38953,2020,gladiator,jeep,silver,OR - SALEM
45.5303,-122.7033,16995,2020,elantra,hyundai,black,OR - SALEM
44.971442,-123.018337,543,2020,x2,bmw,red,OR - SALEM
44.973187,-123.018138,362,2020,equinox,chevrolet,white,OR - SALEM
45.509778,-122.967379,75995,2020,sierra 3500hd,gmc,black,OR - BEND
44.575371,-123.259692,995,2020,sierra 1500 denali,gmc,purple,OR - CORVALLIS
44.05958,-123.0786,502,2020,1500 laramie 4x4 quad cab 6,ram,purple,OR - EUGENE
45.504261,-122.555836,21995,2020,outback premium,subaru,white,OR - PORTLAND
45.388846,-122.610271,25630,2020,outlander es,mitsubishi,black,OR - PORTLAND
45.388846,-122.610271,24370,2020,eclipse cross le,mitsubishi,silver,OR - PORTLAND
45.504261,-122.555836,23995,2020,pickup 1500 classic slt,ram,red,OR - PORTLAND
45.496399,-122.770262,55990,2020,xt6 awd 4dr sport,cadillac,blue,OR - PORTLAND
45.388846,-122.610271,23688,2020,eclipse cross le,mitsubishi,red,OR - PORTLAND
45.516878,-122.537451,487,2020,rav4 hybrid xse,toyota,red,OR - PORTLAND
45.388846,-122.610271,22815,2020,outlander sport es,mitsubishi,red,OR - PORTLAND
45.516878,-122.537451,366,2020,rav4 le,toyota,red,OR - PORTLAND
45.388846,-122.610271,25665,2020,outlander es,mitsubishi,red,OR - PORTLAND
45.469506,-122.671027,42995,2020,evoque s,rover,silver,OR - PORTLAND
45.388846,-122.610271,23788,2020,outlander se,mitsubishi,red,OR - PORTLAND
45.516878,-122.537451,356,2020,cx-5 touring,mazda,black,OR - PORTLAND
45.496891,-122.770936,51990,2020,2500,ram,white,OR - PORTLAND
45.388846,-122.610271,27425,2020,outlander se,mitsubishi,red,OR - PORTLAND
45.516878,-122.537451,282,2020,mazda3 preferred,mazda,blue,OR - PORTLAND
45.388846,-122.610271,21762,2020,outlander sport 2.0,mitsubishi,white,OR - PORTLAND
45.402674,-122.620405,35996,2020,f-150,ford,blue,OR - PORTLAND
45.402674,-122.620405,72990,2020,sierra 3500hd,gmc,black,OR - PORTLAND
45.402674,-122.620405,36990,2020,1500,ram,white,OR - PORTLAND
44.971442,-123.018337,485,2020,x2 xdrive28i sports activit,bmw,black,OR - SALEM
44.971442,-123.018337,0,2020,2 series 228i xdrive gran c,bmw,black,OR - SALEM
