latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
41.23,-77.03,34990,2020,wrangler unlimited sport s,jeep,red,PA - WILLIAMSPORT
41.247,-77.2706,44000,2020,silverado 1500,chevrolet,purple,PA - WILLIAMSPORT
41.9717,-75.7432,45999,2020,gladiator,jeep,black,PA - WILLIAMSPORT
39.96,-76.73,35990,2020,1500 classic crew cab slt,ram,white,PA - YORK
38.823449,-76.947378,0,2020,malibu,chevrolet,silver,PA - YORK
38.823449,-76.947378,0,2020,altima,nissan,silver,PA - YORK
38.823449,-76.947378,0,2020,corolla,toyota,white,PA - YORK
38.823449,-76.947378,0,2020,1500,ram,black,PA - YORK
38.823449,-76.947378,0,2020,malibu,chevrolet,silver,PA - YORK
38.823449,-76.947378,0,2020,malibu,chevrolet,silver,PA - YORK
38.823449,-76.947378,0,2020,corolla,toyota,red,PA - YORK
38.823449,-76.947378,0,2020,pathfinder,nissan,red,PA - YORK
39.96,-76.73,34990,2020,wrangler unlimited sport s,jeep,red,PA - YORK
38.823449,-76.947378,0,2020,corolla,toyota,white,PA - YORK
38.823449,-76.947378,0,2020,corolla,toyota,silver,PA - YORK
38.823449,-76.947378,0,2020,altima,nissan,silver,PA - YORK
39.96,-76.73,34990,2020,1500 quad cab big horn,ram,silver,PA - YORK
38.823449,-76.947378,0,2020,corolla,toyota,silver,PA - YORK
38.823449,-76.947378,32995,2020,mustang,ford,white,PA - YORK
39.96,-76.73,26990,2020,f150 regular cab xl pickup,ford,silver,PA - YORK
38.823449,-76.947378,22995,2020,camry,toyota,black,PA - YORK
39.96,-76.73,39590,2020,sierra 1500 double cab,gmc,purple,PA - YORK
39.95,-75.16,16590,2020,versa sv sedan 4d,nissan,black,PA - PHILADELPHIA
39.95,-75.16,48990,2020,range evoque p250 se,rover,white,PA - PHILADELPHIA
39.95,-75.16,44990,2020,range evoque p250 se,rover,white,PA - PHILADELPHIA
40.141399,-79.900398,0,2020,explorer,ford,black,PA - PITTSBURGH
40.43,-79.97,34990,2020,wrangler unlimited sport s,jeep,red,PA - PITTSBURGH
40.43,-79.97,42990,2020,4runner trd off-road,toyota,white,PA - PITTSBURGH
39.884989,-82.967588,32869,2020,grand cherokee limited,jeep,blue,PA - PITTSBURGH
