latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
41.82,-71.41,35990,2020,gladiator sport pickup 4d 5,jeep,silver,RI - RHODE ISLAND
41.82,-71.41,35990,2020,1500 classic crew cab slt,ram,white,RI - RHODE ISLAND
41.82,-71.41,38990,2020,telluride s sport utility 4d,kia,red,RI - RHODE ISLAND
41.82,-71.41,20590,2020,renegade sport suv 4d,jeep,red,RI - RHODE ISLAND
41.82,-71.41,30990,2020,blazer 2lt sport,chevrolet,purple,RI - RHODE ISLAND
41.82,-71.41,20590,2020,corolla hatchback se 4d,toyota,white,RI - RHODE ISLAND
41.82,-71.41,38990,2020,telluride s sport utility 4d,kia,black,RI - RHODE ISLAND
41.82,-71.41,38990,2020,gladiator sport pickup 4d 5,jeep,red,RI - RHODE ISLAND
41.82,-71.41,34990,2020,wrangler unlimited sport s,jeep,red,RI - RHODE ISLAND
41.82,-71.41,42590,2020,yukon sle sport utility 4d,gmc,white,RI - RHODE ISLAND
41.82,-71.41,37990,2020,charger scat pack sedan 4d,dodge,red,RI - RHODE ISLAND
41.82,-71.41,33990,2020,1500 classic crew cab slt,ram,black,RI - RHODE ISLAND
41.82,-71.41,27990,2020,f150 regular cab xlt pickup,ford,black,RI - RHODE ISLAND
41.82,-71.41,37590,2020,telluride s sport utility 4d,kia,green,RI - RHODE ISLAND
41.82,-71.41,35990,2020,gladiator sport pickup 4d 5,jeep,red,RI - RHODE ISLAND
41.82,-71.41,39990,2020,challenger r/t scat pack,dodge,red,RI - RHODE ISLAND
41.82,-71.41,38590,2020,nx 300h sport utility 4d,lexus,black,RI - RHODE ISLAND
41.82,-71.41,32990,2020,sierra 1500 regular cab,gmc,red,RI - RHODE ISLAND
41.82,-71.41,39590,2020,xt4 sport suv 4d,cadillac,silver,RI - RHODE ISLAND
41.795978,-71.482776,26999,2020,terrain,gmc,black,RI - RHODE ISLAND
41.82,-71.41,36990,2020,telluride lx sport utility,kia,black,RI - RHODE ISLAND
41.82,-71.41,26990,2020,f150 regular cab xl pickup,ford,silver,RI - RHODE ISLAND
41.82,-71.41,37990,2020,x3 sdrive30i sport utility,bmw,black,RI - RHODE ISLAND
41.82,-71.41,24990,2019,1500 classic regular cab,ram,white,RI - RHODE ISLAND
41.82,-71.41,34990,2019,q70 3.7 luxe sedan 4d,infiniti,white,RI - RHODE ISLAND
41.82,-71.41,26990,2019,124 spider lusso,fiat,red,RI - RHODE ISLAND
41.82,-71.41,40990,2019,4runner sr5 premium sport,toyota,black,RI - RHODE ISLAND
41.82,-71.41,16990,2019,corolla hatchback se 4d,toyota,white,RI - RHODE ISLAND
41.980268,-71.467266,32750,2019,model 3,tesla,white,RI - RHODE ISLAND
41.82,-71.41,13990,2019,fiesta se hatchback 4d,ford,silver,RI - RHODE ISLAND
41.82,-71.41,38990,2019,tundra double cab sr5,toyota,red,RI - RHODE ISLAND
41.82,-71.41,25990,2019,mx-5 miata club,mazda,red,RI - RHODE ISLAND
41.82,-71.41,39990,2019,challenger r/t scat pack,dodge,black,RI - RHODE ISLAND
41.718349,-71.866513,25900,2019,forester 2.5i premium,subaru,black,RI - RHODE ISLAND
41.82,-71.41,32590,2019,ridgeline sport pickup 4d,honda,silver,RI - RHODE ISLAND
41.793589,-71.330434,154900,2019,911,porsche,black,RI - RHODE ISLAND
41.82,-71.41,41990,2019,yukon xl slt sport utility,gmc,black,RI - RHODE ISLAND
41.82,-71.41,28990,2019,ranger supercrew xlt pickup,ford,orange,RI - RHODE ISLAND
41.82,-71.41,23990,2019,cascada premium,buick,white,RI - RHODE ISLAND
41.82,-71.41,27990,2019,1500 classic crew cab,ram,white,RI - RHODE ISLAND
41.82,-71.41,40590,2019,suburban lt sport,chevrolet,black,RI - RHODE ISLAND
41.82,-71.41,24990,2019,acadia sle-1 sport utility,gmc,white,RI - RHODE ISLAND
41.82,-71.41,24590,2019,f150 regular cab xl pickup,ford,red,RI - RHODE ISLAND
41.82,-71.41,38590,2019,model 3 standard range,tesla,blue,RI - RHODE ISLAND
41.82,-71.41,35990,2019,f150 supercrew cab xlt,ford,black,RI - RHODE ISLAND
41.82,-71.41,33990,2019,silverado 1500 ld,chevrolet,white,RI - RHODE ISLAND
