latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
32.19,-80.74,37590,2020,wrangler unlimited sport s,jeep,black,SC - HILTON HEAD
32.19,-80.74,34990,2020,wrangler unlimited sport s,jeep,red,SC - HILTON HEAD
33.383436,-79.305455,54999,2020,f-150 platinum 4wd supercrew 5.5' box,ford,black,SC - MYRTLE BEACH
33.383436,-79.305455,48999,2020,"sierra 1500 4wd crew cab 147 elevation""",gmc,black,SC - MYRTLE BEACH
33.69,-78.89,31990,2020,f150 super cab xl pickup 4d,ford,white,SC - MYRTLE BEACH
33.912,-78.596,55000,2020,1500 laramie sport 4wd,ram,grey,SC - MYRTLE BEACH
33.771256,-79.020159,0,2020,colorado,chevrolet,red,SC - MYRTLE BEACH
33.69,-78.89,35990,2020,1500 classic crew cab slt,ram,white,SC - MYRTLE BEACH
33.383436,-79.305455,50999,2020,"silverado 1500 4wd crew cab 147 rst""",chevrolet,blue,SC - MYRTLE BEACH
33.383436,-79.305455,50999,2020,"sierra 1500 4wd crew cab 147 elevation""",gmc,black,SC - MYRTLE BEACH
33.69,-78.89,49990,2020,rx 350 f sport suv 4d,lexus,black,SC - MYRTLE BEACH
33.383436,-79.305455,54999,2020,f-150 platinum 4wd supercrew 5.5' box,ford,black,SC - MYRTLE BEACH
33.7587,-78.8044,48500,2020,model 3,tesla,red,SC - MYRTLE BEACH
33.383436,-79.305455,53999,2020,f-150 platinum 4wd supercrew 5.5' box,ford,black,SC - MYRTLE BEACH
33.383436,-79.305455,0,2020,altima,nissan,grey,SC - MYRTLE BEACH
33.69,-78.89,28590,2020,370z coupe 2d,nissan,white,SC - MYRTLE BEACH
33.69,-78.89,34990,2020,wrangler unlimited sport s,jeep,red,SC - MYRTLE BEACH
33.383436,-79.305455,51999,2020,"silverado 1500 4wd crew cab 147 lt trail boss""",chevrolet,grey,SC - MYRTLE BEACH
