latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
43.5514,-96.7375,21495,2020,outlander,mitsubishi,black,SD - PIERRE
44.4946,-103.865,73900,2020,f150 raptor,ford,blue,SD - RAPID CITY
44.025384,-103.187027,18200,2020,escape se,ford,grey,SD - RAPID CITY
44.023533,-103.187542,18900,2020,escape se,ford,silver,SD - RAPID CITY
44.503196,-103.860851,78855,2020,sierra 1500,gmc,grey,SD - RAPID CITY
44.4946,-103.865,31990,2020,pathfinder sl,nissan,silver,SD - RAPID CITY
44.951796,-103.888355,44900,2020,wrangler unlimited sahara,jeep,grey,SD - RAPID CITY
44.4946,-103.865,37990,2020,silverado,chevrolet,red,SD - RAPID CITY
42.8821,-97.3986,45000,2020,wrangler unlimited,jeep,grey,SD - SIOUX FALLS
43.5139,-96.7364,62995,2020,a6,audi,black,SD - SIOUX FALLS
41.6546,-86.2479,58300,2020,x3 m competition,bmw,grey,SD - SIOUX FALLS
44.8346,-91.5159,36950,2020,x3 xdrive30i awd crossover,bmw,purple,SD - SIOUX FALLS
41.6546,-86.2479,58300,2020,x3 m competition,bmw,grey,SD - SIOUX FALLS
41.6546,-86.2479,58300,2020,x3 m competition,bmw,grey,SD - SIOUX FALLS
45.3151,-97.5254,34820,2020,traverse,chevrolet,silver,SD - SOUTH DAKOTA
45.3151,-97.5254,22800,2020,equinox,chevrolet,white,SD - SOUTH DAKOTA
45.3151,-97.5254,48220,2020,suburban,chevrolet,blue,SD - SOUTH DAKOTA
44.354923,-106.680384,69995,2020,silverado 2500hd,chevrolet,black,SD - SOUTH DAKOTA
44.354923,-106.680384,59995,2020,2500,ram,white,SD - SOUTH DAKOTA
45.990267,-95.313256,15995,2019,altima,nissan,grey,SD - NORTHEAST SD
43.4775,-96.7041,54495,2019,velar 340s,rover,silver,SD - PIERRE
44.08045,-103.19078,12999,2019,accent,hyundai,black,SD - RAPID CITY
44.416005,-103.519961,44840,2019,silverado 2500hd,chevrolet,white,SD - RAPID CITY
44.416005,-103.519961,28810,2019,mustang convertible,ford,blue,SD - RAPID CITY
44.097043,-103.163861,32707,2019,envision premium ii,buick,grey,SD - RAPID CITY
