latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
35.839799,-86.386926,37999,2020,tacoma 4wd,toyota,silver,TN - NASHVILLE
35.839799,-86.386926,18997,2020,rogue sport,nissan,red,TN - NASHVILLE
36.17,-86.78,35990,2020,gladiator sport pickup 4d 5,jeep,red,TN - NASHVILLE
35.840175,-86.387603,43950,2020,1500,ram,black,TN - NASHVILLE
36.171462,-86.497053,16998,2020,altima,nissan,black,TN - NASHVILLE
36.17,-86.78,29990,2020,forester sport suv 4d,subaru,silver,TN - NASHVILLE
36.17,-86.78,45990,2020,xc90 t6 momentum sport,volvo,black,TN - NASHVILLE
36.1633,-86.6609,53900,2020,titan,nissan,brown,TN - NASHVILLE
35.840175,-86.387603,41500,2020,gladiator,jeep,red,TN - NASHVILLE
29.818173,-95.668628,72995,2020,silverado 2500hd 2500 hd,chevrolet,grey,TN - NASHVILLE
36.292259,-86.733337,22000,2020,equinox,chevrolet,black,TN - NASHVILLE
36.17,-86.78,43990,2020,f-pace 25t premium sport,jaguar,black,TN - NASHVILLE
35.839799,-86.386926,17999,2020,altima,nissan,red,TN - NASHVILLE
29.818173,-95.668628,59995,2020,2500,ram,white,TN - NASHVILLE
29.818173,-95.668628,53995,2020,f-250 f250 f 250,ford,white,TN - NASHVILLE
29.818173,-95.668628,73995,2020,sierra 2500 hd 2500hd,gmc,black,TN - NASHVILLE
29.818173,-95.668628,55995,2020,3500,ram,white,TN - NASHVILLE
36.171462,-86.497053,16999,2020,malibu,chevrolet,red,TN - NASHVILLE
36.17,-86.78,37990,2020,xt4 sport suv 4d,cadillac,silver,TN - NASHVILLE
36.17,-86.78,39590,2020,xt4 sport suv 4d,cadillac,silver,TN - NASHVILLE
36.17,-86.78,42590,2020,yukon sle sport utility 4d,gmc,white,TN - NASHVILLE
36.171462,-86.497053,16335,2020,altima,nissan,black,TN - NASHVILLE
27.907158,-82.787506,84986,2020,corvette,chevrolet,black,TN - NASHVILLE
35.8456,-86.3903,26999,2020,maxima,nissan,custom,TN - NASHVILLE
36.53,-82.32,34990,2020,1500 classic crew cab slt,ram,black,TN - TRI-CITIES
36.53,-82.32,39990,2020,challenger r/t scat pack,dodge,red,TN - TRI-CITIES
36.293202,-82.308984,0,2020,colorado,chevrolet,red,TN - TRI-CITIES
36.53,-82.32,28590,2020,370z coupe 2d,nissan,white,TN - TRI-CITIES
36.53,-82.32,31990,2020,ranger supercrew xl pickup,ford,blue,TN - TRI-CITIES
36.53,-82.32,0,2020,altima,nissan,grey,TN - TRI-CITIES
35.839758,-86.387046,46997,2020,gladiator,jeep,black,TN - TRI-CITIES
36.53,-82.32,20990,2020,corolla hybrid le sedan,toyota,black,TN - TRI-CITIES
35.06,-85.25,58990,2020,expedition limited sport,ford,black,TN - CHATTANOOGA
35.06,-85.25,35990,2020,gladiator sport pickup 4d 5,jeep,silver,TN - CHATTANOOGA
35.06,-85.25,35590,2020,gladiator sport pickup 4d 5,jeep,black,TN - CHATTANOOGA
34.57,-86.98,20590,2020,corolla hatchback se 4d,toyota,white,TN - COOKEVILLE
35.97,-83.94,58990,2020,expedition limited sport,ford,silver,TN - KNOXVILLE
36.010517,-84.267262,0,2020,rogue sport,nissan,silver,TN - KNOXVILLE
36.207444,-83.303688,16980,2020,soul,kia,red,TN - KNOXVILLE
36.207444,-83.303688,14980,2020,rio,kia,black,TN - KNOXVILLE
35.1,-90,35590,2020,gladiator sport pickup 4d 5,jeep,black,TN - MEMPHIS
35.1,-90,35990,2020,gladiator sport pickup 4d 5,jeep,silver,TN - MEMPHIS
35.4307,-87.3198,42750,2020,tacoma,toyota,white,TN - NASHVILLE
