latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
33.165953,-97.076972,0,2020,cherokee,jeep,blue,TX - DALLAS
33.165953,-97.076972,0,2020,mazda3 sedan,mazda,black,TX - DALLAS
33.165953,-97.076972,0,2020,mazda6,mazda,blue,TX - DALLAS
32.79,-96.76,58990,2020,gle 350 4matic,mercedes-benz,white,TX - DALLAS
32.79,-96.76,56990,2020,gle 350 sport,mercedes-benz,black,TX - DALLAS
31.810656,-94.193205,43115,2020,wrangler,jeep,white,TX - DEEP EAST TEXAS
29.204307,-98.214074,38994,2020,silverado,chevrolet,silver,TX - DEL RIO
29.607184,-98.471162,28996,2020,q3,audi,white,TX - DEL RIO
29.607184,-98.471162,30991,2020,camry,toyota,red,TX - DEL RIO
30.06245,-95.43183,31922,2020,tlx,acura,red,TX - HOUSTON
29.676538,-95.422472,32991,2020,explorer,ford,white,TX - HOUSTON
29.676538,-95.422472,19491,2020,rogue,nissan,white,TX - HOUSTON
29.45,-98.5,44990,2020,range evoque p250 se,rover,black,TX - SAN ANTONIO
29.45,-98.5,47990,2020,range evoque p250 se,rover,black,TX - SAN ANTONIO
31.810656,-94.193205,43115,2020,wrangler,jeep,red,TX - TYLER
33.89,-98.51,40990,2020,gladiator sport pickup 4d 5,jeep,purple,TX - WICHITA FALLS
31.9618,-95.2703,28000,2020,escape sel awd,ford,white,TX - TYLER
32.4441,-95.331,32000,2020,maxima,nissan,black,TX - TYLER
32.32,-95.3,39990,2020,challenger r/t scat pack,dodge,red,TX - TYLER
31.810656,-94.193205,26475,2020,maxima,nissan,silver,TX - TYLER
31.810656,-94.193205,51825,2020,f-150,ford,white,TX - TYLER
31.810656,-94.193205,35500,2020,1500 classic,ram,silver,TX - TYLER
31.810656,-94.193205,39625,2020,1500,ram,black,TX - TYLER
32.2768,-95.3031,42695,2020,1500 big horn,ram,grey,TX - TYLER
32.32,-95.3,35990,2020,1500 classic crew cab slt,ram,white,TX - TYLER
32.3457,-95.34238,42695,2020,1500,ram,black,TX - TYLER
32.5547,-94.7767,100000,2020,corvette,chevrolet,blue,TX - TYLER
29.486645,-98.747361,51500,2020,rubicon recon,jeep,blue,TX - TYLER
31.810656,-94.193205,43115,2020,wrangler,jeep,black,TX - TYLER
32.32,-95.3,34990,2020,wrangler unlimited sport s,jeep,red,TX - TYLER
32.153216,-94.79938,19995,2020,rogue sport,nissan,silver,TX - TYLER
31.810656,-94.193205,26475,2020,maxima,nissan,silver,TX - TYLER
32.617949,-94.757767,44900,2020,silverado crew z71,chevrolet,grey,TX - TYLER
32.153216,-94.79938,43590,2020,explorer,ford,blue,TX - TYLER
31.810656,-94.193205,51825,2020,f-150,ford,silver,TX - TYLER
31.810656,-94.193205,35500,2020,1500 classic,ram,silver,TX - TYLER
32.3457,-95.34238,42695,2020,1500,ram,red,TX - TYLER
32.32,-95.3,35990,2020,tundra double cab sr,toyota,white,TX - TYLER
32.32,-95.3,33990,2020,1500 classic crew cab slt,ram,black,TX - TYLER
31.810656,-94.193205,39625,2020,1500,ram,black,TX - TYLER
32.32,-95.3,28590,2020,370z coupe 2d,nissan,white,TX - TYLER
31.810656,-94.193205,43115,2020,wrangler,jeep,black,TX - TYLER
32.3457,-95.34238,26988,2020,charger,dodge,white,TX - TYLER
32.3457,-95.34238,42695,2020,1500,ram,red,TX - TYLER
32.32,-95.3,33990,2020,1500 classic crew cab slt,ram,black,TX - TYLER
32.32,-95.3,34590,2020,gladiator sport pickup 4d 5,jeep,silver,TX - TYLER
32.32,-95.3,15590,2020,forte lxs sedan 4d,kia,white,TX - TYLER
31.810656,-94.193205,26475,2020,maxima,nissan,purple,TX - TYLER
32.153216,-94.79938,53495,2020,tahoe,chevrolet,silver,TX - TYLER
31.810656,-94.193205,43115,2020,wrangler,jeep,purple,TX - TYLER
32.963568,-96.914242,71999,2020,e-class,mercedes-benz,white,TX - TYLER
32.3457,-95.34238,26988,2020,charger,dodge,white,TX - TYLER
32.2768,-95.3031,28000,2020,charger sxt,dodge,white,TX - TYLER
31.810656,-94.193205,26475,2020,maxima,nissan,silver,TX - TYLER
32.3457,-95.34238,42695,2020,1500,ram,silver,TX - TYLER
32.153216,-94.79938,38790,2020,1500 classic,ram,silver,TX - TYLER
31.56,-97.18,35990,2020,1500 classic crew cab slt,ram,white,TX - WACO
31.56,-97.18,35990,2020,1500 classic crew cab slt,ram,black,TX - WACO
31.56,-97.18,33990,2020,1500 classic crew cab slt,ram,black,TX - WACO
31.56,-97.18,37990,2020,gladiator sport pickup 4d 5,jeep,red,TX - WACO
31.56,-97.18,30990,2020,1500 classic crew cab slt,ram,black,TX - WACO
31.56,-97.18,33990,2020,1500 classic crew cab slt,ram,black,TX - WACO
31.56,-97.18,34990,2020,wrangler unlimited sport s,jeep,red,TX - WACO
31.56,-97.18,34590,2020,gladiator sport pickup 4d 5,jeep,black,TX - WACO
31.56,-97.18,17990,2020,forte lxs sedan 4d,kia,white,TX - WACO
31.56,-97.18,28590,2020,370z coupe 2d,nissan,white,TX - WACO
35.199,-97.4841,49988,2020,silverado,chevrolet,blue,TX - WICHITA FALLS
33.514215,-97.821121,38500,2020,explorer,ford,white,TX - WICHITA FALLS
35.199,-97.4841,42988,2020,silverado,chevrolet,purple,TX - WICHITA FALLS
33.89,-98.51,35990,2020,1500 classic crew cab slt,ram,white,TX - WICHITA FALLS
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,white,TX - WICHITA FALLS
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,blue,TX - WICHITA FALLS
33.89,-98.51,37990,2020,gladiator sport pickup 4d 5,jeep,red,TX - WICHITA FALLS
33.89,-98.51,35990,2020,tundra double cab sr,toyota,white,TX - WICHITA FALLS
34.19709,-97.16056,0,2020,f-250sd,ford,silver,TX - WICHITA FALLS
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,white,TX - WICHITA FALLS
35.199,-97.4841,40988,2020,silverado,chevrolet,purple,TX - WICHITA FALLS
33.89,-98.51,37990,2020,wrangler unlimited sport s,jeep,black,TX - WICHITA FALLS
35.199,-97.4841,25588,2020,terrain,gmc,purple,TX - WICHITA FALLS
34.19709,-97.16056,0,2020,escalade,cadillac,black,TX - WICHITA FALLS
35.199,-97.4841,43988,2020,suburban,chevrolet,purple,TX - WICHITA FALLS
34.19709,-97.16056,0,2020,blazer,chevrolet,white,TX - WICHITA FALLS
33.89,-98.51,33990,2020,1500 classic crew cab slt,ram,black,TX - WICHITA FALLS
35.199,-97.4841,35988,2020,acadia,gmc,red,TX - WICHITA FALLS
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,white,TX - WICHITA FALLS
33.89,-98.51,42990,2020,gladiator overland pickup,jeep,black,TX - WICHITA FALLS
33.89,-98.51,34990,2020,wrangler unlimited sport s,jeep,red,TX - WICHITA FALLS
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,white,TX - WICHITA FALLS
35.199,-97.4841,20988,2020,equinox,chevrolet,black,TX - WICHITA FALLS
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,white,TX - WICHITA FALLS
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,white,TX - WICHITA FALLS
34.081088,-98.560473,27950,2020,enclave essence,buick,red,TX - WICHITA FALLS
35.199,-97.4841,34988,2020,acadia,gmc,purple,TX - WICHITA FALLS
33.89,-98.51,33990,2020,1500 classic crew cab slt,ram,black,TX - WICHITA FALLS
35.199,-97.4841,35988,2020,colorado,chevrolet,black,TX - WICHITA FALLS
35.199,-97.4841,44988,2020,tahoe,chevrolet,blue,TX - WICHITA FALLS
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,white,TX - WICHITA FALLS
34.081088,-98.560473,22950,2020,escape sel,ford,black,TX - WICHITA FALLS
35.199,-97.4841,49988,2020,tahoe,chevrolet,silver,TX - WICHITA FALLS
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,red,TX - WICHITA FALLS
33.514215,-97.821121,52999,2020,gladiator,jeep,white,TX - WICHITA FALLS
33.514215,-97.821121,53999,2020,f-150,ford,white,TX - WICHITA FALLS
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,white,TX - WICHITA FALLS
34.19709,-97.16056,0,2020,sierra 1500,gmc,red,TX - WICHITA FALLS
34.19709,-97.16056,0,2020,escalade,cadillac,black,TX - WICHITA FALLS
33.89,-98.51,35990,2020,1500 classic crew cab slt,ram,white,TX - WICHITA FALLS
35.199,-97.4841,18988,2020,malibu,chevrolet,black,TX - WICHITA FALLS
34.19709,-97.16056,0,2020,silverado 1500,chevrolet,white,TX - WICHITA FALLS
35.199,-97.4841,33988,2020,challenger,dodge,white,TX - WICHITA FALLS
30.582572,-97.692412,38800,2020,wrangler,jeep,red,TX - AUSTIN
29.886005,-97.671354,39996,2020,silverado 1500,chevrolet,purple,TX - AUSTIN
30.34667,-97.5609,68500,2020,sierra denali hd 2500 crew cab standard box denali automatic,gmc,white,TX - AUSTIN
30.26,-97.74,29990,2020,clubman cooper s all4,mini,purple,TX - AUSTIN
