latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
25.827103,-80.24152,26950,2020,wrangler unlimited,jeep,grey,UT - LOGAN
40.2818,-111.7209,28588,2020,tiguan,volkswagen,grey,UT - PROVO
45.16369,-113.89423,33895,2020,colorado,chevrolet,grey,UT - SALT LAKE CITY
40.6524,-111.5018,29000,2020,tacoma,toyota,white,UT - SALT LAKE CITY
29.818173,-95.668628,72995,2020,silverado 2500hd 2500 hd,chevrolet,grey,UT - SALT LAKE CITY
40.7548,-111.881,165000,2020,sprinter 2500,mercedes-benz,white,UT - SALT LAKE CITY
40.3802,-111.991,25000,2020,fusion hybrid,ford,grey,UT - SALT LAKE CITY
40.5834,-111.7467,72500,2020,f-150 raptor 4wd supercrew,ford,red,UT - SALT LAKE CITY
45.16369,-113.89423,38895,2020,grand cherokee,jeep,grey,UT - SALT LAKE CITY
41.6546,-86.2479,58300,2020,x3 m competition,bmw,grey,UT - SALT LAKE CITY
38.4826,-121.4006,28995,2020,traverse,chevrolet,custom,UT - SALT LAKE CITY
38.4826,-121.4006,30995,2020,explorer,ford,black,UT - SALT LAKE CITY
38.4826,-121.4006,28995,2020,pathfinder,nissan,black,UT - SALT LAKE CITY
38.4826,-121.4006,29995,2020,grand cherokee,jeep,silver,UT - SALT LAKE CITY
33.627493,-117.733993,49995,2020,sienna le wheelchair van vmi summit - power fold out ramp side loading conversion,toyota,blue,UT - SALT LAKE CITY
33.627493,-117.733993,61995,2020,odyssey ex-l wheelchair van vmi northstar - power infloor ramp side loading conversion,honda,white,UT - SALT LAKE CITY
45.16369,-113.89423,37895,2020,durango,dodge,red,UT - SALT LAKE CITY
41.6546,-86.2479,58300,2020,x3 m competition,bmw,grey,UT - SALT LAKE CITY
41.6546,-86.2479,58300,2020,x3 m competition,bmw,grey,UT - SALT LAKE CITY
37.175631,-113.60824,27450,2020,mustang,ford,custom,UT - ST GEORGE
37.081621,-113.585358,19875,2020,outlander,mitsubishi,silver,UT - ST GEORGE
37.081621,-113.585358,19498,2020,outlander sport,mitsubishi,blue,UT - ST GEORGE
37.081621,-113.585358,16879,2020,corolla,toyota,silver,UT - ST GEORGE
37.081621,-113.585358,19875,2020,outlander,mitsubishi,silver,UT - ST GEORGE
37.081621,-113.585358,19498,2020,outlander sport,mitsubishi,blue,UT - ST GEORGE
37.0831,-113.5581,88000,2020,raptor,ford,white,UT - ST GEORGE
37.081621,-113.585358,16879,2020,corolla,toyota,silver,UT - ST GEORGE
25.827103,-80.24152,69950,2020,gladiator,jeep,red,UT - LOGAN
40.746278,-111.939504,25950,2019,frontier 4x4,nissan,white,UT - LOGAN
40.746571,-111.939461,26950,2019,1500 4x4,ram,white,UT - LOGAN
45.16369,-113.89423,19995,2019,cooper convertible,mini,silver,UT - LOGAN
