latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
37.650099,-77.60896,13333,2020,versa,nissan,silver,VA - RICHMOND
38.2481,-77.4681,13999,2020,elantra,hyundai,white,VA - RICHMOND
37.49978,-77.53475,0,2020,1500,ram,black,VA - RICHMOND
37.4638,-77.398,50000,2020,charger 392,dodge,orange,VA - RICHMOND
38.25295,-77.50261,0,2020,silverado,chevrolet,black,VA - RICHMOND
37.55,-77.46,38990,2020,tundra crewmax sr5 pickup,toyota,silver,VA - RICHMOND
37.335355,-79.859385,19995,2020,altima,nissan,white,VA - ROANOKE
37.2853,-80.0692,28000,2020,cherokee,jeep,black,VA - ROANOKE
37.6667,-79.8172,0,2020,colorado,chevrolet,red,VA - ROANOKE
37.33835,-79.956631,19995,2020,equinox,chevrolet,grey,VA - ROANOKE
37.335355,-79.859385,14995,2020,versa,nissan,black,VA - ROANOKE
37.27,-79.95,39990,2020,challenger r/t scat pack,dodge,red,VA - ROANOKE
37.27,-79.95,0,2020,altima,nissan,grey,VA - ROANOKE
37.33835,-79.956631,20995,2020,equinox,chevrolet,grey,VA - ROANOKE
37.33835,-79.956631,17995,2020,outlander sport,mitsubishi,silver,VA - ROANOKE
37.27,-79.95,34990,2020,wrangler unlimited sport s,jeep,red,VA - ROANOKE
37.335355,-79.859385,19995,2020,altima,nissan,white,VA - ROANOKE
38.1574,-79.0651,44995,2020,f-150,ford,silver,VA - ROANOKE
37.2937,-79.9902,19800,2020,altima,nissan,blue,VA - ROANOKE
37.370253,-79.180978,0,2020,sorento,kia,red,VA - ROANOKE
37.1784,-79.6521,39500,2020,sienna limited premium,toyota,black,VA - ROANOKE
39.1501,-78.269,14999,2020,corolla,toyota,blue,VA - WINCHESTER
39.1501,-78.269,22870,2020,terrain,gmc,white,VA - WINCHESTER
39.1501,-78.269,14999,2020,corolla,toyota,red,VA - WINCHESTER
25.827103,-80.24152,14950,2020,corsair,lincoln,red,VA - WINCHESTER
38.1574,-79.0651,44995,2020,f-150,ford,white,VA - WINCHESTER
38.9268,-78.1796,18500,2020,corolla,toyota,blue,VA - WINCHESTER
39.17,-78.17,34990,2020,wrangler unlimited sport s,jeep,red,VA - WINCHESTER
36.8012,-76.423,39310,2020,ridgeline rtl-e,honda,white,VA - NORFOLK
36.68829,-76.230521,31388,2020,express 2500 cargo van,chevrolet,white,VA - NORFOLK
35.2677,-75.5424,85000,2020,f250,ford,grey,VA - NORFOLK
36.67,-76.3,37590,2020,telluride s sport utility 4d,kia,green,VA - NORFOLK
36.7352,-76.2384,43000,2020,tacoma,toyota,white,VA - NORFOLK
36.67,-76.3,27990,2020,f150 regular cab xlt pickup,ford,black,VA - NORFOLK
36.90458,-76.1336,0,2020,wrx,subaru,blue,VA - NORFOLK
36.68829,-76.230521,42866,2020,transit 350 15 passenger,ford,white,VA - NORFOLK
36.67,-76.3,33990,2020,1500 classic crew cab slt,ram,black,VA - NORFOLK
36.67,-76.3,40990,2020,gladiator sport pickup 4d 5,jeep,red,VA - NORFOLK
36.67,-76.3,39590,2020,xt4 sport suv 4d,cadillac,silver,VA - NORFOLK
36.68829,-76.230521,38866,2020,express 3500 15 passenger,chevrolet,silver,VA - NORFOLK
40.622791,-73.74012,18800,2020,rogue,nissan,blue,VA - RICHMOND
38.51143,-77.36888,0,2020,sport,rover,black,VA - RICHMOND
39.512938,-76.909548,27999,2020,pathfinder sv awd,nissan,black,VA - RICHMOND
37.4011,-77.4615,0,2020,colorado,chevrolet,red,VA - RICHMOND
38.25712,-77.49572,0,2020,silverado,chevrolet,black,VA - RICHMOND
38.571371,-77.317982,14999,2020,corolla,toyota,white,VA - RICHMOND
38.327894,-77.731361,79900,2020,silverado,chevrolet,blue,VA - RICHMOND
38.25712,-77.49572,0,2020,corolla,toyota,blue,VA - RICHMOND
38.25712,-77.49572,0,2020,fusion,ford,silver,VA - RICHMOND
37.506895,-77.484535,0,2020,sparks,chevrolet,red,VA - RICHMOND
38.25712,-77.49572,0,2020,altima,nissan,grey,VA - RICHMOND
37.638343,-77.564142,47500,2020,explorer st 4wd,ford,grey,VA - RICHMOND
38.25712,-77.49572,0,2020,corolla,toyota,black,VA - RICHMOND
39.394599,-80.302413,22995,2020,rogue,nissan,black,VA - RICHMOND
38.1574,-79.0651,44995,2020,f-150,ford,blue,VA - RICHMOND
38.1574,-79.0651,44995,2020,f-150,ford,purple,VA - RICHMOND
37.2916,-76.4905,42800,2020,1500,ram,red,VA - RICHMOND
25.827103,-80.24152,52950,2020,gladiator,jeep,blue,VA - CHARLOTTESVILLE
38.098462,-78.464573,37453,2020,pilot,honda,white,VA - CHARLOTTESVILLE
38.098462,-78.464573,25337,2020,cr-v,honda,blue,VA - CHARLOTTESVILLE
38.03,-78.48,35990,2020,1500 classic crew cab slt,ram,white,VA - CHARLOTTESVILLE
38.762669,-77.461754,55995,2020,gladiator,jeep,white,VA - CHARLOTTESVILLE
38.03,-78.48,31990,2020,ranger supercrew xl pickup,ford,blue,VA - CHARLOTTESVILLE
38.098605,-78.464399,56593,2020,gladiator,jeep,blue,VA - CHARLOTTESVILLE
38.098605,-78.464399,41295,2020,gladiator,jeep,white,VA - CHARLOTTESVILLE
38.098605,-78.464399,26703,2020,outback,subaru,purple,VA - CHARLOTTESVILLE
35.805,-80.313,0,2020,colorado,chevrolet,red,VA - DANVILLE
36.58,-79.4,0,2020,altima,nissan,grey,VA - DANVILLE
36.58,-79.4,34990,2020,wrangler unlimited sport s,jeep,red,VA - DANVILLE
38.762945,-77.460595,52995,2020,gladiator,jeep,white,VA - FREDERICKSBURG
38.27351,-77.49257,18200,2020,corolla,toyota,blue,VA - FREDERICKSBURG
38.281249,-77.519898,110000,2020,corvette,chevrolet,silver,VA - FREDERICKSBURG
38.29,-77.48,35990,2020,1500 classic crew cab slt,ram,white,VA - FREDERICKSBURG
38.29,-77.48,35990,2020,1500 classic crew cab slt,ram,black,VA - FREDERICKSBURG
38.25712,-77.49572,0,2020,silverado,chevrolet,black,VA - FREDERICKSBURG
38.29,-77.48,46990,2020,sierra 1500 crew cab slt,gmc,black,VA - FREDERICKSBURG
38.25712,-77.49572,0,2020,corolla,toyota,blue,VA - FREDERICKSBURG
38.25712,-77.49572,0,2020,fusion,ford,silver,VA - FREDERICKSBURG
38.25295,-77.50261,0,2020,charger,dodge,black,VA - FREDERICKSBURG
38.29,-77.48,33990,2020,1500 classic crew cab slt,ram,black,VA - FREDERICKSBURG
38.25712,-77.49572,0,2020,corolla,toyota,black,VA - FREDERICKSBURG
38.762945,-77.460595,81995,2020,model x,tesla,black,VA - FREDERICKSBURG
38.762945,-77.460595,55995,2020,gladiator,jeep,white,VA - FREDERICKSBURG
38.1574,-79.0651,44995,2020,f-150,ford,silver,VA - FREDERICKSBURG
38.255234,-77.497557,31300,2020,qx60,infiniti,blue,VA - FREDERICKSBURG
38.29,-77.48,27990,2020,f150 regular cab xlt pickup,ford,black,VA - FREDERICKSBURG
38.25295,-77.50261,19795,2020,fusion,ford,blue,VA - FREDERICKSBURG
38.255234,-77.497557,36983,2020,xt4,cadillac,black,VA - FREDERICKSBURG
38.2481,-77.4681,13999,2020,elantra,hyundai,white,VA - FREDERICKSBURG
38.29,-77.48,27990,2020,f150 regular cab xl pickup,ford,silver,VA - FREDERICKSBURG
38.25295,-77.50261,26495,2020,mustang,ford,silver,VA - FREDERICKSBURG
38.25295,-77.50261,26495,2020,mustang,ford,black,VA - FREDERICKSBURG
38.25295,-77.50261,19995,2020,fusion,ford,silver,VA - FREDERICKSBURG
38.25295,-77.50261,37995,2020,x3,bmw,white,VA - FREDERICKSBURG
38.255234,-77.497557,18983,2020,equinox,chevrolet,white,VA - FREDERICKSBURG
38.4489,-78.8714,0,2020,transit,ford,purple,VA - HARRISONBURG
38.1574,-79.0651,44995,2020,f-150,ford,white,VA - HARRISONBURG
37.3825,-79.2181,0,2020,transit connect,ford,purple,VA - LYNCHBURG
37.4,-79.19,40990,2020,4runner sr5 sport utility,toyota,white,VA - LYNCHBURG
37.370253,-79.180978,0,2020,rio,kia,purple,VA - LYNCHBURG
37.4,-79.19,35990,2020,1500 classic crew cab slt,ram,white,VA - LYNCHBURG
37.4,-79.19,31990,2020,ranger supercrew xl pickup,ford,blue,VA - LYNCHBURG
37.4,-79.19,37590,2020,grand cherokee limited,jeep,red,VA - LYNCHBURG
37.4,-79.19,39590,2020,silverado 1500 crew,chevrolet,blue,VA - LYNCHBURG
37.370253,-79.180978,0,2020,malibu,chevrolet,black,VA - LYNCHBURG
37.4,-79.19,33990,2020,1500 classic crew cab slt,ram,white,VA - LYNCHBURG
37.370253,-79.180978,0,2020,corolla,toyota,white,VA - LYNCHBURG
37.370253,-79.180978,0,2020,rio,kia,purple,VA - LYNCHBURG
37.4,-79.19,39590,2020,sierra 1500 double cab,gmc,black,VA - LYNCHBURG
37.12,-80.55,34990,2020,wrangler unlimited sport s,jeep,red,VA - NEW RIVER VALLEY
36.67,-76.3,38990,2020,telluride s sport utility 4d,kia,white,VA - NORFOLK
36.67,-76.3,35990,2020,gladiator sport pickup 4d 5,jeep,silver,VA - NORFOLK
36.8012,-76.423,3950,2020,tahoe,chevrolet,black,VA - NORFOLK
36.8089,-76.3671,0,2020,colorado,chevrolet,red,VA - NORFOLK
36.90458,-76.1336,0,2020,wrx,subaru,blue,VA - NORFOLK
36.844489,-76.151365,19995,2020,civic,honda,grey,VA - NORFOLK
36.67,-76.3,35990,2020,1500 classic crew cab slt,ram,white,VA - NORFOLK
36.68829,-76.230521,21933,2020,nv200 cargo van,nissan,white,VA - NORFOLK
36.67,-76.3,38990,2020,telluride s sport utility 4d,kia,black,VA - NORFOLK
36.68829,-76.230521,30766,2020,express 2500 extended,chevrolet,white,VA - NORFOLK
38.32749,-77.731876,79900,2020,silverado,chevrolet,red,VA - NORFOLK
36.67,-76.3,20590,2020,renegade sport suv 4d,jeep,red,VA - NORFOLK
36.67,-76.3,20590,2020,corolla hatchback se 4d,toyota,white,VA - NORFOLK
37.1885,-76.429,0,2020,altima,nissan,grey,VA - NORFOLK
36.8914,-76.2396,18900,2020,fusion,ford,red,VA - NORFOLK
36.68829,-76.230521,21933,2020,nv200 cargo van,nissan,white,VA - NORFOLK
36.90458,-76.1336,0,2020,wrx,subaru,blue,VA - NORFOLK
38.4489,-78.8714,0,2019,silverado 2500hd,chevrolet,white,VA - HARRISONBURG
40.681179,-73.430488,0,2019,silverado 2500hd,chevrolet,white,VA - HARRISONBURG
37.4,-79.19,40990,2019,tundra crewmax sr5 pickup,toyota,silver,VA - LYNCHBURG
37.335208,-79.525315,0,2019,equinox,chevrolet,white,VA - LYNCHBURG
37.3825,-79.2181,0,2019,300,chrysler,black,VA - LYNCHBURG
37.453596,-79.263546,20500,2019,leaf sv hatchback 4d,nissan,silver,VA - LYNCHBURG
37.453596,-79.263546,0,2019,mustang,ford,green,VA - LYNCHBURG
37.453596,-79.263546,0,2019,kicks,nissan,white,VA - LYNCHBURG
37.4,-79.19,36590,2019,f150 supercrew cab xlt,ford,black,VA - LYNCHBURG
37.4,-79.19,0,2019,f-250 super duty,ford,silver,VA - LYNCHBURG
37.4,-79.19,0,2019,f-250 super duty,ford,white,VA - LYNCHBURG
37.4,-79.19,9990,2019,fiesta se hatchback 4d,ford,silver,VA - LYNCHBURG
