latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
46.234838,-119.128015,42999,2020,silverado 1500 lt 4x4,chevrolet,silver,WA - WENATCHEE
46.234838,-119.128015,38999,2020,1500 bighorn 4x4 gas,ram,grey,WA - WENATCHEE
46.234838,-119.128015,76999,2020,f350 powerstroke platinum,ford,black,WA - WENATCHEE
46.234838,-119.128015,32999,2020,colorado lt 4x4 gas,chevrolet,silver,WA - WENATCHEE
46.234838,-119.128015,54999,2020,silverado 2500 lt 4x4,chevrolet,black,WA - WENATCHEE
46.9996,-120.5163,49080,2020,silverado 1500 lt,chevrolet,black,WA - WENATCHEE
46.9996,-120.5163,38990,2020,equinox premier,chevrolet,orange,WA - WENATCHEE
46.9996,-120.5163,25630,2020,equinox ls,chevrolet,grey,WA - WENATCHEE
46.9996,-120.5163,24330,2020,trax lt,chevrolet,blue,WA - WENATCHEE
46.9996,-120.5163,40125,2020,silverado,chevrolet,white,WA - WENATCHEE
46.976715,-120.451183,30585,2020,equinox lt sport,chevrolet,red,WA - WENATCHEE
46.9996,-120.5163,22000,2020,trax lt,chevrolet,black,WA - WENATCHEE
46.9996,-120.5163,35150,2020,equinox lt sport,chevrolet,red,WA - WENATCHEE
46.9996,-120.5163,36905,2020,equinox premier,chevrolet,brown,WA - WENATCHEE
46.9996,-120.5163,24905,2020,trax lt,chevrolet,silver,WA - WENATCHEE
46.9996,-120.5163,27705,2020,trax,chevrolet,blue,WA - WENATCHEE
46.9996,-120.5163,75215,2020,suburban,chevrolet,white,WA - WENATCHEE
46.9996,-120.5163,39045,2020,blazer,chevrolet,grey,WA - WENATCHEE
46.9996,-120.5163,69480,2020,silverado 2500hd ltz,chevrolet,blue,WA - WENATCHEE
47.399555,-120.281324,38970,2020,rav4,toyota,black,WA - WENATCHEE
46.234838,-119.128015,45999,2020,gladiator overland 4x4 gas,jeep,grey,WA - YAKIMA
46.234838,-119.128015,77999,2020,sierra diesel duramax 3500,gmc,blue,WA - YAKIMA
46.234838,-119.128015,46999,2020,4runner limited 4x4 gas,toyota,grey,WA - YAKIMA
46.9996,-120.5163,49999,2020,suburban lt,chevrolet,grey,WA - YAKIMA
46.9996,-120.5163,43995,2020,traverse,chevrolet,black,WA - YAKIMA
46.9996,-120.5163,24330,2020,trax lt,chevrolet,blue,WA - YAKIMA
46.9996,-120.5163,24905,2020,trax,chevrolet,silver,WA - YAKIMA
46.9996,-120.5163,38999,2020,equinox premier,chevrolet,orange,WA - YAKIMA
46.9996,-120.5163,35150,2020,equinox lt sport,chevrolet,red,WA - YAKIMA
46.9996,-120.5163,25630,2020,equinox,chevrolet,black,WA - YAKIMA
