latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
46.46321,-90.148219,58995,2020,3500,ram,white,WI - NORTHERN WI
46.46321,-90.148219,59995,2020,silverado 2500hd,chevrolet,blue,WI - NORTHERN WI
44.07818,-87.6968,31956,2020,envision,buick,white,WI - SHEBOYGAN
44.07818,-87.6968,49980,2020,suburban,chevrolet,black,WI - SHEBOYGAN
44.07818,-87.6968,21994,2020,equinox,chevrolet,white,WI - SHEBOYGAN
44.07818,-87.6968,36894,2020,traverse,chevrolet,silver,WI - SHEBOYGAN
44.07818,-87.6968,22998,2020,encore gx,buick,red,WI - SHEBOYGAN
44.07818,-87.6968,20559,2020,encore gx,buick,red,WI - SHEBOYGAN
44.07818,-87.6968,46748,2020,traverse,chevrolet,red,WI - SHEBOYGAN
44.07818,-87.6968,57389,2020,xt6,cadillac,blue,WI - SHEBOYGAN
44.07818,-87.6968,50808,2020,tahoe,chevrolet,black,WI - SHEBOYGAN
44.96,-89.64,34990,2020,1500 classic crew cab slt,ram,black,WI - WAUSAU
44.935751,-89.616928,30995,2020,blazer lt v6 awd,chevrolet,silver,WI - WAUSAU
44.843195,-91.550371,36950,2020,x3 xdrive30i awd crossover,bmw,red,WI - WAUSAU
44.96,-89.64,33990,2020,1500 classic crew cab slt,ram,black,WI - WAUSAU
44.26,-88.39,38590,2020,370z nismo coupe 2d,nissan,black,WI - APPLETON-OSHKOSH-FDL
44.52,-87.98,38590,2020,370z nismo coupe 2d,nissan,black,WI - GREEN BAY
42.628136,-88.626666,50926,2020,super duty f-250 plow,ford,white,WI - MILWAUKEE
43.154,-88.164,22995,2020,edge,ford,white,WI - MILWAUKEE
43.154,-88.164,13995,2020,corolla,toyota,blue,WI - MILWAUKEE
32.7904,-96.8044,50000,2020,sprinter cargo van,mercedes-benz,black,WI - MILWAUKEE
43.06,-87.96,39590,2020,xt4 sport suv 4d,cadillac,silver,WI - MILWAUKEE
44.8346,-91.5159,34950,2020,x3 xdrive30i awd crossover,bmw,red,WI - MILWAUKEE
44.384508,-89.817274,21400,2020,malibu premier,chevrolet,white,WI - MILWAUKEE
43.06,-87.96,35990,2020,1500 classic crew cab slt,ram,white,WI - MILWAUKEE
43.06,-87.96,41990,2020,tundra double cab sr5,toyota,black,WI - MILWAUKEE
42.364188,-87.864796,15500,2020,malibu,chevrolet,black,WI - MILWAUKEE
43.06,-87.96,44990,2020,tundra crewmax sr5 pickup,toyota,black,WI - MILWAUKEE
42.857878,-88.309457,0,2020,gladiator sport,jeep,black,WI - MILWAUKEE
42.628136,-88.626666,72840,2020,5500 crew cab drw,ram,white,WI - MILWAUKEE
42.857878,-88.309457,0,2020,wrangler unlimited willys,jeep,white,WI - MILWAUKEE
43.06,-87.96,36990,2020,gladiator sport pickup 4d 5,jeep,silver,WI - MILWAUKEE
43.06,-87.96,35990,2020,telluride lx sport utility,kia,white,WI - MILWAUKEE
43.054637,-88.048275,0,2020,sorento lx,kia,custom,WI - MILWAUKEE
43.054637,-88.048275,189,2020,k5 lxs,kia,blue,WI - MILWAUKEE
43.054637,-88.048275,169,2020,sportage lx,kia,custom,WI - MILWAUKEE
43.054637,-88.048275,149,2020,forte lxs,kia,orange,WI - MILWAUKEE
43.054606,-88.048146,0,2020,telluride,kia,black,WI - MILWAUKEE
42.62777,-88.627052,49821,2020,4500 lcf gas,chevrolet,white,WI - MILWAUKEE
42.627893,-88.626773,32980,2020,express 3500,chevrolet,white,WI - MILWAUKEE
44.8346,-91.5159,34950,2020,x3 xdrive30i awd crossover,bmw,white,WI - MILWAUKEE
42.628136,-88.626666,50926,2020,super duty f-250 plow,ford,white,WI - MILWAUKEE
43.06,-87.96,30590,2020,370z coupe 2d,nissan,black,WI - MILWAUKEE
43.06,-87.96,20590,2020,renegade sport suv 4d,jeep,red,WI - MILWAUKEE
43.06,-87.96,33990,2020,1500 classic crew cab slt,ram,black,WI - MILWAUKEE
43.06,-87.96,42590,2020,yukon sle sport utility 4d,gmc,white,WI - MILWAUKEE
43.06,-87.96,42590,2020,silverado 1500 crew,chevrolet,black,WI - MILWAUKEE
