latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
39.33461,-82.949321,53995,2020,f-150,ford,black,"WV - CHARLESTON"
29.818173,-95.668628,72995,2020,"silverado 2500hd 2500 hd",chevrolet,grey,"WV - CHARLESTON"
39.905958,-83.08286,0,2020,"silverado 1500",chevrolet,black,"WV - CHARLESTON"
39.63,-79.94,34990,2020,"1500 classic crew cab slt",ram,black,"WV - MORGANTOWN"
39.63,-79.94,32990,2020,"wrangler sport suv 2d",jeep,black,"WV - MORGANTOWN"
38.762945,-77.460595,55995,2020,gladiator,jeep,white,"WV - SOUTHERN WV"
39.33461,-82.949321,34265,2019,f-150,ford,purple,"WV - CHARLESTON"
39.33461,-82.949321,46941,2019,1500,ram,black,"WV - CHARLESTON"
39.33461,-82.949321,31998,2019,"silverado 1500 ld",chevrolet,white,"WV - CHARLESTON"
39.33461,-82.949321,0,2019,f-250sd,ford,red,"WV - CHARLESTON"
39.33461,-82.949321,36169,2019,1500,ram,red,"WV - CHARLESTON"
38.767754,-77.70790500000003,16664,2019,equinox,chevrolet,white,"WV - CHARLESTON"
38.767754,-77.70790500000003,0,2019,300,chrysler,black,"WV - CHARLESTON"
38.3173,-81.5903,0,2019,mustang,ford,green,"WV - CHARLESTON"
38.3274,-81.669,3200,2019,"sentra 2.0",nissan,red,"WV - CHARLESTON"
38.35,-81.63,27990,2019,"tacoma double cab sr5",toyota,white,"WV - CHARLESTON"
39.905958,-83.08286,35995,2019,"all-new 1500",ram,black,"WV - CHARLESTON"
39.33461,-82.949321,39498,2019,f-150,ford,black,"WV - CHARLESTON"
38.8976,-77.5092,17590,2019,"santa fe",hyundai,red,"WV - CHARLESTON"
38.8976,-77.5092,21601,2019,crosstrek,subaru,black,"WV - CHARLESTON"
38.8976,-77.5092,16950,2019,equinox,chevrolet,silver,"WV - CHARLESTON"
38.35,-81.63,0,2019,"silverado 2500hd",chevrolet,white,"WV - CHARLESTON"
39.905958,-83.08286,37995,2019,"all-new 1500",ram,silver,"WV - CHARLESTON"
39.33461,-82.949321,62895,2019,"silverado 2500hd",chevrolet,white,"WV - CHARLESTON"
39.33461,-82.949321,68999,2019,f-250sd,ford,purple,"WV - CHARLESTON"
39.33461,-82.949321,53998,2019,"sierra 1500",gmc,red,"WV - CHARLESTON"
39.33461,-82.949321,49495,2019,2500,ram,purple,"WV - CHARLESTON"
38.8976,-77.5092,12950,2019,corolla,toyota,white,"WV - CHARLESTON"
39.905958,-83.08286,23495,2019,rav4,toyota,white,"WV - CHARLESTON"
38.35,-81.63,0,2019,"silverado 2500hd",chevrolet,white,"WV - CHARLESTON"
38.762945,-77.460595,32795,2019,f-150,ford,silver,"WV - CHARLESTON"
39.3,-78.59,27990,2019,"tacoma double cab sr5",toyota,white,"WV - EASTERN PANHANDLE"
39.63,-79.94,34590,2019,"f150 supercrew cab xlt",ford,red,"WV - MORGANTOWN"
39.63,-79.94,27990,2019,"mx-5 miata club",mazda,red,"WV - MORGANTOWN"
39.63,-79.94,26990,2019,"mx-5 miata club",mazda,white,"WV - MORGANTOWN"
39.63,-79.94,25990,2019,"mx-5 miata club",mazda,black,"WV - MORGANTOWN"
39.63,-79.94,35990,2019,"f150 supercrew cab xlt",ford,black,"WV - MORGANTOWN"
38.762945,-77.460595,22495,2019,civic,honda,silver,"WV - SOUTHERN WV"
38.762945,-77.460595,13495,2019,elantra,hyundai,white,"WV - SOUTHERN WV"
38.762945,-77.460595,23995,2019,civic,honda,white,"WV - SOUTHERN WV"
38.762945,-77.460595,26495,2019,transit,ford,white,"WV - SOUTHERN WV"
38.762945,-77.460595,10795,2019,sentra,nissan,black,"WV - SOUTHERN WV"
38.762945,-77.460595,19795,2019,300,chrysler,white,"WV - SOUTHERN WV"
39.33461,-82.949321,32397,2018,"sierra 2500hd",gmc,black,"WV - CHARLESTON"
39.33461,-82.949321,35793,2018,f-150,ford,purple,"WV - CHARLESTON"
38.8976,-77.5092,18950,2018,"promaster cargo van",ram,white,"WV - CHARLESTON"
35.1714,-80.9084,11355,2018,malibu,chevrolet,grey,"WV - CHARLESTON"
40.833834,-81.33886700000002,54000,2018,f-650sd,ford,silver,"WV - CHARLESTON"
39.33461,-82.949321,36849,2018,"sierra 1500",gmc,purple,"WV - CHARLESTON"
39.33461,-82.949321,31190,2018,f-150,ford,red,"WV - CHARLESTON"
38.35,-81.63,0,2018,"3 series",bmw,grey,"WV - CHARLESTON"
38.35,-81.63,32590,2018,"f150 supercrew cab xlt",ford,red,"WV - CHARLESTON"
38.35,-81.63,31990,2018,"wrangler sahara (jk) sport",jeep,white,"WV - CHARLESTON"
39.905958,-83.08286,31995,2018,tacoma,toyota,red,"WV - CHARLESTON"
39.33461,-82.949321,29995,2018,f-150,ford,purple,"WV - CHARLESTON"
39.33461,-82.949321,36498,2018,f-150,ford,black,"WV - CHARLESTON"
39.33461,-82.949321,32998,2018,f-150,ford,silver,"WV - CHARLESTON"
40.833834,-81.33886700000002,42456,2018,"5500 chassis cab",ram,white,"WV - CHARLESTON"
39.905958,-83.08286,17995,2018,accord,honda,black,"WV - CHARLESTON"
39.905958,-83.08286,0,2018,xf,jaguar,white,"WV - CHARLESTON"
38.8976,-77.5092,12950,2018,ecosport,ford,black,"WV - CHARLESTON"
40.833834,-81.33886700000002,32500,2018,f-150,ford,black,"WV - CHARLESTON"
38.35,-81.63,0,2018,300,chrysler,white,"WV - CHARLESTON"
40.833834,-81.33886700000002,41450,2018,2500,ram,white,"WV - CHARLESTON"
39.33461,-82.949321,32995,2018,f-150,ford,silver,"WV - CHARLESTON"
38.35,-81.63,29990,2018,"wrangler sahara (jk) sport",jeep,silver,"WV - CHARLESTON"
38.35,-81.63,0,2018,charger,dodge,grey,"WV - CHARLESTON"
38.762945,-77.460595,16995,2018,edge,ford,white,"WV - CHARLESTON"
38.762945,-77.460595,24795,2018,explorer,ford,black,"WV - CHARLESTON"
38.762945,-77.460595,51995,2018,3500,ram,white,"WV - CHARLESTON"
39.33461,-82.949321,30998,2018,f-150,ford,purple,"WV - CHARLESTON"
39.33461,-82.949321,40494,2018,f-150,ford,white,"WV - CHARLESTON"
39.33461,-82.949321,34998,2018,"silverado 2500hd",chevrolet,white,"WV - CHARLESTON"
40.833834,-81.33886700000002,53000,2018,f-650sd,ford,blue,"WV - CHARLESTON"
38.35,-81.63,31990,2018,"silverado 1500 double",chevrolet,black,"WV - CHARLESTON"
39.33461,-82.949321,64995,2018,f-350sd,ford,silver,"WV - CHARLESTON"
