latitude,longitude,price,car_year,model,manufacturer,paint_color,state_region
42.806836,-106.189091,44500,2020,f-150,ford,black,"WY - WYOMING"
33.779214,-84.411811,14990,2020,"versa sv sedan 4d",nissan,purple,"WY - WYOMING"
33.779214,-84.411811,16990,2020,"forte lxs sedan 4d",kia,silver,"WY - WYOMING"
40.374375,-104.694103,52500,2020,f-250,ford,white,"WY - WYOMING"
44.29231,-105.49809,3995,2020,1210,ford,blue,"WY - WYOMING"
33.779214,-84.411811,15990,2020,"forte lxs sedan 4d",kia,silver,"WY - WYOMING"
33.779214,-84.411811,17590,2020,"forte lxs sedan 4d",kia,blue,"WY - WYOMING"
33.7865,-84.4454,20990,2020,"corolla hybrid le sedan",toyota,black,"WY - WYOMING"
33.7865,-84.4454,50990,2020,"tahoe lt sport utility",chevrolet,silver,"WY - WYOMING"
33.779214,-84.411811,17990,2020,"impreza sedan 4d",subaru,white,"WY - WYOMING"
44.354923,-106.680384,69995,2020,"silverado 2500hd",chevrolet,black,"WY - WYOMING"
44.354923,-106.680384,59995,2020,2500,ram,white,"WY - WYOMING"
33.779214,-84.411811,23990,2019,"murano s sport utility 4d",nissan,silver,"WY - WYOMING"
44.097137,-103.163209,67671,2019,"sierra 3500hd denali crew",gmc,white,"WY - WYOMING"
44.415611,-103.522196,43440,2019,1500,ram,red,"WY - WYOMING"
39.7436,-105.0643,39999,2019,"f150 supercrew cab",ford,silver,"WY - WYOMING"
40.74582,-111.939654,25950,2019,"frontier 4x4",nissan,white,"WY - WYOMING"
44.29231,-105.49809,45932,2019,1500,ram,white,"WY - WYOMING"
44.29231,-105.49809,45910,2019,f-150,ford,blue,"WY - WYOMING"
33.779214,-84.411811,35990,2019,"wrangler unlimited sport s",jeep,silver,"WY - WYOMING"
40.374375,-104.694103,35500,2019,f-150,ford,white,"WY - WYOMING"
44.412643,-103.516788,44840,2019,"silverado 2500hd",chevrolet,white,"WY - WYOMING"
39.73995,-105.088307,48400,2019,1500,ram,red,"WY - WYOMING"
39.73995,-105.088307,75000,2019,f-350,ford,white,"WY - WYOMING"
39.73995,-105.088307,49999,2019,silverado,chevrolet,white,"WY - WYOMING"
44.412643,-103.520393,28810,2019,mustang,ford,blue,"WY - WYOMING"
45.7813,-108.5727,27995,2019,"crv ex-l awd",honda,blue,"WY - WYOMING"
44.29231,-105.49809,67931,2019,f-350,ford,white,"WY - WYOMING"
44.29231,-105.49809,43939,2019,suburban,chevrolet,black,"WY - WYOMING"
33.779214,-84.411811,19990,2019,"taurus limited sedan 4d",ford,black,"WY - WYOMING"
33.779214,-84.411811,17990,2019,"ecosport titanium sport",ford,black,"WY - WYOMING"
44.1202,-94.2184,39900,2019,"t campervan",mini,red,"WY - WYOMING"
33.779214,-84.411811,15990,2019,"sonic lt sedan 4d",chevrolet,black,"WY - WYOMING"
44.7849,-106.9648,23900,2019,"taurus limited awd",ford,red,"WY - WYOMING"
40.374375,-104.694103,44999,2019,f-350,ford,white,"WY - WYOMING"
40.374375,-104.694103,35500,2019,f-150,ford,white,"WY - WYOMING"
45.614034,-108.386684,74990,2019,"f-350 super duty xl wowwww",ford,white,"WY - WYOMING"
