fuel_type,state,city,count
BD,AL,Gadsden,2
BD,AL,Andalusia,1
BD,AL,Dothan,1
BD,AL,Enterprise,1
BD,AL,Eufaula,1
BD,AR,Batesville,1
BD,AR,Little Rock AFB,1
BD,AZ,Phoenix,67
BD,AZ,Buckeye,1
BD,AZ,Dateland,1
BD,AZ,Glendale,1
BD,AZ,Laveen Village,1
BD,CA,San Diego,3
BD,CA,Camp Pendleton,2
BD,CA,Barstow,1
BD,CA,Berkeley,1
BD,CA,Corona,1
BD,CO,Boulder,2
BD,CO,Colorado Springs,1
BD,CO,Commerce City,1
BD,CO,Fort Collins,1
BD,CO,Steamboat Springs,1
BD,CT,Norwich,1
BD,DC,Washington,7
BD,FL,Tampa,2
BD,FL,Eglin AFB,1
BD,FL,Gainesville,1
BD,FL,Jacksonville,1
BD,FL,Orlando,1
BD,GA,Albany,1
BD,GA,Macon,1
BD,GA,Marietta,1
BD,HI,Honolulu,3
BD,HI,Keaau,2
BD,HI,Kahului,1
BD,HI,Kaneohe Bay,1
BD,IA,Washington,2
BD,IA,Brighton,1
BD,IA,Galva,1
BD,IA,Lake Mills,1
BD,IA,Lone Tree,1
BD,IL,Scott AFB,2
BD,IL,Altamont,1
BD,IL,Batavia,1
BD,IL,Cary,1
BD,IL,Channahon,1
BD,IN,Crane,1
BD,IN,Goshen,1
BD,IN,Grissom Joint Air Reserve Base,1
BD,KS,Wichita,1
BD,KY,Golden Pond,1
BD,KY,Lexington,1
BD,KY,Taylorsville,1
BD,LA,Minden,1
BD,MA,Newburyport,1
BD,MA,North Adams,1
BD,MA,North Andover,1
BD,MA,Northampton,1
BD,MA,Sandwich,1
BD,MD,Baltimore,2
BD,MD,Bethesda,1
BD,MD,Greenbelt,1
BD,MD,Suitland,1
BD,ME,Portland,1
BD,MI,Ann Arbor,2
BD,MI,Cassopolis,1
BD,MI,Dimondale,1
BD,MI,Fairgrove,1
BD,MI,Imlay City,1
BD,MN,Moorhead,4
BD,MN,St. James,3
BD,MN,Worthington,3
BD,MN,Detroit Lakes,2
BD,MN,Dilworth,2
BD,MO,Foristell,1
BD,MO,Jefferson City,1
BD,MS,Columbus AFB,1
BD,NC,Charlotte,2
BD,NC,Columbus,2
BD,NC,Raleigh,2
BD,NC,Williamston,2
BD,NC,Ahoskie,1
BD,ND,Fargo,1
BD,NE,Grand Island,1
BD,NE,Hartington,1
BD,NE,York,1
BD,NH,Durham,1
BD,NH,Keene,1
BD,NJ,Layton,1
BD,NJ,Maplewood,1
BD,NJ,Princeton,1
BD,NM,Tres Piedras,1
BD,NV,Las Vegas,1
BD,NY,Rochester,2
BD,NY,Troy,2
BD,NY,Upton,2
BD,NY,Bellmore,1
BD,NY,Brentwood,1
BD,OH,Cincinnati,3
BD,OH,Cleveland,1
BD,OH,Cleves,1
BD,OH,Mansfield,1
BD,OH,Perrysburg,1
BD,OK,Norman,1
BD,OR,Portland,10
BD,OR,Albany,2
BD,OR,Aurora,2
BD,OR,Beaverton,2
BD,OR,Eugene,2
BD,PA,Pittsburgh,2
BD,PA,Dingman's Ferry,1
BD,PA,Horsham,1
BD,RI,Cumberland,1
BD,RI,Middletown,1
BD,RI,Providence,1
BD,SC,Columbia,2
